file_name,tumor_type,seed_index,n_pool,overall,tp,n_tp,q0,q1,q2,q3,top100,top1000,q0_minus_q3
013.tiff,human breast cancer,0,27785,0.16965988842900845,0.7647058823529411,17,0.5547718439614222,0.09660236107112007,0.013389000863806507,0.013820904117477686,0.77,0.679,0.5409509398439445
013.tiff,human breast cancer,1,28753,0.25527771015198414,1.0,17,0.8346084295451384,0.15915414579855314,0.018920422927100722,0.008347245409015025,1.0,0.982,0.8262611841361234
013.tiff,human breast cancer,2,26941,0.2488400579043094,1.0,17,0.7644002375296912,0.19955456570155902,0.021974758723088343,0.009354120267260579,0.83,0.873,0.7550461172624306
013.tiff,human breast cancer,3,32630,0.23990193073858412,1.0,17,0.8202990929149301,0.12014220914551918,0.012748222603579308,0.006374892730170406,1.0,0.995,0.8139242001847596
013.tiff,human breast cancer,4,31171,0.3351833434923487,1.0,17,0.9274990375978442,0.3318362633132298,0.06313358141922237,0.01822381930184805,1.0,0.998,0.9092752182959962
094.tiff,human breast cancer,0,34573,0.6019726376073815,1.0,81,0.9703840814437761,0.8440356357746153,0.4968182344093486,0.0966099733888696,1.0,1.0,0.8737741080549065
094.tiff,human breast cancer,1,28700,0.45066202090592333,0.9382716049382716,81,0.7913588850174216,0.6330313588850174,0.3370034843205575,0.041254355400696864,0.96,0.901,0.7501045296167247
094.tiff,human breast cancer,2,33056,0.4570728460793804,0.8765432098765432,81,0.8091723136495643,0.6287512100677638,0.3291384317521781,0.06122942884801549,0.97,0.918,0.7479428848015488
094.tiff,human breast cancer,3,27735,0.46035694970254193,0.8888888888888888,81,0.7943466974329392,0.6514277473319873,0.3376117680992212,0.057983556901774126,1.0,0.862,0.736363140531165
094.tiff,human breast cancer,4,33056,0.4570728460793804,0.8765432098765432,81,0.8091723136495643,0.6287512100677638,0.3291384317521781,0.06122942884801549,0.97,0.918,0.7479428848015488
201.tiff,canine lung cancer,0,22631,0.5938756572842561,0.9411764705882353,17,0.8796394485683987,0.7355956168257335,0.5265111346765642,0.23369277001944494,0.99,0.949,0.6459466785489538
201.tiff,canine lung cancer,1,22631,0.5938756572842561,0.9411764705882353,17,0.8796394485683987,0.7355956168257335,0.5265111346765642,0.23369277001944494,0.99,0.949,0.6459466785489538
201.tiff,canine lung cancer,2,17861,0.5437545490174123,0.9411764705882353,17,0.8157187639946261,0.651511758118701,0.4812989921612542,0.22642777155655094,0.93,0.893,0.5892909924380751
201.tiff,canine lung cancer,3,23817,0.3335852542301717,0.9411764705882353,17,0.6208228379513014,0.4126637554585153,0.2309371850856567,0.06986899563318777,0.88,0.772,0.5509538423181137
201.tiff,canine lung cancer,4,16911,0.5916267518183431,0.9411764705882353,17,0.8545411542100284,0.7090823084200568,0.5387890255439924,0.2640170333569908,0.98,0.938,0.5905241208530376
233.tiff,canine lung cancer,0,33221,0.46684326179223984,1.0,17,0.9479894052492175,0.7229379891631548,0.18097531607465384,0.015412402167369055,0.99,0.996,0.9325770030818484
233.tiff,canine lung cancer,1,33221,0.46684326179223984,1.0,17,0.9479894052492175,0.7229379891631548,0.18097531607465384,0.015412402167369055,0.99,0.996,0.9325770030818484
233.tiff,canine lung cancer,2,20836,0.5548569783067767,0.9411764705882353,17,0.9489345363793434,0.8241505087348819,0.3960453062008063,0.05029756191207525,1.0,0.982,0.8986369744672682
233.tiff,canine lung cancer,3,18082,0.5938502378055525,0.9411764705882353,17,0.9559831895598319,0.863495575221239,0.513160805131608,0.04269911504424779,0.99,0.986,0.913284074515584
233.tiff,canine lung cancer,4,33221,0.46684326179223984,1.0,17,0.9479894052492175,0.7229379891631548,0.18097531607465384,0.015412402167369055,0.99,0.996,0.9325770030818484
245.tiff,canine lymphosarcoma,0,38389,0.41397275261142513,0.3258426966292135,89,0.44498853927901644,0.44055433989788473,0.4158591226424924,0.3544857768052516,0.33,0.418,0.09050276247376482
