file_name,tumor_type,seed_index,n_mit,n_pool,frac_on_nucleus,arm,lo_um,hi_um,retention_nominal,n_kept,n_tp,recall,depth_90,depth_95,depth_100
013.tiff,human breast cancer,0,17,27785,0.1696598884290084,baseline,-inf,inf,,27785,17,1.0,912.0,1172.0,1172.0
013.tiff,human breast cancer,0,17,27785,0.1696598884290084,apriori,4.0,18.0,,27241,17,1.0,898.0,1150.0,1150.0
013.tiff,human breast cancer,0,17,27785,0.1696598884290084,insample@1.00,5.289424896240234,11.879780769348145,1.0,26317,17,1.0,775.0,995.0,995.0
013.tiff,human breast cancer,0,17,27785,0.1696598884290084,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,27748,17,1.0,912.0,1172.0,1172.0
013.tiff,human breast cancer,0,17,27785,0.1696598884290084,insample@0.99,5.29709979057312,11.707643318176268,0.99,26270,17,1.0,1635.0,26239.0,26239.0
013.tiff,human breast cancer,0,17,27785,0.1696598884290084,lodo@0.99,2.763861386775974,23.32760238647461,0.99,27455,17,1.0,908.0,1167.0,1167.0
013.tiff,human breast cancer,0,17,27785,0.1696598884290084,insample@0.98,5.304774684906006,11.535505867004392,0.98,26222,17,1.0,1619.0,26192.0,26192.0
013.tiff,human breast cancer,0,17,27785,0.1696598884290084,lodo@0.98,3.535104742050173,20.54703712463379,0.98,27376,17,1.0,905.0,1162.0,1162.0
013.tiff,human breast cancer,0,17,27785,0.1696598884290084,insample@0.95,5.327799367904663,11.019093513488768,0.95,26102,17,1.0,1584.0,26072.0,26072.0
013.tiff,human breast cancer,0,17,27785,0.1696598884290084,lodo@0.95,3.919527816772462,15.04659652709961,0.95,27099,17,1.0,885.0,1127.0,1127.0
013.tiff,human breast cancer,1,17,28753,0.2552777101519841,baseline,-inf,inf,,28753,17,1.0,189.0,354.0,354.0
013.tiff,human breast cancer,1,17,28753,0.2552777101519841,apriori,4.0,18.0,,27652,17,1.0,185.0,348.0,348.0
013.tiff,human breast cancer,1,17,28753,0.2552777101519841,insample@1.00,5.289424896240234,12.35079574584961,1.0,26222,17,1.0,134.0,260.0,260.0
013.tiff,human breast cancer,1,17,28753,0.2552777101519841,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,28691,17,1.0,189.0,354.0,354.0
013.tiff,human breast cancer,1,17,28753,0.2552777101519841,insample@0.99,5.2967591476440425,12.313114547729493,0.99,26204,16,0.9411764705882353,2248.0,,
013.tiff,human breast cancer,1,17,28753,0.2552777101519841,lodo@0.99,2.763861386775974,23.32760238647461,0.99,28101,17,1.0,189.0,354.0,354.0
013.tiff,human breast cancer,1,17,28753,0.2552777101519841,insample@0.98,5.304093399047852,12.275433349609376,0.98,26192,16,0.9411764705882353,2243.0,,
013.tiff,human breast cancer,1,17,28753,0.2552777101519841,lodo@0.98,3.535104742050173,20.54703712463379,0.98,27887,17,1.0,186.0,351.0,351.0
013.tiff,human breast cancer,1,17,28753,0.2552777101519841,insample@0.95,5.326096153259277,12.162389755249023,0.95,26145,16,0.9411764705882353,2230.0,,
013.tiff,human breast cancer,1,17,28753,0.2552777101519841,lodo@0.95,3.919527816772462,15.04659652709961,0.95,27454,17,1.0,184.0,344.0,344.0
013.tiff,human breast cancer,2,17,26941,0.2488400579043094,baseline,-inf,inf,,26941,17,1.0,238.0,480.0,480.0
013.tiff,human breast cancer,2,17,26941,0.2488400579043094,apriori,4.0,18.0,,25832,17,1.0,236.0,472.0,472.0
013.tiff,human breast cancer,2,17,26941,0.2488400579043094,insample@1.00,5.289424896240234,12.35079574584961,1.0,24661,17,1.0,175.0,377.0,377.0
013.tiff,human breast cancer,2,17,26941,0.2488400579043094,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,26909,17,1.0,238.0,480.0,480.0
013.tiff,human breast cancer,2,17,26941,0.2488400579043094,insample@0.99,5.2967591476440425,12.313114547729493,0.99,24641,15,0.8823529411764706,,,
013.tiff,human breast cancer,2,17,26941,0.2488400579043094,lodo@0.99,2.763861386775974,23.32760238647461,0.99,26229,17,1.0,238.0,478.0,478.0
013.tiff,human breast cancer,2,17,26941,0.2488400579043094,insample@0.98,5.304093399047852,12.275433349609376,0.98,24633,15,0.8823529411764706,,,
013.tiff,human breast cancer,2,17,26941,0.2488400579043094,lodo@0.98,3.535104742050173,20.54703712463379,0.98,26041,17,1.0,237.0,475.0,475.0
013.tiff,human breast cancer,2,17,26941,0.2488400579043094,insample@0.95,5.326096153259277,12.162389755249023,0.95,24591,15,0.8823529411764706,,,
013.tiff,human breast cancer,2,17,26941,0.2488400579043094,lodo@0.95,3.919527816772462,15.04659652709961,0.95,25664,17,1.0,236.0,469.0,469.0
013.tiff,human breast cancer,3,17,32630,0.2399019307385841,baseline,-inf,inf,,32630,17,1.0,246.0,366.0,366.0
013.tiff,human breast cancer,3,17,32630,0.2399019307385841,apriori,4.0,18.0,,31491,17,1.0,243.0,360.0,360.0
013.tiff,human breast cancer,3,17,32630,0.2399019307385841,insample@1.00,5.289424896240234,12.35079574584961,1.0,29902,17,1.0,155.0,245.0,245.0
013.tiff,human breast cancer,3,17,32630,0.2399019307385841,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,32591,17,1.0,246.0,366.0,366.0
013.tiff,human breast cancer,3,17,32630,0.2399019307385841,insample@0.99,5.2967591476440425,12.313114547729493,0.99,29876,16,0.9411764705882353,29849.0,,
013.tiff,human breast cancer,3,17,32630,0.2399019307385841,lodo@0.99,2.763861386775974,23.32760238647461,0.99,32072,17,1.0,246.0,366.0,366.0
013.tiff,human breast cancer,3,17,32630,0.2399019307385841,insample@0.98,5.304093399047852,12.275433349609376,0.98,29863,16,0.9411764705882353,29836.0,,
013.tiff,human breast cancer,3,17,32630,0.2399019307385841,lodo@0.98,3.535104742050173,20.54703712463379,0.98,31777,17,1.0,246.0,364.0,364.0
013.tiff,human breast cancer,3,17,32630,0.2399019307385841,insample@0.95,5.326096153259277,12.162389755249023,0.95,29809,16,0.9411764705882353,29782.0,,
013.tiff,human breast cancer,3,17,32630,0.2399019307385841,lodo@0.95,3.919527816772462,15.04659652709961,0.95,31275,17,1.0,237.0,350.0,350.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,baseline,-inf,inf,,31171,17,1.0,194.0,273.0,273.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,apriori,4.0,18.0,,28309,17,1.0,189.0,265.0,265.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,insample@1.00,5.289424896240234,12.35079574584961,1.0,26500,17,1.0,106.0,165.0,165.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,31063,17,1.0,194.0,273.0,273.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,insample@0.99,5.2967591476440425,12.313114547729493,0.99,26472,17,1.0,9137.0,26166.0,26166.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,lodo@0.99,2.763861386775974,23.32760238647461,0.99,29142,17,1.0,194.0,273.0,273.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,insample@0.98,5.304093399047852,12.275433349609376,0.98,26458,17,1.0,9123.0,26152.0,26152.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,lodo@0.98,3.535104742050173,20.54703712463379,0.98,28676,17,1.0,191.0,268.0,268.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,insample@0.95,5.326096153259277,12.162389755249023,0.95,26401,17,1.0,9066.0,26095.0,26095.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,lodo@0.95,3.919527816772462,15.04659652709961,0.95,28110,17,1.0,188.0,263.0,263.0
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,baseline,-inf,inf,,34573,81,1.0,1309.0,1630.0,4052.0
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,apriori,4.0,18.0,,26534,79,0.9753086419753086,1423.0,3499.0,
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,insample@1.00,4.141571521759033,33.65827941894531,1.0,30645,81,1.0,1219.0,1503.0,3560.0
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,34545,81,1.0,1309.0,1630.0,4052.0
