tumor_type,file_name,seed_index,n_mit,lo_um,hi_um,n_kept,recall,n_pool,frac_kept,recall_base,d_recall,depth_90_base,depth_90,d_depth_90,depth_95_base,depth_95,d_depth_95,depth_100_base,depth_100,d_depth_100
canine cutaneous mast cell tumor,300.tiff,2.0,180.0,4.0,18.0,22588.0,0.9888888888888889,23524.0,0.9602108484951539,1.0,-0.011111111111111072,2893.0,4075.0,1182.0,5721.0,8380.0,2659.0,11024.0,,
canine cutaneous mast cell tumor,301.tiff,2.0,217.0,4.0,18.0,31403.0,1.0,32225.0,0.9679973899632222,1.0,0.0,3179.0,3206.0,292.0,5876.0,6138.0,335.0,15769.0,17034.0,1342.0
canine lung cancer,201.tiff,2.0,17.0,4.0,18.0,19901.0,0.8823529411764706,22631.0,0.8984093193779197,1.0,-0.11764705882352944,1280.0,1185.0,-95.0,2250.0,,,2250.0,,
canine lung cancer,233.tiff,2.0,17.0,4.0,18.0,30498.0,1.0,33221.0,0.9180337738177659,1.0,0.0,434.0,1277.0,843.0,1328.0,17341.0,16013.0,1328.0,17341.0,16013.0
canine lymphosarcoma,245.tiff,2.0,89.0,4.0,18.0,35318.0,1.0,38012.0,0.9299252997315044,1.0,0.0,12622.0,12600.0,769.0,17622.0,17930.0,1202.0,29455.0,27941.0,-955.5
canine lymphosarcoma,246.tiff,2.0,115.0,4.0,18.0,26679.0,0.991304347826087,30343.0,0.880895099363939,1.0,-0.008695652173912993,1632.0,1840.0,208.0,2421.0,4568.0,2147.0,8502.0,20949.5,8200.0
canine soft tissue sarcoma,459.tiff,2.0,130.0,4.0,18.0,20047.0,0.9846153846153847,21905.0,0.926009483022331,1.0,-0.01538461538461533,4952.0,5135.0,300.0,8452.0,9567.0,875.0,14367.0,,
canine soft tissue sarcoma,460.tiff,2.0,35.0,4.0,18.0,21767.0,1.0,22948.0,0.9507221750212405,1.0,0.0,3218.0,3211.0,-9.0,5229.0,5182.0,-18.0,10622.0,10432.0,-313.0
human breast cancer,013.tiff,2.0,17.0,4.0,18.0,27652.0,1.0,28753.0,0.9617083434772024,1.0,0.0,238.0,236.0,-4.0,366.0,360.0,-8.0,366.0,360.0,-8.0
human breast cancer,094.tiff,2.0,81.0,4.0,18.0,26534.0,0.9753086419753086,33056.0,0.8419651500484027,1.0,-0.024691358024691357,1046.0,1423.0,376.0,1630.0,3499.0,1869.0,4088.0,11602.0,7514.0
human melanoma,529.tiff,2.0,19.0,4.0,18.0,22063.0,1.0,23167.0,0.9523460094099365,1.0,0.0,2135.0,2114.0,-21.0,2516.0,2471.0,-31.0,2516.0,2471.0,-31.0
human melanoma,548.tiff,2.0,238.0,4.0,18.0,25196.0,0.9915966386554622,27120.0,0.9136890473904397,1.0,-0.008403361344537785,1022.0,1094.0,43.0,2314.0,2742.0,405.0,10101.0,,
human neuroendocrine tumor,402.tiff,2.0,104.0,4.0,18.0,25008.0,0.9711538461538461,31042.0,0.818388474180567,1.0,-0.028846153846153855,1256.0,2222.0,1086.0,1871.0,12235.0,9292.0,10028.0,10129.0,-778.0
human neuroendocrine tumor,403.tiff,2.0,52.0,4.0,18.0,27303.0,0.9807692307692307,28794.0,0.9533379533379533,1.0,-0.019230769230769273,2016.0,3748.0,1159.0,3937.0,7487.0,3202.0,5747.0,5336.0,-56.0
