tumor_type,file_name,seed_index,n_mit,lo_um,hi_um,n_kept,recall,n_pool,frac_kept,recall_base,d_recall,depth_90_base,depth_90,d_depth_90,depth_95_base,depth_95,d_depth_95,depth_100_base,depth_100,d_depth_100,d90,d95,d100
canine cutaneous mast cell tumor,300.tiff,2.0,180.0,2.041159152984619,9.051952362060547,23225.0,1.0,23524.0,0.9688967923768622,1.0,0.0,2893.0,2843.0,-82.0,5721.0,5620.0,-108.0,11024.0,10822.0,-245.0,-50.0,-101.0,-202.0
canine cutaneous mast cell tumor,301.tiff,2.0,217.0,2.195420742034912,9.958664894104004,30070.0,1.0,32225.0,0.9331264546159814,1.0,0.0,3179.0,3029.0,-150.0,5876.0,5312.0,-244.0,15769.0,14813.0,-956.0,-150.0,-564.0,-956.0
canine lung cancer,201.tiff,2.0,17.0,6.064333915710449,20.107271194458008,18654.0,1.0,22631.0,0.8321802377150966,1.0,0.0,1280.0,1164.0,-116.0,2250.0,2038.0,-150.0,2250.0,2038.0,-150.0,-116.0,-212.0,-212.0
canine lung cancer,233.tiff,2.0,17.0,4.237545967102051,22.36345672607422,30993.0,1.0,33221.0,0.932933987538003,1.0,0.0,434.0,423.0,-11.0,1328.0,1291.0,-37.0,1328.0,1291.0,-37.0,-11.0,-37.0,-37.0
canine lymphosarcoma,245.tiff,2.0,89.0,3.6187195777893066,12.359222412109375,36449.0,1.0,38012.0,0.9494646904061059,1.0,0.0,12622.0,12101.0,-455.0,17622.0,17003.0,-619.0,29455.0,27670.0,-1222.0,-521.0,-619.0,-1785.0
canine lymphosarcoma,246.tiff,2.0,115.0,3.6403238773345947,25.155529022216797,27748.0,1.0,30343.0,0.9090191773302686,1.0,0.0,1632.0,1564.0,-68.0,2421.0,2314.0,-107.0,8502.0,8124.0,-377.0,-68.0,-107.0,-378.0
canine soft tissue sarcoma,459.tiff,2.0,130.0,3.4862821102142334,20.54703712463379,20861.0,1.0,21905.0,0.9510719390185802,1.0,0.0,4952.0,4752.0,-54.0,8452.0,8295.0,-126.0,14367.0,13919.0,-329.0,-200.0,-157.0,-448.0
canine soft tissue sarcoma,460.tiff,2.0,35.0,4.65212345123291,9.316880226135254,19186.0,1.0,22948.0,0.8514903259543315,1.0,0.0,3218.0,2796.0,-571.0,5229.0,4081.0,-851.0,10622.0,8345.0,-2556.0,-422.0,-1148.0,-2277.0
human breast cancer,013.tiff,2.0,17.0,5.289424896240234,12.35079574584961,26317.0,1.0,28753.0,0.915370624698415,1.0,0.0,238.0,155.0,-88.0,366.0,260.0,-108.0,366.0,260.0,-108.0,-83.0,-106.0,-106.0
human breast cancer,094.tiff,2.0,81.0,4.141571521759033,26.216699600219727,30286.0,1.0,33056.0,0.916202807357212,1.0,0.0,1046.0,1015.0,-33.0,1630.0,1503.0,-83.0,4088.0,3756.0,-401.0,-31.0,-127.0,-332.0
human melanoma,529.tiff,2.0,19.0,4.863117218017578,12.833460807800293,20937.0,1.0,23167.0,0.9033921418222108,1.0,0.0,2135.0,1786.0,-325.0,2516.0,2166.0,-350.0,2516.0,2166.0,-350.0,-349.0,-350.0,-350.0
human melanoma,548.tiff,2.0,238.0,3.3165440559387207,23.32760238647461,25876.0,1.0,27120.0,0.9509997279651795,1.0,0.0,1022.0,1014.0,-6.0,2314.0,2294.0,-22.0,10101.0,9955.0,-146.0,-8.0,-20.0,-146.0
human neuroendocrine tumor,402.tiff,2.0,104.0,3.665332794189453,99.84673309326172,29404.0,1.0,31042.0,0.9527638529085221,1.0,0.0,1256.0,1241.0,-11.0,1871.0,1851.0,-20.0,10028.0,9672.0,-145.0,-15.0,-20.0,-356.0
human neuroendocrine tumor,403.tiff,2.0,52.0,0.8094951510429382,21.03441619873047,27882.0,1.0,28794.0,0.9724779724779725,1.0,0.0,2016.0,1951.0,-65.0,3937.0,3657.0,-127.0,5747.0,5544.0,-241.0,-65.0,-280.0,-203.0
