tumor_type,file_name,seed_index,n_mit,lo_um,hi_um,n_kept,recall,n_pool,frac_kept,recall_base,d_recall,depth_90_base,depth_90,d_depth_90,depth_95_base,depth_95,d_depth_95,depth_100_base,depth_100,d_depth_100,d90,d95,d100
canine cutaneous mast cell tumor,300.tiff,2.0,180.0,3.665332794189453,22.36345672607422,22796.0,1.0,23524.0,0.9690528821628974,1.0,0.0,2893.0,3607.0,83.0,5721.0,6360.0,175.0,11024.0,20347.0,9323.0,714.0,639.0,9323.0
canine cutaneous mast cell tumor,301.tiff,2.0,217.0,3.665332794189453,22.36345672607422,31549.0,1.0,32225.0,0.9748190769960849,1.0,0.0,3179.0,3210.0,296.0,5876.0,5935.0,199.0,15769.0,21906.5,2989.0,31.0,59.0,6137.5
canine lung cancer,201.tiff,2.0,17.0,3.6195910692214968,21.30833625793457,20807.0,1.0,22631.0,0.93536751227012,1.0,0.0,1280.0,1236.0,-44.0,2250.0,2176.0,-64.0,2250.0,2176.0,-64.0,-44.0,-74.0,-74.0
canine lung cancer,233.tiff,2.0,17.0,3.6195910692214968,21.30833625793457,31319.0,1.0,33221.0,0.9427470575840583,1.0,0.0,434.0,1309.0,875.0,1328.0,18138.0,16810.0,1328.0,18138.0,16810.0,875.0,16810.0,16810.0
canine lymphosarcoma,245.tiff,2.0,89.0,3.6266422271728516,22.268333435058594,36454.0,1.0,38012.0,0.9595395698753223,1.0,0.0,12622.0,12450.0,-172.0,17622.0,17539.0,-325.0,29455.0,28639.0,-816.0,-172.0,-83.0,-816.0
canine lymphosarcoma,246.tiff,2.0,115.0,3.6266422271728516,22.268333435058594,27730.0,1.0,30343.0,0.9138845862307616,1.0,0.0,1632.0,1648.0,-8.0,2421.0,2871.0,521.0,8502.0,8110.5,-404.0,16.0,450.0,-391.5
canine soft tissue sarcoma,459.tiff,2.0,130.0,3.6014426469802867,22.36345672607422,20894.0,1.0,21905.0,0.9603472009788926,1.0,0.0,4952.0,4922.0,-28.0,8452.0,8378.0,-74.0,14367.0,15188.0,-255.0,-30.0,-74.0,821.0
canine soft tissue sarcoma,460.tiff,2.0,35.0,3.6014426469802867,22.36345672607422,22059.0,1.0,22948.0,0.9610175421060523,1.0,0.0,3218.0,3213.0,-5.0,5229.0,5209.0,-12.0,10622.0,10561.0,-142.0,-5.0,-20.0,-61.0
human breast cancer,013.tiff,2.0,17.0,3.535104742050173,20.54703712463379,27887.0,1.0,28753.0,0.9698814036796161,1.0,0.0,238.0,237.0,-3.0,366.0,364.0,-5.0,366.0,364.0,-5.0,-1.0,-2.0,-2.0
human breast cancer,094.tiff,2.0,81.0,3.535104742050173,20.54703712463379,28364.0,0.9876543209876543,33056.0,0.8818368828654405,1.0,-0.012345679012345734,1046.0,1380.0,115.0,1630.0,2626.0,1443.0,4088.0,12513.0,8425.0,334.0,996.0,8425.0
human melanoma,529.tiff,2.0,19.0,3.552546758651735,22.310187683105475,22322.0,1.0,23167.0,0.9635257046661199,1.0,0.0,2135.0,2130.0,-5.0,2516.0,2506.0,-9.0,2516.0,2506.0,-9.0,-5.0,-10.0,-10.0
human melanoma,548.tiff,2.0,238.0,3.552546758651735,22.310187683105475,25904.0,0.9957983193277311,27120.0,0.9416706673067691,1.0,-0.004201680672268893,1022.0,1068.0,22.0,2314.0,2415.0,101.0,10101.0,16224.0,8275.0,46.0,101.0,6123.0
human neuroendocrine tumor,402.tiff,2.0,104.0,3.630616426467896,20.047897911071562,26402.0,0.9807692307692307,31042.0,0.859490676742543,1.0,-0.019230769230769273,1256.0,1229.0,226.0,1871.0,4662.0,3560.0,10028.0,10301.0,-606.0,-27.0,2791.0,273.0
human neuroendocrine tumor,403.tiff,2.0,52.0,3.630616426467896,20.047897911071562,27552.0,0.9807692307692307,28794.0,0.9620829620829621,1.0,-0.019230769230769273,2016.0,3467.0,354.0,3937.0,6764.0,2653.0,5747.0,5435.0,43.0,1451.0,2827.0,-312.0
