tumor_type,file_name,n_pool,frac_kept,d_recall,recall,depth90_base,depth90,depth95_base,depth95,depth100_base,depth100,d90,d95,d100
canine cutaneous mast cell tumor,300.tiff,23524.0,0.9968708248365094,0.0,1.0,2893.0,3255.0,5721.0,6368.0,11024.0,15266.0,362.0,647.0,4242.0
canine cutaneous mast cell tumor,301.tiff,32225.0,0.998270916021535,0.0,1.0,3179.0,3175.0,5876.0,5876.0,15769.0,17154.0,-4.0,0.0,1385.0
canine lung cancer,201.tiff,22631.0,0.9978586723768736,0.0,1.0,1280.0,1280.0,2250.0,2250.0,2250.0,2250.0,0.0,0.0,0.0
canine lung cancer,233.tiff,33221.0,0.9984046235814695,0.0,1.0,434.0,434.0,1328.0,1328.0,1328.0,1328.0,0.0,0.0,0.0
canine lymphosarcoma,245.tiff,38012.0,0.9992633905082605,0.0,1.0,12622.0,12622.0,17622.0,17606.0,29455.0,29449.0,0.0,-16.0,-6.0
canine lymphosarcoma,246.tiff,30343.0,0.998419621973576,0.0,1.0,1632.0,1632.0,2421.0,2421.0,8502.0,8500.0,0.0,0.0,-2.0
canine soft tissue sarcoma,459.tiff,21905.0,0.9989815041147234,0.0,1.0,4952.0,4952.0,8452.0,8452.0,14367.0,14366.0,0.0,0.0,-1.0
canine soft tissue sarcoma,460.tiff,22948.0,0.9984994164397265,0.0,1.0,3218.0,3218.0,5229.0,5229.0,10622.0,10616.0,0.0,0.0,-6.0
human breast cancer,013.tiff,28753.0,0.9986683462299802,0.0,1.0,238.0,238.0,366.0,366.0,366.0,366.0,0.0,0.0,0.0
human breast cancer,094.tiff,33056.0,0.9992437076476283,0.0,1.0,1046.0,1046.0,1630.0,1630.0,4088.0,4088.0,0.0,0.0,0.0
human melanoma,529.tiff,23167.0,0.997598627787307,0.0,1.0,2135.0,2135.0,2516.0,2516.0,2516.0,2516.0,0.0,0.0,0.0
human melanoma,548.tiff,27120.0,0.9989306784660767,0.0,1.0,1022.0,1022.0,2314.0,2314.0,10101.0,10098.0,0.0,0.0,-3.0
human neuroendocrine tumor,402.tiff,31042.0,0.981327591427514,-0.019230769230769273,0.9807692307692307,1256.0,1244.0,1871.0,1947.0,10028.0,10806.0,-12.0,76.0,778.0
human neuroendocrine tumor,403.tiff,28794.0,0.9899961523662947,0.0,1.0,2016.0,1995.0,3937.0,4245.0,5747.0,5678.0,-21.0,308.0,-69.0
