subset,roi_tier,domain,file_name,image_id,seed_index,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,n_retries,refused_draws,agreement_flagged
contested_2of3,contested_2of3,human neuroendocrine tumor,350.tiff,350,0,18164,2720.0,2916.0,0.2274375665971221,32.97608267716535,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,350.tiff,350,1,18161,3889.0,2024.0,0.2274375665971221,32.97608267716535,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,350.tiff,350,2,18156,1913.0,1418.0,0.2274375665971221,32.97608267716535,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,361.tiff,361,0,18582,4787.0,572.0,0.22744367634943946,32.9751968503937,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,361.tiff,361,1,18638,1884.0,693.0,0.22744367634943946,32.9751968503937,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,361.tiff,361,2,18580,500.0,1814.0,0.22744367634943946,32.9751968503937,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,373.tiff,373,0,18988,2284.0,4088.0,0.2268343216403515,33.063779527559056,3,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,373.tiff,373,1,18981,326.0,4377.0,0.2268343216403515,33.063779527559056,3,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,373.tiff,373,2,18989,3613.0,2708.0,0.2268343216403515,33.063779527559056,3,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,379.tiff,379,0,19152,992.5,630.5,0.2262947355291644,33.14261811023622,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,379.tiff,379,1,19141,1372.0,714.0,0.2262947355291644,33.14261811023622,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,379.tiff,379,2,19160,4741.0,3936.0,0.2262947355291644,33.14261811023622,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,383.tiff,383,0,19291,425.0,4162.0,0.22632094805310524,33.13877952755905,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,383.tiff,383,1,19278,2636.5,4166.0,0.22632094805310524,33.13877952755905,4,0,,True
