roi_tier,domain,file_name,condition,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
contested_2of3,human neuroendocrine tumor,350.tiff,default_51,3,0,2,5,0.0,0.03333333333333333,0.05555555555555555
contested_2of3,human neuroendocrine tumor,350.tiff,hem_rect_fill,3,0,2,7,0.0,0.03333333333333333,0.07777777777777778
contested_2of3,human neuroendocrine tumor,361.tiff,default_51,3,0,0,0,0.0,0.0,0.0
contested_2of3,human neuroendocrine tumor,361.tiff,hem_rect_fill,3,0,0,0,0.0,0.0,0.0
contested_2of3,human neuroendocrine tumor,373.tiff,default_51,3,0,0,0,0.0,0.0,0.0
contested_2of3,human neuroendocrine tumor,373.tiff,hem_rect_fill,3,0,0,1,0.0,0.0,0.011111111111111112
contested_2of3,human neuroendocrine tumor,379.tiff,default_51,3,3,4,5,0.1,0.06666666666666667,0.05555555555555555
contested_2of3,human neuroendocrine tumor,379.tiff,hem_rect_fill,3,3,4,5,0.1,0.06666666666666667,0.05555555555555555
contested_2of3,human neuroendocrine tumor,383.tiff,default_51,3,0,0,0,0.0,0.0,0.0
contested_2of3,human neuroendocrine tumor,383.tiff,hem_rect_fill,3,0,0,0,0.0,0.0,0.0
contested_2of3,human neuroendocrine tumor,392.tiff,default_51,3,0,0,0,0.0,0.0,0.0
contested_2of3,human neuroendocrine tumor,392.tiff,hem_rect_fill,3,0,0,0,0.0,0.0,0.0
existing_7,human neuroendocrine tumor,353.tiff,default_51,3,27,44,55,0.9,0.7333333333333333,0.6111111111111112
existing_7,human neuroendocrine tumor,353.tiff,hem_rect_fill,3,27,42,55,0.9,0.7,0.6111111111111112
existing_7,human neuroendocrine tumor,364.tiff,default_51,3,16,16,16,0.5333333333333333,0.26666666666666666,0.17777777777777778
existing_7,human neuroendocrine tumor,364.tiff,hem_rect_fill,3,15,15,15,0.5,0.25,0.16666666666666666
existing_7,human neuroendocrine tumor,400.tiff,default_51,3,27,51,79,0.9,0.85,0.8777777777777778
existing_7,human neuroendocrine tumor,400.tiff,hem_rect_fill,3,27,51,78,0.9,0.85,0.8666666666666667
existing_7,human neuroendocrine tumor,401.tiff,default_51,3,21,26,28,0.7,0.43333333333333335,0.3111111111111111
existing_7,human neuroendocrine tumor,401.tiff,hem_rect_fill,3,21,26,28,0.7,0.43333333333333335,0.3111111111111111
existing_7,human neuroendocrine tumor,402.tiff,default_51,3,23,41,55,0.7666666666666667,0.6833333333333333,0.6111111111111112
existing_7,human neuroendocrine tumor,402.tiff,hem_rect_fill,3,22,37,52,0.7333333333333333,0.6166666666666667,0.5777777777777777
existing_7,human neuroendocrine tumor,403.tiff,default_51,3,16,30,41,0.5333333333333333,0.5,0.45555555555555555
existing_7,human neuroendocrine tumor,403.tiff,hem_rect_fill,3,15,31,38,0.5,0.5166666666666667,0.4222222222222222
existing_7,human neuroendocrine tumor,404.tiff,default_51,3,13,23,32,0.43333333333333335,0.38333333333333336,0.35555555555555557
existing_7,human neuroendocrine tumor,404.tiff,hem_rect_fill,3,13,22,32,0.43333333333333335,0.36666666666666664,0.35555555555555557
unanimous_new,human neuroendocrine tumor,351.tiff,default_51,3,7,7,7,0.23333333333333334,0.11666666666666667,0.07777777777777778
unanimous_new,human neuroendocrine tumor,351.tiff,hem_rect_fill,3,7,7,7,0.23333333333333334,0.11666666666666667,0.07777777777777778
unanimous_new,human neuroendocrine tumor,356.tiff,default_51,3,8,13,15,0.26666666666666666,0.21666666666666667,0.16666666666666666
unanimous_new,human neuroendocrine tumor,356.tiff,hem_rect_fill,3,8,12,15,0.26666666666666666,0.2,0.16666666666666666
unanimous_new,human neuroendocrine tumor,363.tiff,default_51,3,0,0,1,0.0,0.0,0.011111111111111112
unanimous_new,human neuroendocrine tumor,363.tiff,hem_rect_fill,3,0,0,1,0.0,0.0,0.011111111111111112
unanimous_new,human neuroendocrine tumor,365.tiff,default_51,3,6,9,9,0.2,0.15,0.1
unanimous_new,human neuroendocrine tumor,365.tiff,hem_rect_fill,3,6,9,9,0.2,0.15,0.1
unanimous_new,human neuroendocrine tumor,374.tiff,default_51,3,2,2,2,0.06666666666666667,0.03333333333333333,0.022222222222222223
unanimous_new,human neuroendocrine tumor,374.tiff,hem_rect_fill,3,2,2,2,0.06666666666666667,0.03333333333333333,0.022222222222222223
unanimous_new,human neuroendocrine tumor,376.tiff,default_51,3,3,7,7,0.1,0.11666666666666667,0.07777777777777778
unanimous_new,human neuroendocrine tumor,376.tiff,hem_rect_fill,3,2,6,7,0.06666666666666667,0.1,0.07777777777777778
unanimous_new,human neuroendocrine tumor,389.tiff,default_51,3,1,1,1,0.03333333333333333,0.016666666666666666,0.011111111111111112
unanimous_new,human neuroendocrine tumor,389.tiff,hem_rect_fill,3,1,1,2,0.03333333333333333,0.016666666666666666,0.022222222222222223
unanimous_new,human neuroendocrine tumor,394.tiff,default_51,3,5,5,5,0.16666666666666666,0.08333333333333333,0.05555555555555555
unanimous_new,human neuroendocrine tumor,394.tiff,hem_rect_fill,3,5,5,5,0.16666666666666666,0.08333333333333333,0.05555555555555555
unanimous_new,human neuroendocrine tumor,399.tiff,default_51,3,0,0,2,0.0,0.0,0.022222222222222223
unanimous_new,human neuroendocrine tumor,399.tiff,hem_rect_fill,3,0,1,1,0.0,0.016666666666666666,0.011111111111111112
