rank,cx,cy,score,od,bucket,matched_ann_id,matched_category,file_name,seed_index,condition
0,2605.0,591.0,6.732958,0.2675055265426636,non_human_findings,-1,0,350.tiff,0,default_51
1,2564.0,2981.0,6.7781286,0.2664546072483063,non_human_findings,-1,0,350.tiff,0,default_51
2,3822.0,3379.0,7.883986,0.25595346093177795,human_rejected_label,18165,2,350.tiff,0,default_51
3,308.0,3487.0,7.3914742,0.25030043721199036,non_human_findings,-1,0,350.tiff,0,default_51
4,183.0,2126.0,7.757649,0.24817602336406708,human_rejected_label,18158,2,350.tiff,0,default_51
5,4001.0,1970.0,8.651482,0.24752792716026306,human_rejected_label,18162,2,350.tiff,0,default_51
6,1523.0,4048.0,7.2940793,0.2461586594581604,non_human_findings,-1,0,350.tiff,0,default_51
7,5056.0,3447.0,6.13703,0.24279826879501343,human_rejected_label,18166,2,350.tiff,0,default_51
8,4039.0,2857.0,7.3504434,0.2409125119447708,non_human_findings,-1,0,350.tiff,0,default_51
9,379.0,3652.0,7.113337,0.23982827365398407,non_human_findings,-1,0,350.tiff,0,default_51
10,2455.0,2813.0,7.292148,0.2373972088098526,non_human_findings,-1,0,350.tiff,0,default_51
11,3161.0,533.0,7.191568,0.23516465723514557,human_rejected_label,18152,2,350.tiff,0,default_51
12,4146.0,109.0,6.818413,0.23416836559772491,non_human_findings,-1,0,350.tiff,0,default_51
13,3082.0,3596.0,7.7469363,0.23311342298984528,non_human_findings,-1,0,350.tiff,0,default_51
14,2092.0,1549.0,7.730067,0.23274560272693634,non_human_findings,-1,0,350.tiff,0,default_51
15,3888.0,2022.0,7.3635745,0.2322831004858017,human_correct_label,18161,1,350.tiff,0,default_51
16,4081.0,486.0,6.1862645,0.231539785861969,non_human_findings,-1,0,350.tiff,0,default_51
17,6043.0,1230.0,8.11704,0.2311418056488037,non_human_findings,-1,0,350.tiff,0,default_51
18,1783.0,2965.0,7.0080504,0.22878481447696686,non_human_findings,-1,0,350.tiff,0,default_51
19,5289.0,741.0,6.663968,0.22763559222221375,non_human_findings,-1,0,350.tiff,0,default_51
20,0.0,4718.0,7.467763,0.22668127715587616,non_human_findings,-1,0,350.tiff,0,default_51
21,4609.0,662.0,6.171498,0.22163905203342438,non_human_findings,-1,0,350.tiff,0,default_51
22,240.0,3110.0,6.371033,0.21944110095500946,non_human_findings,-1,0,350.tiff,0,default_51
23,1833.0,2930.0,7.003466,0.2183704674243927,non_human_findings,-1,0,350.tiff,0,default_51
24,3027.0,2610.0,7.4029446,0.21828396618366241,non_human_findings,-1,0,350.tiff,0,default_51
25,6951.0,3970.0,7.057358,0.21809367835521698,non_human_findings,-1,0,350.tiff,0,default_51
26,6830.0,4480.0,6.9141603,0.21753595769405365,non_human_findings,-1,0,350.tiff,0,default_51
27,6074.0,2547.0,6.0717235,0.217087984085083,non_human_findings,-1,0,350.tiff,0,default_51
28,4330.0,2060.0,6.202719,0.21678538620471954,non_human_findings,-1,0,350.tiff,0,default_51
29,2571.0,472.0,6.315002,0.21483227610588074,non_human_findings,-1,0,350.tiff,0,default_51
0,2605.0,590.0,7.231324,0.2675054669380188,non_human_findings,-1,0,350.tiff,0,hem_rect_fill
1,2565.0,2977.0,5.640168,0.2664546072483063,non_human_findings,-1,0,350.tiff,0,hem_rect_fill
2,3822.0,3377.0,6.3578916,0.25595346093177795,human_rejected_label,18165,2,350.tiff,0,hem_rect_fill
3,308.0,3488.0,6.690164,0.25030043721199036,non_human_findings,-1,0,350.tiff,0,hem_rect_fill
4,183.0,2128.0,6.88352,0.2481759935617447,human_rejected_label,18158,2,350.tiff,0,hem_rect_fill
5,4003.0,1969.0,8.768847,0.24752795696258545,human_rejected_label,18162,2,350.tiff,0,hem_rect_fill
6,1529.0,4050.0,7.329609,0.2461586594581604,non_human_findings,-1,0,350.tiff,0,hem_rect_fill
7,5057.0,3448.0,5.8445983,0.24279825389385223,human_rejected_label,18166,2,350.tiff,0,hem_rect_fill
8,4040.0,2855.0,6.337639,0.24082092940807343,non_human_findings,-1,0,350.tiff,0,hem_rect_fill
9,379.0,3653.0,7.4574933,0.23982827365398407,non_human_findings,-1,0,350.tiff,0,hem_rect_fill
10,3930.0,639.0,6.5764217,0.2394658774137497,non_human_findings,-1,0,350.tiff,0,hem_rect_fill
11,2457.0,2812.0,6.4475107,0.2373972237110138,non_human_findings,-1,0,350.tiff,0,hem_rect_fill
12,3161.0,534.0,6.216702,0.23516467213630676,human_rejected_label,18152,2,350.tiff,0,hem_rect_fill
13,3081.0,3594.0,6.4468303,0.23311342298984528,non_human_findings,-1,0,350.tiff,0,hem_rect_fill
14,2093.0,1549.0,7.2862425,0.23274557292461395,non_human_findings,-1,0,350.tiff,0,hem_rect_fill
