,mean,std,min,max
t_setup_ms,3087.157142857143,547.0224249576917,2601.9,4098.6
t1_refine_seed_box_ms,1.257142857142857,0.3797049172394586,0.9,2.3
t2_patch_template_build_ms,0.0,0.0,0.0,0.0
t3_template_matching_ms,1121.8428571428572,128.45866569137635,931.1,1389.2
t4_threshold_peak_extraction_ms,272.02142857142854,60.31623303085967,226.2,462.9
t5_nms_selfhit_ms,192.32142857142858,64.38352845459572,104.2,320.5
t6_rank_top100_ms,1.0071428571428571,0.15424399110243742,0.8,1.3
t7a_od_pad_ms,45.46428571428572,29.726434937037677,22.7,95.4
t7b_od51_loop_ms,597.5500000000001,33.572900014514914,536.1,646.6
t8_chromatin_od_rank_top100_ms,1.9571428571428573,0.22774576147127712,1.6,2.3
t_tm_score_total_ms,1588.5142857142855,175.10201359446202,1367.6,1915.6
t_chromatin_od_overhead_ms,644.9357142857143,46.68308221224436,561.1,744.2
t_combined_total_ms,2233.45,210.53450932183208,1996.5,2659.7
t_outer_tm_total_ms,1588.5714285714287,175.0968322367388,1367.6,1915.6
t_outer_combined_total_ms,2233.528571428572,210.51701713993222,1996.6,2659.8
pct_overhead,40.857142857142854,3.3655984233495158,36.4,46.1
