file_name,tumor_type,n_detections,base_size,n_retries,n_top_tm,n_top_od,seed_ann_id,map_median,mad_scale,od_contrast_nan_rate,od_contrast_largest_tie_block,cpu_limit_start,cpu_limit_end,t_setup_s,t1_refine_seed_box_s,t2_patch_template_build_s,t3_template_matching_s,t4_threshold_peak_extraction_s,t5_nms_selfhit_s,t6_rank_top100_s,t7a_od_pad_s,t7b_od51_loop_s,t7c_od_ctx_loop_s,t7d_od_contrast_subtract_s,t8_od_contrast_rank_top100_s,t_tm_score_total_s,t_od_contrast_overhead_s,t_combined_total_s,t_outer_tm_total_s,t_outer_combined_total_s
013.tiff,human breast cancer,17724,31,0,100,100,254,-0.00395,0.10799,0.0,2,100,100,4.24998,0.00098,4e-05,1.34797,0.30047,0.33003,0.00127,0.13922,0.81841,3.00213,0.00056,0.0025,1.98076,3.96282,5.94358,1.98091,5.94375
094.tiff,human breast cancer,18628,25,0,100,100,2512,-0.00341,0.04558,0.0,2,100,100,3.34156,0.00085,5e-05,1.20864,0.2945,0.35918,0.00123,0.08181,0.70744,3.0722,0.00048,0.0025,1.86444,3.86444,5.72888,1.86454,5.72899
201.tiff,canine lung cancer,15848,51,0,100,100,4457,-0.02843,0.6123,0.0,2,100,100,2.82311,0.00106,4e-05,1.20892,0.24024,0.13493,0.00116,0.02631,0.59451,2.52998,0.00044,0.0023,1.58636,3.15354,4.7399,1.58645,4.74
233.tiff,canine lung cancer,17449,25,0,100,100,5761,-0.01397,0.1566,0.0,2,100,100,2.77504,0.00108,5e-05,0.97583,0.24016,0.22386,0.00105,0.02952,0.62222,2.34337,0.00046,0.0027,1.44203,2.99827,4.4403,1.44231,4.44058
245.tiff,canine lymphosarcoma,17678,47,0,100,100,6274,-0.00741,0.21427,0.0,3,100,100,2.71175,0.00115,5e-05,1.10086,0.24381,0.26915,0.00115,0.02636,0.63807,2.75612,0.0004,0.00212,1.61616,3.42307,5.03923,1.61624,5.03932
246.tiff,canine lymphosarcoma,18013,41,0,100,100,6548,-0.00539,0.16638,0.0,2,100,100,2.70681,0.00169,5e-05,1.08272,0.25446,0.19251,0.00096,0.02762,0.94093,3.94699,0.00055,0.00325,1.53239,4.91936,6.45174,1.53247,6.45185
300.tiff,canine cutaneous mast cell tumor,17940,45,0,100,100,14581,-0.05719,0.37148,0.0,2,100,100,2.9435,0.00132,5e-05,1.06388,0.23123,0.14044,0.00116,0.02671,0.64975,2.64318,0.00043,0.00244,1.43807,3.32251,4.76059,1.43815,4.76068
301.tiff,canine cutaneous mast cell tumor,17710,41,0,100,100,14969,-0.01365,0.20158,0.0,2,100,100,2.60692,0.00109,4e-05,1.00213,0.22384,0.1524,0.00107,0.02882,0.6324,2.213,0.00046,0.00246,1.38058,2.87712,4.2577,1.38066,4.2578
402.tiff,human neuroendocrine tumor,17532,29,0,100,100,20254,-0.05754,0.87053,0.0,2,100,100,3.26331,0.00092,4e-05,1.15917,0.27814,0.23918,0.00119,0.08111,0.60229,2.30446,0.00047,0.00221,1.67864,2.99054,4.66918,1.67872,4.66927
403.tiff,human neuroendocrine tumor,16150,51,1,100,100,20356,-0.0071,0.71813,0.0,2,100,100,3.38943,0.00104,4e-05,1.63047,0.27837,0.14732,0.00119,0.09697,0.59966,2.60405,0.00048,0.00219,2.05843,3.30334,5.36176,2.05866,5.36201
459.tiff,canine soft tissue sarcoma,17806,33,0,100,100,22441,-0.04479,0.53097,0.0,2,100,100,2.80975,0.00123,5e-05,1.11528,0.24636,0.1595,0.00124,0.02729,0.66243,3.12553,0.00043,0.00267,1.52366,3.81834,5.342,1.52376,5.34212
460.tiff,canine soft tissue sarcoma,15698,47,0,100,100,22577,-0.16232,0.97396,0.0,2,100,100,2.79567,0.00116,4e-05,1.11761,0.24328,0.11074,0.001,0.02818,0.56574,2.08405,0.00059,0.00237,1.47382,2.68093,4.15475,1.4739,4.15484
529.tiff,human melanoma,16620,37,0,100,100,24918,-0.05051,0.28553,0.0,2,100,100,3.8456,0.00111,4e-05,1.21269,0.27398,0.15197,0.00082,0.08088,0.58855,2.33676,0.00038,0.00199,1.64061,3.00856,4.64917,1.64069,4.64925
548.tiff,human melanoma,17839,29,0,100,100,25804,-0.06179,0.48898,0.0,2,100,100,4.08363,0.00089,4e-05,1.16117,0.28638,0.218,0.0022,0.08142,0.65121,3.40543,0.00044,0.00246,1.66868,4.14094,5.80963,1.6693,5.81025
