,mean,std,min,max
t_setup_ms,3167.578571428571,546.513461272134,2606.9,4250.0
t1_refine_seed_box_ms,1.1142857142857143,0.21788191176076888,0.8,1.7
t2_patch_template_build_ms,0.0,0.0,0.0,0.0
t3_template_matching_ms,1170.5285714285715,162.68329037437425,975.8,1630.5
t4_threshold_peak_extraction_ms,259.66428571428577,24.913005782981248,223.8,300.5
t5_nms_selfhit_ms,202.08571428571426,75.5556021151907,110.7,359.2
t6_rank_top100_ms,1.1999999999999997,0.31622776601683794,0.8,2.2
t7a_od_pad_ms,55.87142857142857,36.821553649823265,26.3,139.2
t7b_od51_loop_ms,662.4,101.62715415448008,565.7,940.9
t7c_od_ctx_loop_ms,2740.514285714286,520.1389205811239,2084.0,3947.0
t7d_od_contrast_subtract_ms,0.47857142857142865,0.08017837257372729,0.4,0.6
t8_od_contrast_rank_top100_ms,2.442857142857143,0.3005489483090406,2.0,3.2
t_tm_score_total_ms,1634.6214285714286,205.10575575530797,1380.6,2058.4
t_od_contrast_overhead_ms,3461.6857142857148,611.4958202978645,2680.9,4919.4
t_combined_total_ms,5096.321428571428,692.8293009643321,4154.8,6451.7
t_outer_tm_total_ms,1634.7714285714287,205.13204163536838,1380.7,2058.7
t_outer_combined_total_ms,5096.471428571429,692.8821172116137,4154.8,6451.8
pct_overhead,213.50714285714284,40.09316965203989,160.5,321.0
