roi,ann_id,base_size,area,solidity,eccentricity,cover_A_click,cover_B_component_asis,cover_C_component_fixed,move_A_click,move_B_component_asis,move_C_component_fixed
013.tiff,241,45,625,0.731,0.9075,0.9136,1.0,1.0,0.0,4.95,5.0
013.tiff,242,35,395,0.8739,0.9164,0.9899,1.0,1.0,0.0,2.236,1.581
013.tiff,246,39,901,0.8428,0.6874,0.98,0.9922,1.0,0.0,2.5,3.202
013.tiff,248,35,376,0.8704,0.9413,0.9707,0.992,1.0,0.0,3.536,3.606
013.tiff,249,39,998,0.9122,0.6198,0.988,0.994,1.0,0.0,2.693,2.5
013.tiff,250,45,1217,0.854,0.7159,0.9343,1.0,1.0,0.0,6.801,6.103
013.tiff,254,31,582,0.8447,0.8147,0.8746,0.9863,1.0,0.0,4.272,4.924
013.tiff,258,43,427,0.8389,0.9507,0.9977,1.0,1.0,0.0,0.5,1.118
013.tiff,263,29,583,0.9636,0.4691,0.9605,0.9966,1.0,0.0,2.5,2.062
094.tiff,2483,29,494,0.9251,0.3979,0.996,1.0,1.0,0.0,2.5,2.5
094.tiff,2486,27,469,0.9324,0.3458,0.9744,0.9979,1.0,0.0,2.5,3.202
094.tiff,2487,25,413,0.9472,0.552,0.9879,1.0,1.0,0.0,0.707,1.0
094.tiff,2489,31,586,0.9272,0.3755,0.9283,1.0,1.0,0.0,5.099,5.701
094.tiff,2492,13,50,0.8929,0.9275,1.0,1.0,1.0,0.0,1.414,0.707
094.tiff,2493,29,435,0.8824,0.6555,0.9747,1.0,1.0,0.0,3.041,2.5
094.tiff,2494,35,725,0.8192,0.7054,1.0,1.0,1.0,0.0,1.414,0.707
094.tiff,2495,35,555,0.9423,0.7738,0.9658,1.0,1.0,0.0,4.031,3.354
094.tiff,2499,35,619,0.7431,0.8645,0.7011,0.9871,1.0,0.0,10.966,11.673
094.tiff,2502,31,318,0.8641,0.8849,0.9874,0.9969,1.0,0.0,3.354,3.202
094.tiff,2505,29,483,0.913,0.1792,0.9917,1.0,1.0,0.0,3.041,2.693
