roi,variant,budget,tp_ref,tp_var,delta,gained,lost
245.tiff,ungated_click,10,0,0,0,[],[]
245.tiff,ungated_click,20,2,2,0,[],[]
245.tiff,ungated_click,30,2,2,0,[],[]
245.tiff,ungated_click,50,3,3,0,[],[]
245.tiff,ungated_recentred,10,0,1,1,[6334],[]
245.tiff,ungated_recentred,20,2,1,-1,[],[6322]
245.tiff,ungated_recentred,30,2,1,-1,[],[6322]
245.tiff,ungated_recentred,50,3,1,-2,[],"[6284, 6322]"
245.tiff,gated_recentred,10,0,1,1,[6334],[]
245.tiff,gated_recentred,20,2,1,-1,[],[6322]
245.tiff,gated_recentred,30,2,1,-1,[],[6322]
245.tiff,gated_recentred,50,3,1,-2,[],"[6284, 6322]"
403.tiff,ungated_click,10,4,4,0,"[20332, 20353]","[20361, 20401]"
403.tiff,ungated_click,20,8,6,-2,"[20336, 20352, 20353]","[20348, 20354, 20361, 20372, 20401]"
403.tiff,ungated_click,30,11,10,-1,"[20352, 20353, 20367, 20371]","[20354, 20357, 20372, 20377, 20401]"
403.tiff,ungated_click,50,15,17,2,"[20335, 20352, 20353, 20355, 20370, 20371, 20380]","[20349, 20357, 20377, 20385, 20401]"
403.tiff,ungated_recentred,10,4,5,1,"[20332, 20348, 20353, 20355]","[20361, 20373, 20401]"
403.tiff,ungated_recentred,20,8,9,1,"[20335, 20336, 20352, 20353, 20355, 20367]","[20354, 20361, 20372, 20373, 20401]"
403.tiff,ungated_recentred,30,11,13,2,"[20335, 20352, 20353, 20355, 20365, 20367, 20371]","[20357, 20361, 20372, 20377, 20401]"
403.tiff,ungated_recentred,50,15,19,4,"[20335, 20347, 20352, 20353, 20355, 20365, 20371, 20379, 20380, 20382]","[20349, 20372, 20377, 20378, 20385, 20401]"
403.tiff,gated_recentred,10,4,4,0,[20348],[20401]
403.tiff,gated_recentred,20,8,8,0,[],[]
403.tiff,gated_recentred,30,11,11,0,[20367],[20377]
403.tiff,gated_recentred,50,15,14,-1,[],[20349]
