cx,cy,score,rank,bucket,matched_ann_id,matched_category
4333.0,3512.0,17.881191,0,human_rejected_label,20362,2
3196.0,3714.0,16.594128,1,non_human_findings,-1,0
3312.0,3524.0,16.315283,2,human_correct_label,20363,1
3447.0,3415.0,15.806487,3,human_correct_label,20361,1
3187.0,3179.0,15.694616,4,non_human_findings,-1,0
2189.0,4490.0,15.4670925,5,non_human_findings,-1,0
4438.0,4168.0,15.39143,6,human_correct_label,20373,1
2644.0,3851.0,15.309854,7,non_human_findings,-1,0
3909.0,4511.0,14.962613,8,non_human_findings,-1,0
2316.0,4309.0,14.767145,9,human_correct_label,20401,1
2653.0,2414.0,14.659524,10,human_correct_label,20348,1
3149.0,255.0,14.411124,11,non_human_findings,-1,0
1845.0,2610.0,14.339382,12,non_human_findings,-1,0
4423.0,3118.0,14.215694,13,human_correct_label,20354,1
4309.0,4501.0,13.989354,14,human_correct_label,20372,1
2624.0,3880.0,13.739855,15,non_human_findings,-1,0
4161.0,75.0,13.7006035,16,human_correct_label,20332,1
4995.0,2833.0,13.651873,17,human_rejected_label,20366,2
3049.0,2977.0,13.60358,18,non_human_findings,-1,0
4148.0,2579.0,13.579172,19,human_rejected_label,20392,2
3923.0,1.0,13.571498,20,non_human_findings,-1,0
2192.0,2673.0,13.537907,21,non_human_findings,-1,0
1985.0,4411.0,13.452424,22,non_human_findings,-1,0
3814.0,3420.0,13.312105,23,non_human_findings,-1,0
3671.0,259.0,13.2481365,24,non_human_findings,-1,0
1948.0,3559.0,13.167883,25,human_correct_label,20357,1
2861.0,1936.0,13.107085,26,non_human_findings,-1,0
4996.0,154.0,12.958569,27,human_correct_label,20336,1
3626.0,4756.0,12.955176,28,human_correct_label,20377,1
2941.0,2553.0,12.881593,29,non_human_findings,-1,0
1771.0,3603.0,12.81003,30,non_human_findings,-1,0
2382.0,4746.0,12.801429,31,human_rejected_label,20387,2
2295.0,3399.0,12.781438,32,non_human_findings,-1,0
3426.0,2349.0,12.778698,33,non_human_findings,-1,0
2146.0,4584.0,12.75363,34,non_human_findings,-1,0
5233.0,2012.0,12.72995,35,non_human_findings,-1,0
1758.0,4004.0,12.719037,36,non_human_findings,-1,0
2467.0,3776.0,12.715286,37,non_human_findings,-1,0
2214.0,4327.0,12.70283,38,human_correct_label,20367,1
3408.0,2739.0,12.689471,39,human_rejected_label,20351,2
2873.0,3000.0,12.665578,40,non_human_findings,-1,0
3498.0,4737.0,12.453149,41,human_correct_label,20378,1
3120.0,2502.0,12.42837,42,non_human_findings,-1,0
3156.0,4660.0,12.418321,43,non_human_findings,-1,0
5074.0,2802.0,12.418049,44,non_human_findings,-1,0
2526.0,3782.0,12.355073,45,non_human_findings,-1,0
2916.0,2587.0,12.350217,46,human_correct_label,20349,1
2052.0,4643.0,12.333368,47,human_correct_label,20385,1
5245.0,2068.0,12.312895,48,non_human_findings,-1,0
3344.0,3632.0,12.253131,49,non_human_findings,-1,0
4411.0,3783.0,12.0696945,50,non_human_findings,-1,0
4581.0,3521.0,12.057071,51,human_correct_label,20365,1
1788.0,3644.0,12.012648,52,non_human_findings,-1,0
2271.0,3115.0,11.961027,53,non_human_findings,-1,0
2109.0,4810.0,11.939218,54,human_correct_label,20381,1
1930.0,3113.0,11.927007,55,non_human_findings,-1,0
5110.0,3729.0,11.9036665,56,non_human_findings,-1,0
2559.0,5061.0,11.890469,57,human_correct_label,20383,1
1989.0,4128.0,11.867528,58,non_human_findings,-1,0
2295.0,2260.0,11.865734,59,non_human_findings,-1,0
2712.0,2519.0,11.84193,60,non_human_findings,-1,0
4005.0,4234.0,11.82528,61,human_correct_label,20371,1
2069.0,4599.0,11.795059,62,non_human_findings,-1,0
4372.0,982.0,11.782546,63,human_correct_label,20338,1
4922.0,3301.0,11.752924,64,non_human_findings,-1,0
4872.0,2965.0,11.751288,65,non_human_findings,-1,0
3067.0,1022.0,11.732174,66,non_human_findings,-1,0
2196.0,2458.0,11.705951,67,non_human_findings,-1,0
2079.0,3579.0,11.678676,68,non_human_findings,-1,0
2008.0,5245.0,11.676995,69,human_correct_label,20386,1
2904.0,3177.0,11.636928,70,human_correct_label,20358,1
4616.0,1639.0,11.612744,71,non_human_findings,-1,0
3062.0,2380.0,11.5875025,72,non_human_findings,-1,0
3029.0,4625.0,11.575893,73,non_human_findings,-1,0
4464.0,1925.0,11.57411,74,human_rejected_label,20399,2
1881.0,2842.0,11.572024,75,non_human_findings,-1,0
4620.0,3432.0,11.522408,76,non_human_findings,-1,0
4458.0,3178.0,11.510669,77,non_human_findings,-1,0
4458.0,3635.0,11.498324,78,non_human_findings,-1,0
2309.0,3078.0,11.466879,79,non_human_findings,-1,0
3644.0,189.0,11.466802,80,non_human_findings,-1,0
3819.0,4529.0,11.466462,81,human_correct_label,20396,1
2718.0,1673.0,11.446338,82,human_correct_label,20344,1
