cx,cy,score,rank,bucket,matched_ann_id,matched_category
4335.0,3513.0,17.703077,0,human_rejected_label,20362,2
3198.0,3714.0,16.916294,1,non_human_findings,-1,0
3310.0,3523.0,16.65276,2,human_correct_label,20363,1
2647.0,3850.0,16.608288,3,non_human_findings,-1,0
3444.0,3417.0,16.136425,4,human_correct_label,20361,1
2188.0,4492.0,15.967821,5,non_human_findings,-1,0
4437.0,4166.0,15.939497,6,human_correct_label,20373,1
3188.0,3177.0,15.787017,7,non_human_findings,-1,0
3911.0,4510.0,15.301733,8,non_human_findings,-1,0
2654.0,2416.0,15.299629,9,human_correct_label,20348,1
2318.0,4309.0,15.026821,10,human_correct_label,20401,1
2621.0,3880.0,14.880816,11,non_human_findings,-1,0
1843.0,2609.0,14.642144,12,non_human_findings,-1,0
3147.0,255.0,14.591849,13,non_human_findings,-1,0
4163.0,73.0,14.24869,14,human_correct_label,20332,1
3050.0,2975.0,14.246959,15,non_human_findings,-1,0
4420.0,3120.0,14.219668,16,human_correct_label,20354,1
4308.0,4503.0,14.142909,17,human_correct_label,20372,1
1987.0,4410.0,14.099112,18,non_human_findings,-1,0
3921.0,2.0,13.949723,19,non_human_findings,-1,0
3816.0,3419.0,13.7474,20,non_human_findings,-1,0
4997.0,2832.0,13.5344515,21,human_rejected_label,20366,2
2194.0,2671.0,13.525415,22,non_human_findings,-1,0
4146.0,2580.0,13.472234,23,human_rejected_label,20392,2
3672.0,261.0,13.364816,24,non_human_findings,-1,0
4995.0,154.0,13.35476,25,human_correct_label,20336,1
1946.0,3560.0,13.299935,26,human_correct_label,20357,1
2215.0,4325.0,13.279966,27,human_correct_label,20367,1
1755.0,4005.0,13.251472,28,non_human_findings,-1,0
2942.0,2551.0,13.2421055,29,non_human_findings,-1,0
3619.0,4759.0,13.218527,30,human_correct_label,20377,1
3406.0,2737.0,13.173639,31,human_rejected_label,20351,2
3107.0,2504.0,13.147086,32,non_human_findings,-1,0
2297.0,3398.0,13.138742,33,non_human_findings,-1,0
3428.0,2348.0,13.056871,34,non_human_findings,-1,0
5232.0,2014.0,13.011586,35,non_human_findings,-1,0
2147.0,4586.0,12.985314,36,non_human_findings,-1,0
2860.0,1935.0,12.977359,37,non_human_findings,-1,0
1769.0,3602.0,12.968836,38,non_human_findings,-1,0
2468.0,3774.0,12.9141,39,non_human_findings,-1,0
3500.0,4738.0,12.818198,40,human_correct_label,20378,1
5075.0,2804.0,12.769028,41,non_human_findings,-1,0
1789.0,3642.0,12.652048,42,non_human_findings,-1,0
2380.0,4747.0,12.628931,43,human_rejected_label,20387,2
3154.0,4661.0,12.6036415,44,non_human_findings,-1,0
2525.0,3780.0,12.578497,45,non_human_findings,-1,0
5243.0,2067.0,12.567195,46,non_human_findings,-1,0
2874.0,2998.0,12.541854,47,non_human_findings,-1,0
2050.0,4644.0,12.403152,48,human_correct_label,20385,1
3345.0,3630.0,12.367156,49,non_human_findings,-1,0
2068.0,4601.0,12.31846,50,non_human_findings,-1,0
2269.0,3114.0,12.312824,51,non_human_findings,-1,0
5108.0,3730.0,12.286117,52,non_human_findings,-1,0
4578.0,3522.0,12.159537,53,human_correct_label,20365,1
4003.0,4236.0,12.143226,54,human_correct_label,20371,1
4413.0,3782.0,12.137578,55,non_human_findings,-1,0
2561.0,5060.0,12.097528,56,human_correct_label,20383,1
2702.0,2518.0,12.094513,57,non_human_findings,-1,0
2199.0,2456.0,12.074947,58,non_human_findings,-1,0
2108.0,4812.0,12.061934,59,human_correct_label,20381,1
1991.0,4126.0,12.059059,60,non_human_findings,-1,0
4920.0,3302.0,12.057039,61,non_human_findings,-1,0
3069.0,1021.0,11.997072,62,non_human_findings,-1,0
2580.0,1905.0,11.990839,63,non_human_findings,-1,0
2295.0,2262.0,11.982308,64,non_human_findings,-1,0
3064.0,2381.0,11.965278,65,non_human_findings,-1,0
2917.0,2589.0,11.947273,66,human_correct_label,20349,1
4371.0,980.0,11.934788,67,human_correct_label,20338,1
1885.0,2840.0,11.932388,68,non_human_findings,-1,0
4621.0,3429.0,11.924623,69,non_human_findings,-1,0
3821.0,4528.0,11.882363,70,human_correct_label,20396,1
2895.0,2880.0,11.855139,71,non_human_findings,-1,0
3150.0,3386.0,11.842853,72,non_human_findings,-1,0
4614.0,1640.0,11.825859,73,non_human_findings,-1,0
2312.0,3079.0,11.777761,74,non_human_findings,-1,0
3402.0,73.0,11.730813,75,non_human_findings,-1,0
5323.0,635.0,11.7219925,76,non_human_findings,-1,0
2905.0,3177.0,11.719354,77,human_correct_label,20358,1
2720.0,1674.0,11.71065,78,human_correct_label,20344,1
3027.0,4624.0,11.698275,79,non_human_findings,-1,0
1866.0,2423.0,11.667227,80,non_human_findings,-1,0
2077.0,3578.0,11.662831,81,non_human_findings,-1,0
1853.0,5375.0,11.658125,82,human_correct_label,20384,1
2009.0,5244.0,11.65021,83,human_correct_label,20386,1
3891.0,3958.0,11.647768,84,non_human_findings,-1,0
4873.0,2962.0,11.630078,85,non_human_findings,-1,0
1896.0,2364.0,11.613397,86,non_human_findings,-1,0
1928.0,3112.0,11.576249,87,non_human_findings,-1,0
1904.0,2253.0,11.552856,88,non_human_findings,-1,0
2609.0,1769.0,11.515828,89,non_human_findings,-1,0
1820.0,5240.0,11.463665,90,non_human_findings,-1,0
4448.0,3632.0,11.461819,91,non_human_findings,-1,0
3393.0,5083.0,11.45666,92,human_correct_label,20379,1
4463.0,1924.0,11.453911,93,human_rejected_label,20399,2
4778.0,3309.0,11.453569,94,non_human_findings,-1,0
5313.0,965.0,11.444508,95,human_rejected_label,20418,2
2035.0,4305.0,11.431211,96,non_human_findings,-1,0
3408.0,4937.0,11.426467,97,non_human_findings,-1,0
1879.0,4254.0,11.412261,98,non_human_findings,-1,0
3807.0,4760.0,11.407769,99,non_human_findings,-1,0
1826.0,3606.0,11.405993,100,non_human_findings,-1,0
2777.0,4988.0,11.375808,101,non_human_findings,-1,0
3654.0,177.0,11.3044815,102,non_human_findings,-1,0
3783.0,3507.0,11.30287,103,non_human_findings,-1,0
4981.0,1910.0,11.28724,104,non_human_findings,-1,0
4460.0,3177.0,11.286901,105,non_human_findings,-1,0
2213.0,4365.0,11.260536,106,non_human_findings,-1,0
1915.0,3194.0,11.256649,107,non_human_findings,-1,0
5226.0,358.0,11.248519,108,human_correct_label,20335,1
1892.0,3597.0,11.238262,109,non_human_findings,-1,0
2090.0,3410.0,11.227292,110,human_correct_label,20355,1
3011.0,3814.0,11.208386,111,non_human_findings,-1,0
1967.0,4243.0,11.192856,112,non_human_findings,-1,0
2127.0,3351.0,11.161737,113,non_human_findings,-1,0
3392.0,3241.0,11.159206,114,non_human_findings,-1,0
1755.0,4131.0,11.142666,115,non_human_findings,-1,0
3719.0,3919.0,11.124145,116,non_human_findings,-1,0
3093.0,4478.0,11.122828,117,non_human_findings,-1,0
4766.0,220.0,11.110932,118,non_human_findings,-1,0
4424.0,1805.0,11.099878,119,non_human_findings,-1,0
1936.0,2623.0,11.093999,120,non_human_findings,-1,0
3813.0,3137.0,11.055213,121,non_human_findings,-1,0
2082.0,3457.0,11.014382,122,non_human_findings,-1,0
2153.0,2624.0,10.984769,123,non_human_findings,-1,0
1742.0,3731.0,10.9814,124,non_human_findings,-1,0
2648.0,1664.0,10.977796,125,human_correct_label,20343,1
2822.0,4168.0,10.972927,126,human_correct_label,20369,1
2193.0,2889.0,10.937488,127,non_human_findings,-1,0
1880.0,4109.0,10.926783,128,non_human_findings,-1,0
2159.0,4246.0,10.923589,129,non_human_findings,-1,0
5385.0,2594.0,10.91043,130,non_human_findings,-1,0
5299.0,2049.0,10.878787,131,non_human_findings,-1,0
2103.0,4095.0,10.878768,132,non_human_findings,-1,0
3221.0,2856.0,10.878681,133,non_human_findings,-1,0
3183.0,999.0,10.864355,134,non_human_findings,-1,0
2461.0,4339.0,10.85586,135,non_human_findings,-1,0
4646.0,69.0,10.847026,136,non_human_findings,-1,0
1943.0,4329.0,10.845477,137,non_human_findings,-1,0
1794.0,3768.0,10.83923,138,non_human_findings,-1,0
2073.0,4412.0,10.834167,139,non_human_findings,-1,0
3835.0,352.0,10.830579,140,non_human_findings,-1,0
2796.0,2699.0,10.801792,141,non_human_findings,-1,0
19.0,2045.0,10.793979,142,non_human_findings,-1,0
2631.0,4997.0,10.792338,143,non_human_findings,-1,0
1989.0,3222.0,10.79008,144,non_human_findings,-1,0
2094.0,3266.0,10.789618,145,non_human_findings,-1,0
2152.0,2374.0,10.758536,146,non_human_findings,-1,0
1970.0,3960.0,10.747884,147,human_correct_label,20368,1
3480.0,4978.0,10.717081,148,non_human_findings,-1,0
2269.0,3324.0,10.70167,149,non_human_findings,-1,0
