cx,cy,score,rank,bucket,matched_ann_id,matched_category
3319.0,3543.0,5.3657384,0,human_correct_label,20363,1
4142.0,93.0,5.3633037,1,human_correct_label,20332,1
2078.0,3442.0,5.303889,2,non_human_findings,-1,0
3190.0,3702.0,5.160134,3,non_human_findings,-1,0
4176.0,78.0,5.1120024,4,non_human_findings,-1,0
4680.0,2955.0,5.1069093,5,human_correct_label,20353,1
3316.0,3510.0,5.1019044,6,non_human_findings,-1,0
3393.0,2742.0,5.0829434,7,human_rejected_label,20351,2
4421.0,4168.0,5.000768,8,human_correct_label,20373,1
3658.0,3511.0,4.9515944,9,non_human_findings,-1,0
2310.0,3400.0,4.951423,10,non_human_findings,-1,0
2938.0,2539.0,4.919738,11,non_human_findings,-1,0
5312.0,2719.0,4.9017863,12,human_correct_label,20352,1
4331.0,3528.0,4.8861184,13,human_rejected_label,20362,2
4996.0,169.0,4.7609076,14,human_correct_label,20336,1
4148.0,2596.0,4.724797,15,human_rejected_label,20392,2
3357.0,3635.0,4.709686,16,non_human_findings,-1,0
2191.0,2659.0,4.704015,17,non_human_findings,-1,0
4385.0,3793.0,4.689234,18,non_human_findings,-1,0
3162.0,3184.0,4.682732,19,non_human_findings,-1,0
2865.0,1921.0,4.6825027,20,non_human_findings,-1,0
4010.0,4214.0,4.666208,21,human_correct_label,20371,1
3506.0,2492.0,4.65137,22,non_human_findings,-1,0
2174.0,4488.0,4.646469,23,non_human_findings,-1,0
2193.0,4358.0,4.637853,24,human_correct_label,20367,1
3906.0,0.0,4.615448,25,non_human_findings,-1,0
2051.0,4301.0,4.6109257,26,non_human_findings,-1,0
2652.0,2430.0,4.5989842,27,human_correct_label,20348,1
4926.0,3316.0,4.561037,28,non_human_findings,-1,0
3445.0,3433.0,4.5245953,29,human_correct_label,20361,1
4988.0,2854.0,4.4762683,30,human_rejected_label,20366,2
4453.0,3649.0,4.466702,31,non_human_findings,-1,0
3925.0,46.0,4.456816,32,non_human_findings,-1,0
4440.0,3111.0,4.448811,33,human_correct_label,20354,1
2097.0,3393.0,4.439091,34,human_correct_label,20355,1
3470.0,4726.0,4.4375734,35,human_correct_label,20378,1
5306.0,946.0,4.3943124,36,human_rejected_label,20418,2
3808.0,4455.0,4.382963,37,human_correct_label,20370,1
3136.0,255.0,4.373464,38,non_human_findings,-1,0
4331.0,4494.0,4.3462725,39,human_correct_label,20372,1
2188.0,2696.0,4.3270917,40,non_human_findings,-1,0
2605.0,3880.0,4.326138,41,non_human_findings,-1,0
4934.0,4070.0,4.32406,42,human_correct_label,20380,1
1783.0,3996.0,4.31136,43,non_human_findings,-1,0
5224.0,346.0,4.3004727,44,human_correct_label,20335,1
2782.0,4975.0,4.2953987,45,non_human_findings,-1,0
2865.0,1957.0,4.2934465,46,non_human_findings,-1,0
3907.0,4495.0,4.2821355,47,non_human_findings,-1,0
2000.0,4417.0,4.2702575,48,non_human_findings,-1,0
3188.0,3163.0,4.261972,49,non_human_findings,-1,0
3476.0,3407.0,4.2582045,50,non_human_findings,-1,0
1795.0,5299.0,4.249204,51,non_human_findings,-1,0
2310.0,2445.0,4.2466645,52,non_human_findings,-1,0
2222.0,2182.0,4.2462997,53,non_human_findings,-1,0
3103.0,2496.0,4.2455864,54,non_human_findings,-1,0
2630.0,3843.0,4.2284775,55,non_human_findings,-1,0
4412.0,3763.0,4.2247753,56,non_human_findings,-1,0
2898.0,3164.0,4.21044,57,human_correct_label,20358,1
3682.0,255.0,4.2038054,58,non_human_findings,-1,0
4328.0,3484.0,4.200938,59,non_human_findings,-1,0
1972.0,3549.0,4.191365,60,human_correct_label,20357,1
1718.0,3675.0,4.185826,61,non_human_findings,-1,0
4402.0,3125.0,4.185729,62,non_human_findings,-1,0
5320.0,2933.0,4.163707,63,non_human_findings,-1,0
