cx,cy,score,rank,bucket,matched_ann_id,matched_category
3317.0,3523.0,9.20371,0,human_correct_label,20363,1
3407.0,2748.0,9.16559,1,human_rejected_label,20351,2
2080.0,3455.0,9.0969095,2,non_human_findings,-1,0
4163.0,79.0,9.004569,3,human_correct_label,20332,1
3191.0,3714.0,9.002295,4,non_human_findings,-1,0
4692.0,2955.0,8.904094,5,human_correct_label,20353,1
2648.0,2410.0,8.706366,6,human_correct_label,20348,1
3114.0,2495.0,8.610657,7,non_human_findings,-1,0
2297.0,3401.0,8.471072,8,non_human_findings,-1,0
2095.0,3411.0,8.453704,9,human_correct_label,20355,1
5223.0,359.0,8.419735,10,human_correct_label,20335,1
2212.0,4358.0,8.397872,11,human_correct_label,20367,1
5295.0,2717.0,8.214922,12,human_correct_label,20352,1
3518.0,2491.0,8.20106,13,non_human_findings,-1,0
4996.0,156.0,8.191772,14,human_correct_label,20336,1
2865.0,1935.0,8.18474,15,non_human_findings,-1,0
3175.0,3184.0,8.130096,16,non_human_findings,-1,0
4938.0,736.0,7.9920807,17,non_human_findings,-1,0
3444.0,4944.0,7.936501,18,non_human_findings,-1,0
2191.0,2679.0,7.8932,19,non_human_findings,-1,0
3344.0,3636.0,7.890455,20,non_human_findings,-1,0
4148.0,2582.0,7.882087,21,human_rejected_label,20392,2
4323.0,3504.0,7.83848,22,human_rejected_label,20362,2
3041.0,2996.0,7.8121986,23,non_human_findings,-1,0
4414.0,3126.0,7.7601266,24,human_correct_label,20354,1
5307.0,964.0,7.7530956,25,human_rejected_label,20418,2
4236.0,3233.0,7.699226,26,non_human_findings,-1,0
4008.0,4228.0,7.679914,27,human_correct_label,20371,1
4589.0,3521.0,7.66783,28,human_correct_label,20365,1
4434.0,4167.0,7.6547074,29,human_correct_label,20373,1
3446.0,3419.0,7.6306653,30,human_correct_label,20361,1
3670.0,255.0,7.5977097,31,non_human_findings,-1,0
4951.0,4074.0,7.5586452,32,human_correct_label,20380,1
3151.0,255.0,7.4251113,33,non_human_findings,-1,0
2188.0,4487.0,7.416549,34,non_human_findings,-1,0
3710.0,3919.0,7.413413,35,non_human_findings,-1,0
2784.0,4989.0,7.4095397,36,non_human_findings,-1,0
4724.0,807.0,7.3641286,37,non_human_findings,-1,0
4943.0,1374.0,7.35974,38,human_correct_label,20347,1
3385.0,5090.0,7.294307,39,human_correct_label,20379,1
3095.0,4472.0,7.2923636,40,non_human_findings,-1,0
4455.0,3637.0,7.2693806,41,non_human_findings,-1,0
2038.0,4303.0,7.2392697,42,non_human_findings,-1,0
2534.0,3788.0,7.2150774,43,non_human_findings,-1,0
3646.0,3512.0,7.1642914,44,non_human_findings,-1,0
4926.0,3302.0,7.145012,45,non_human_findings,-1,0
1959.0,3551.0,7.141238,46,human_correct_label,20357,1
5240.0,580.0,7.115162,47,non_human_findings,-1,0
2454.0,4984.0,7.103838,48,human_correct_label,20382,1
2040.0,3901.0,7.094633,49,non_human_findings,-1,0
2814.0,4168.0,7.0857387,50,human_correct_label,20369,1
2120.0,4802.0,7.069312,51,human_correct_label,20381,1
3810.0,4468.0,7.0563006,52,human_correct_label,20370,1
4675.0,3558.0,7.0520678,53,non_human_findings,-1,0
2386.0,4747.0,7.0407915,54,human_rejected_label,20387,2
3906.0,4511.0,6.9884543,55,non_human_findings,-1,0
2936.0,2552.0,6.986307,56,non_human_findings,-1,0
3469.0,81.0,6.971648,57,non_human_findings,-1,0
4707.0,3629.0,6.966323,58,non_human_findings,-1,0
3535.0,64.0,6.9537697,59,non_human_findings,-1,0
2459.0,3783.0,6.939901,60,non_human_findings,-1,0
1894.0,3600.0,6.8565273,61,non_human_findings,-1,0
2130.0,3988.0,6.8209443,62,non_human_findings,-1,0
1960.0,4273.0,6.8205857,63,non_human_findings,-1,0
4068.0,2144.0,6.817741,64,non_human_findings,-1,0
3221.0,3952.0,6.8173356,65,non_human_findings,-1,0
4989.0,2840.0,6.8141756,66,human_rejected_label,20366,2
1869.0,2837.0,6.7665205,67,non_human_findings,-1,0
4470.0,1924.0,6.746168,68,human_rejected_label,20399,2
2328.0,2451.0,6.723311,69,non_human_findings,-1,0
2899.0,3176.0,6.720168,70,human_correct_label,20358,1
2918.0,2586.0,6.7133713,71,human_correct_label,20349,1
5198.0,2020.0,6.711698,72,non_human_findings,-1,0
4397.0,3792.0,6.700585,73,non_human_findings,-1,0
4386.0,3368.0,6.6843877,74,non_human_findings,-1,0
2063.0,4636.0,6.678988,75,human_correct_label,20385,1
3635.0,4747.0,6.678026,76,human_correct_label,20377,1
3421.0,2351.0,6.641568,77,non_human_findings,-1,0
2246.0,2206.0,6.619154,78,non_human_findings,-1,0
1907.0,2261.0,6.6047435,79,non_human_findings,-1,0
2158.0,2668.0,6.6045966,80,non_human_findings,-1,0
5260.0,2881.0,6.602279,81,non_human_findings,-1,0
3917.0,0.0,6.6011615,82,non_human_findings,-1,0
1982.0,4421.0,6.577236,83,non_human_findings,-1,0
2885.0,4772.0,6.555331,84,human_correct_label,20376,1
4607.0,24.0,6.5536923,85,non_human_findings,-1,0
1866.0,2431.0,6.520389,86,non_human_findings,-1,0
3516.0,3971.0,6.5161157,87,non_human_findings,-1,0
5376.0,2547.0,6.514281,88,non_human_findings,-1,0
1939.0,3117.0,6.5047674,89,non_human_findings,-1,0
3854.0,705.0,6.502629,90,non_human_findings,-1,0
1707.0,3676.0,6.5004115,91,non_human_findings,-1,0
4166.0,5237.0,6.495171,92,non_human_findings,-1,0
3647.0,189.0,6.4858303,93,non_human_findings,-1,0
3059.0,2382.0,6.483054,94,non_human_findings,-1,0
5210.0,4302.0,6.4706125,95,non_human_findings,-1,0
5061.0,2797.0,6.4624286,96,non_human_findings,-1,0
3560.0,3710.0,6.4548855,97,non_human_findings,-1,0
4394.0,157.0,6.454857,98,non_human_findings,-1,0
4368.0,982.0,6.451444,99,human_correct_label,20338,1
4310.0,4496.0,6.4470224,100,human_correct_label,20372,1
1770.0,3996.0,6.445125,101,non_human_findings,-1,0
2507.0,3391.0,6.4407206,102,non_human_findings,-1,0
3177.0,557.0,6.434221,103,non_human_findings,-1,0
3960.0,1967.0,6.4221206,104,non_human_findings,-1,0
5305.0,2038.0,6.406705,105,non_human_findings,-1,0
4986.0,4422.0,6.395198,106,non_human_findings,-1,0
4764.0,224.0,6.3920007,107,non_human_findings,-1,0
4315.0,1346.0,6.3913765,108,human_rejected_label,20342,2
4532.0,30.0,6.38253,109,non_human_findings,-1,0
1899.0,2359.0,6.3692846,110,non_human_findings,-1,0
6313.0,2511.0,6.366091,111,non_human_findings,-1,0
4691.0,3770.0,6.3572397,112,non_human_findings,-1,0
4771.0,3308.0,6.3535094,113,non_human_findings,-1,0
2229.0,2973.0,6.348214,114,human_correct_label,20356,1
5309.0,2933.0,6.3234663,115,non_human_findings,-1,0
4978.0,1914.0,6.305306,116,non_human_findings,-1,0
2322.0,4311.0,6.299651,117,human_correct_label,20401,1
1909.0,3193.0,6.2967176,118,non_human_findings,-1,0
3011.0,5298.0,6.286495,119,non_human_findings,-1,0
2653.0,3841.0,6.2721057,120,non_human_findings,-1,0
1101.0,3086.0,6.257963,121,non_human_findings,-1,0
2749.0,3272.0,6.2543926,122,non_human_findings,-1,0
3190.0,5310.0,6.251409,123,non_human_findings,-1,0
1790.0,5318.0,6.228788,124,non_human_findings,-1,0
2874.0,4825.0,6.225928,125,non_human_findings,-1,0
4526.0,2910.0,6.220919,126,non_human_findings,-1,0
4776.0,2713.0,6.217313,127,non_human_findings,-1,0
2433.0,5371.0,6.2168455,128,non_human_findings,-1,0
4064.0,3054.0,6.212944,129,non_human_findings,-1,0
2244.0,2314.0,6.2026596,130,non_human_findings,-1,0
2334.0,4007.0,6.1999965,131,non_human_findings,-1,0
3938.0,45.0,6.1923842,132,non_human_findings,-1,0
2627.0,2646.0,6.184217,133,non_human_findings,-1,0
2328.0,2330.0,6.184077,134,non_human_findings,-1,0
2096.0,3370.0,6.1837835,135,non_human_findings,-1,0
2986.0,3979.0,6.1722527,136,non_human_findings,-1,0
4003.0,536.0,6.1619086,137,non_human_findings,-1,0
6405.0,4101.0,6.154673,138,non_human_findings,-1,0
2793.0,3901.0,6.1536427,139,non_human_findings,-1,0
2151.0,2631.0,6.128294,140,non_human_findings,-1,0
2243.0,2244.0,6.12658,141,non_human_findings,-1,0
4630.0,4760.0,6.1239076,142,non_human_findings,-1,0
1060.0,2066.0,6.1233425,143,non_human_findings,-1,0
2611.0,1903.0,6.1121016,144,non_human_findings,-1,0
3817.0,3418.0,6.0931387,145,non_human_findings,-1,0
2071.0,4405.0,6.090008,146,non_human_findings,-1,0
3483.0,4725.0,6.0876346,147,human_correct_label,20378,1
3162.0,4659.0,6.080876,148,non_human_findings,-1,0
2192.0,2450.0,6.076612,149,non_human_findings,-1,0
4080.0,772.0,6.076567,150,non_human_findings,-1,0
5212.0,2125.0,6.0716853,151,non_human_findings,-1,0
584.0,5411.0,6.0636992,152,non_human_findings,-1,0
15.0,2042.0,6.052011,153,non_human_findings,-1,0
2617.0,3881.0,6.050665,154,non_human_findings,-1,0
3312.0,4401.0,6.0446286,155,non_human_findings,-1,0
3624.0,3433.0,6.0398726,156,non_human_findings,-1,0
2620.0,1761.0,6.037879,157,non_human_findings,-1,0
1862.0,5390.0,6.0327063,158,human_correct_label,20384,1
2101.0,3900.0,6.0324044,159,non_human_findings,-1,0
3804.0,4756.0,6.030009,160,non_human_findings,-1,0
2275.0,3115.0,6.0281525,161,non_human_findings,-1,0
2592.0,3365.0,6.026784,162,non_human_findings,-1,0
3840.0,351.0,6.025298,163,non_human_findings,-1,0
1942.0,4325.0,6.0212426,164,non_human_findings,-1,0
2018.0,4429.0,6.015759,165,non_human_findings,-1,0
4738.0,4270.0,6.015363,166,non_human_findings,-1,0
5070.0,3927.0,6.009586,167,non_human_findings,-1,0
1939.0,2239.0,6.0036836,168,non_human_findings,-1,0
2393.0,4809.0,6.0035152,169,non_human_findings,-1,0
3475.0,4977.0,5.9932137,170,non_human_findings,-1,0
1747.0,944.0,5.9806385,171,non_human_findings,-1,0
2579.0,1668.0,5.976731,172,non_human_findings,-1,0
7116.0,3398.0,5.9765606,173,non_human_findings,-1,0
414.0,2405.0,5.9742956,174,non_human_findings,-1,0
3130.0,3440.0,5.970193,175,human_correct_label,20364,1
2634.0,1791.0,5.968601,176,non_human_findings,-1,0
1380.0,2205.0,5.9629917,177,non_human_findings,-1,0
5302.0,2005.0,5.962445,178,non_human_findings,-1,0
4847.0,2613.0,5.9596095,179,non_human_findings,-1,0
5120.0,3169.0,5.956381,180,non_human_findings,-1,0
3214.0,2367.0,5.954394,181,non_human_findings,-1,0
190.0,4358.0,5.9517417,182,non_human_findings,-1,0
4696.0,1644.0,5.9387136,183,non_human_findings,-1,0
2267.0,3325.0,5.930825,184,non_human_findings,-1,0
4137.0,1130.0,5.923554,185,non_human_findings,-1,0
5267.0,1981.0,5.9208446,186,non_human_findings,-1,0
1021.0,2447.0,5.9140034,187,non_human_findings,-1,0
3379.0,3581.0,5.912786,188,non_human_findings,-1,0
626.0,2700.0,5.912485,189,non_human_findings,-1,0
3839.0,4428.0,5.911341,190,non_human_findings,-1,0
3634.0,983.0,5.9046054,191,non_human_findings,-1,0
1766.0,4135.0,5.899997,192,non_human_findings,-1,0
2666.0,3107.0,5.899048,193,non_human_findings,-1,0
4163.0,2194.0,5.8980036,194,non_human_findings,-1,0
5094.0,749.0,5.892974,195,non_human_findings,-1,0
3957.0,779.0,5.892621,196,non_human_findings,-1,0
2946.0,2995.0,5.8871384,197,human_correct_label,20359,1
5238.0,2007.0,5.8863387,198,non_human_findings,-1,0
4811.0,3921.0,5.884746,199,non_human_findings,-1,0
3447.0,1731.0,5.8769083,200,non_human_findings,-1,0
5250.0,2074.0,5.8747272,201,non_human_findings,-1,0
2272.0,3170.0,5.8720164,202,non_human_findings,-1,0
4085.0,2853.0,5.8700676,203,human_rejected_label,20395,2
133.0,4496.0,5.8672433,204,non_human_findings,-1,0
2709.0,2519.0,5.8515606,205,non_human_findings,-1,0
2173.0,5157.0,5.850481,206,non_human_findings,-1,0
3122.0,544.0,5.8463984,207,non_human_findings,-1,0
3791.0,3499.0,5.845514,208,non_human_findings,-1,0
1897.0,3131.0,5.8357606,209,human_rejected_label,20394,2
2273.0,3530.0,5.834867,210,non_human_findings,-1,0
4027.0,2876.0,5.8332253,211,non_human_findings,-1,0
5372.0,1643.0,5.8308945,212,non_human_findings,-1,0
2579.0,1964.0,5.826444,213,non_human_findings,-1,0
3805.0,3584.0,5.8219614,214,non_human_findings,-1,0
6336.0,2728.0,5.812351,215,non_human_findings,-1,0
2298.0,3072.0,5.8084364,216,non_human_findings,-1,0
3277.0,591.0,5.8075385,217,non_human_findings,-1,0
2108.0,4100.0,5.801177,218,non_human_findings,-1,0
499.0,3256.0,5.7849317,219,non_human_findings,-1,0
1876.0,3298.0,5.7785516,220,non_human_findings,-1,0
6993.0,3202.0,5.7746305,221,non_human_findings,-1,0
3933.0,101.0,5.7727675,222,non_human_findings,-1,0
4023.0,3004.0,5.771566,223,non_human_findings,-1,0
6318.0,4230.0,5.7568746,224,non_human_findings,-1,0
4617.0,3431.0,5.7562685,225,non_human_findings,-1,0
4274.0,2196.0,5.7485533,226,non_human_findings,-1,0
4155.0,2791.0,5.7484837,227,non_human_findings,-1,0
5384.0,2586.0,5.7462034,228,non_human_findings,-1,0
2293.0,2256.0,5.746096,229,non_human_findings,-1,0
4020.0,29.0,5.745798,230,non_human_findings,-1,0
4107.0,2905.0,5.736889,231,non_human_findings,-1,0
1836.0,2622.0,5.735187,232,non_human_findings,-1,0
4513.0,5371.0,5.7321014,233,non_human_findings,-1,0
3729.0,0.0,5.731863,234,non_human_findings,-1,0
4234.0,648.0,5.730465,235,non_human_findings,-1,0
2548.0,5068.0,5.72823,236,human_correct_label,20383,1
2068.0,4132.0,5.7268276,237,non_human_findings,-1,0
3016.0,483.0,5.7178745,238,non_human_findings,-1,0
4040.0,2838.0,5.7176137,239,non_human_findings,-1,0
2217.0,4320.0,5.716985,240,non_human_findings,-1,0
1105.0,3041.0,5.7141,241,non_human_findings,-1,0
1080.0,2316.0,5.7114286,242,non_human_findings,-1,0
3604.0,179.0,5.709438,243,non_human_findings,-1,0
4447.0,3184.0,5.707617,244,non_human_findings,-1,0
2675.0,3338.0,5.7050133,245,non_human_findings,-1,0
2729.0,3025.0,5.703974,246,non_human_findings,-1,0
7050.0,4107.0,5.6976004,247,non_human_findings,-1,0
1775.0,3600.0,5.6942935,248,non_human_findings,-1,0
3234.0,3829.0,5.685192,249,non_human_findings,-1,0
1365.0,3493.0,5.683283,250,non_human_findings,-1,0
4654.0,4499.0,5.6804028,251,non_human_findings,-1,0
3330.0,833.0,5.680392,252,non_human_findings,-1,0
2076.0,4603.0,5.679551,253,non_human_findings,-1,0
3666.0,1166.0,5.676054,254,non_human_findings,-1,0
3740.0,2568.0,5.6746325,255,non_human_findings,-1,0
5901.0,3970.0,5.6704655,256,non_human_findings,-1,0
2940.0,4844.0,5.6635904,257,non_human_findings,-1,0
2537.0,1295.0,5.658613,258,non_human_findings,-1,0
3949.0,2978.0,5.656681,259,non_human_findings,-1,0
3593.0,1084.0,5.6454496,260,non_human_findings,-1,0
2326.0,867.0,5.6453815,261,non_human_findings,-1,0
3921.0,2579.0,5.643253,262,non_human_findings,-1,0
4831.0,4725.0,5.6404214,263,non_human_findings,-1,0
5201.0,3416.0,5.638491,264,non_human_findings,-1,0
2610.0,4376.0,5.636881,265,non_human_findings,-1,0
2654.0,1674.0,5.6336665,266,human_correct_label,20343,1
1742.0,1620.0,5.6330075,267,non_human_findings,-1,0
1162.0,2692.0,5.632801,268,non_human_findings,-1,0
4931.0,101.0,5.6285915,269,non_human_findings,-1,0
3302.0,628.0,5.6282444,270,non_human_findings,-1,0
5233.0,3934.0,5.620881,271,non_human_findings,-1,0
1871.0,4250.0,5.620494,272,non_human_findings,-1,0
1893.0,3509.0,5.6181927,273,non_human_findings,-1,0
4893.0,406.0,5.6174846,274,non_human_findings,-1,0
3175.0,996.0,5.6157618,275,non_human_findings,-1,0
3817.0,4544.0,5.60767,276,human_correct_label,20396,1
4602.0,4735.0,5.6070848,277,human_correct_label,20388,1
2288.0,2439.0,5.6047597,278,non_human_findings,-1,0
5190.0,388.0,5.6019607,279,non_human_findings,-1,0
102.0,4511.0,5.6004696,280,non_human_findings,-1,0
5488.0,1577.0,5.599068,281,non_human_findings,-1,0
6869.0,4943.0,5.598603,282,non_human_findings,-1,0
2034.0,3201.0,5.5959487,283,non_human_findings,-1,0
4620.0,1641.0,5.593148,284,non_human_findings,-1,0
2083.0,3579.0,5.5923285,285,non_human_findings,-1,0
3703.0,2090.0,5.590156,286,non_human_findings,-1,0
3279.0,2829.0,5.590007,287,non_human_findings,-1,0
4767.0,1568.0,5.589904,288,non_human_findings,-1,0
1887.0,4145.0,5.589629,289,non_human_findings,-1,0
2452.0,1717.0,5.586732,290,non_human_findings,-1,0
2481.0,3033.0,5.5790014,291,non_human_findings,-1,0
2074.0,4291.0,5.5785985,292,non_human_findings,-1,0
3480.0,2292.0,5.5780187,293,non_human_findings,-1,0
3042.0,4630.0,5.574063,294,non_human_findings,-1,0
152.0,4397.0,5.5718036,295,non_human_findings,-1,0
2498.0,2801.0,5.570624,296,non_human_findings,-1,0
3646.0,635.0,5.566681,297,non_human_findings,-1,0
5820.0,4052.0,5.565997,298,non_human_findings,-1,0
4865.0,4566.0,5.561118,299,non_human_findings,-1,0
1365.0,2076.0,5.559072,300,non_human_findings,-1,0
3618.0,286.0,5.5581045,301,non_human_findings,-1,0
1777.0,3820.0,5.555126,302,non_human_findings,-1,0
1792.0,5108.0,5.5537124,303,non_human_findings,-1,0
4280.0,3700.0,5.546271,304,non_human_findings,-1,0
4168.0,3870.0,5.544973,305,non_human_findings,-1,0
3480.0,35.0,5.5439153,306,non_human_findings,-1,0
3011.0,3818.0,5.542482,307,non_human_findings,-1,0
3073.0,510.0,5.541256,308,non_human_findings,-1,0
1221.0,3204.0,5.536209,309,non_human_findings,-1,0
3065.0,446.0,5.53511,310,non_human_findings,-1,0
879.0,3746.0,5.5337358,311,non_human_findings,-1,0
5866.0,4628.0,5.5303226,312,non_human_findings,-1,0
3780.0,1566.0,5.5279408,313,non_human_findings,-1,0
4900.0,1440.0,5.527756,314,human_rejected_label,20341,2
4972.0,2123.0,5.5247326,315,non_human_findings,-1,0
2180.0,4792.0,5.5180964,316,non_human_findings,-1,0
117.0,4418.0,5.5085187,317,non_human_findings,-1,0
1874.0,4111.0,5.5067854,318,non_human_findings,-1,0
4977.0,4389.0,5.5061045,319,non_human_findings,-1,0
2242.0,5113.0,5.504328,320,non_human_findings,-1,0
3902.0,745.0,5.5013347,321,non_human_findings,-1,0
1804.0,3681.0,5.4979925,322,non_human_findings,-1,0
2700.0,4986.0,5.4918303,323,non_human_findings,-1,0
4826.0,5030.0,5.4915495,324,non_human_findings,-1,0
4919.0,5353.0,5.485607,325,non_human_findings,-1,0
3116.0,3618.0,5.4766235,326,non_human_findings,-1,0
5038.0,326.0,5.47488,327,non_human_findings,-1,0
2491.0,2307.0,5.4743123,328,non_human_findings,-1,0
1970.0,3459.0,5.472744,329,non_human_findings,-1,0
3926.0,336.0,5.469307,330,non_human_findings,-1,0
3662.0,3364.0,5.4675508,331,non_human_findings,-1,0
1899.0,4691.0,5.464966,332,non_human_findings,-1,0
3004.0,711.0,5.463256,333,non_human_findings,-1,0
4900.0,4204.0,5.459713,334,non_human_findings,-1,0
4597.0,2802.0,5.454408,335,non_human_findings,-1,0
3142.0,3396.0,5.4536734,336,non_human_findings,-1,0
2910.0,1362.0,5.4478707,337,non_human_findings,-1,0
3303.0,4449.0,5.4472456,338,non_human_findings,-1,0
3629.0,1378.0,5.4429126,339,non_human_findings,-1,0
2789.0,3677.0,5.4405417,340,non_human_findings,-1,0
2712.0,1668.0,5.437091,341,human_correct_label,20344,1
1810.0,3089.0,5.435458,342,non_human_findings,-1,0
2022.0,3335.0,5.4326043,343,non_human_findings,-1,0
5085.0,3542.0,5.431214,344,non_human_findings,-1,0
3177.0,2515.0,5.429453,345,non_human_findings,-1,0
1829.0,3184.0,5.429195,346,non_human_findings,-1,0
2878.0,2997.0,5.4277077,347,non_human_findings,-1,0
3776.0,2029.0,5.4272666,348,human_rejected_label,20391,2
1846.0,3964.0,5.4250164,349,non_human_findings,-1,0
1884.0,3700.0,5.421973,350,non_human_findings,-1,0
3297.0,3700.0,5.42171,351,non_human_findings,-1,0
2907.0,3112.0,5.4200563,352,non_human_findings,-1,0
4321.0,4225.0,5.418728,353,non_human_findings,-1,0
2635.0,3933.0,5.4186406,354,non_human_findings,-1,0
4520.0,199.0,5.415546,355,non_human_findings,-1,0
4712.0,4746.0,5.4154673,356,non_human_findings,-1,0
