domain,file_name,ann_id,condition,base_size,template_cx,template_cy,template_pixel_x,template_pixel_y,offset_from_click_px,template_px_outside_otsu_window,template_overhang_px,same_box_as_default_51,tp_at_10,tp_at_20,tp_at_30,component_area,component_frac_of_window,component_frac_of_template,solidity,bbox_h,bbox_w,fills_window,touches_window_edge,component_inside_template,otsu_cut
canine cutaneous mast cell tumor,300.tiff,14499,default_51,51,1411.0,3551.0,1411,3551,0.0,0,0,,9,19,27,,,,,,,,,,
canine cutaneous mast cell tumor,300.tiff,14499,gray_bbox,49,1413.0,3549.5,1413,3550,2.5,49,1,False,9,19,27,1069.0,0.411,0.445,0.619,48.0,43.0,False,True,True,113.0
canine cutaneous mast cell tumor,300.tiff,14499,hem_bbox,25,1412.0,3555.0,1412,3555,4.123,0,0,False,8,17,27,244.0,0.094,0.39,0.91,25.0,13.0,False,False,True,92.0
canine cutaneous mast cell tumor,301.tiff,14969,default_51,51,5911.0,3548.0,5911,3548,0.0,0,0,,8,18,26,,,,,,,,,,
canine cutaneous mast cell tumor,301.tiff,14969,gray_bbox,41,5916.5,3548.0,5916,3548,5.5,0,0,False,8,18,27,647.0,0.249,0.385,0.601,41.0,38.0,False,False,True,145.0
canine cutaneous mast cell tumor,301.tiff,14969,hem_bbox,33,5911.0,3552.5,5911,3552,4.5,0,0,False,8,17,26,417.0,0.16,0.383,0.589,32.0,27.0,False,False,True,75.0
canine lung cancer,201.tiff,4457,default_51,51,4097.0,1978.0,4097,1978,0.0,0,0,,4,8,9,,,,,,,,,,
canine lung cancer,201.tiff,4457,gray_bbox,51,4097.0,1977.5,4097,1978,0.5,0,0,True,4,8,9,1592.0,0.612,0.612,0.744,50.0,51.0,True,True,True,103.0
canine lung cancer,201.tiff,4457,hem_bbox,29,4092.0,1978.0,4092,1978,5.0,0,0,False,4,6,7,347.0,0.133,0.413,0.714,29.0,27.0,False,False,True,88.0
canine lung cancer,233.tiff,5761,default_51,51,4419.0,2138.0,4419,2138,0.0,0,0,,6,8,9,,,,,,,,,,
canine lung cancer,233.tiff,5761,gray_bbox,25,4418.0,2139.0,4418,2139,1.414,0,0,False,7,8,10,429.0,0.165,0.686,0.903,25.0,25.0,False,False,True,160.0
canine lung cancer,233.tiff,5761,hem_bbox,23,4419.0,2138.0,4419,2138,0.0,0,0,False,6,7,9,376.0,0.145,0.711,0.94,23.0,23.0,False,False,True,110.0
canine lymphosarcoma,245.tiff,6317,default_51,51,4774.0,2184.0,4774,2184,0.0,0,0,,1,4,7,,,,,,,,,,
canine lymphosarcoma,245.tiff,6317,gray_bbox,51,4774.0,2184.0,4774,2184,0.0,0,0,True,1,4,7,1418.0,0.545,0.545,0.653,51.0,51.0,True,True,True,156.0
canine lymphosarcoma,245.tiff,6317,hem_bbox,23,4769.0,2186.0,4769,2186,5.385,0,0,False,1,2,5,296.0,0.114,0.56,0.682,23.0,21.0,False,False,True,84.0
canine lymphosarcoma,246.tiff,6548,default_51,51,3634.0,3621.0,3634,3621,0.0,0,0,,10,17,23,,,,,,,,,,
canine lymphosarcoma,246.tiff,6548,gray_bbox,41,3627.5,3615.5,3628,3616,8.515,41,1,False,10,14,21,495.0,0.19,0.294,0.701,40.0,30.0,False,True,True,155.0
canine lymphosarcoma,246.tiff,6548,hem_bbox,27,3632.5,3619.0,3632,3619,2.5,0,0,False,10,16,22,265.0,0.102,0.364,0.855,27.0,16.0,False,False,True,87.0
canine soft tissue sarcoma,459.tiff,22441,default_51,51,1845.0,4003.0,1845,4003,0.0,0,0,,9,17,26,,,,,,,,,,
canine soft tissue sarcoma,459.tiff,22441,gray_bbox,33,1844.5,4002.5,1844,4002,0.707,0,0,False,9,17,25,652.0,0.251,0.599,0.876,32.0,32.0,False,False,True,166.0
canine soft tissue sarcoma,459.tiff,22441,hem_bbox,31,1845.0,4002.0,1845,4002,1.0,0,0,False,9,17,25,606.0,0.233,0.631,0.886,29.0,31.0,False,False,True,91.0
