source,domain,file_name,ann_id,accepted,base_size,n_included,n_candidates,union_area,reason
original_14,canine cutaneous mast cell tumor,300.tiff,14499,True,23,1,1,215,
tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,300.tiff,14575,True,29,3,5,185,
tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,300.tiff,14581,True,29,3,3,256,
original_14,canine cutaneous mast cell tumor,301.tiff,14969,True,31,1,1,306,
original_14,canine lung cancer,201.tiff,4457,True,29,1,1,285,
tightening_process_hem_vs_gray,canine lung cancer,201.tiff,4469,True,29,1,1,292,
original_14,canine lung cancer,233.tiff,5761,True,23,1,1,354,
tightening_process_hem_vs_gray,canine lymphosarcoma,245.tiff,6243,True,31,4,4,271,
tightening_process_hem_vs_gray,canine lymphosarcoma,245.tiff,6274,True,33,3,3,320,
original_14,canine lymphosarcoma,245.tiff,6317,True,21,1,1,216,
original_14,canine lymphosarcoma,246.tiff,6548,True,25,1,1,224,
original_14,canine soft tissue sarcoma,459.tiff,22441,True,31,1,1,574,
tightening_process_hem_vs_gray,canine soft tissue sarcoma,459.tiff,22446,True,39,1,1,683,
original_14,canine soft tissue sarcoma,460.tiff,22577,True,37,1,1,535,
tightening_process_hem_vs_gray,human breast cancer,013.tiff,243,True,41,2,2,317,
original_14,human breast cancer,013.tiff,249,True,39,1,1,850,
tightening_process_hem_vs_gray,human breast cancer,013.tiff,254,True,29,1,1,455,
original_14,human breast cancer,094.tiff,2512,True,23,1,1,277,
original_14,human melanoma,529.tiff,24918,True,31,1,1,436,
tightening_process_hem_vs_gray,human melanoma,529.tiff,24937,True,29,1,1,219,
original_14,human melanoma,548.tiff,25804,True,27,1,1,449,
original_14,human neuroendocrine tumor,402.tiff,20254,True,23,1,1,351,
tightening_process_hem_vs_gray,human neuroendocrine tumor,402.tiff,20258,True,33,1,1,514,
original_14,human neuroendocrine tumor,403.tiff,20356,True,29,1,1,436,
