domain,file_name,ann_id,channel,condition,accepted,base_size,area,solidity,bbox_h,bbox_w,right_censored,offset_from_click_px,reason
canine cutaneous mast cell tumor,300.tiff,14499,gray_inverted,gray_bbox,True,49,1069,0.6186,48,43,False,2.5,
canine cutaneous mast cell tumor,300.tiff,14499,hematoxylin_od,hem_bbox,True,25,244,0.9104,25,13,False,4.123,
canine cutaneous mast cell tumor,301.tiff,14969,gray_inverted,gray_bbox,True,41,647,0.6013,41,38,False,5.5,
canine cutaneous mast cell tumor,301.tiff,14969,hematoxylin_od,hem_bbox,True,33,417,0.589,32,27,False,4.5,
canine lung cancer,201.tiff,4457,gray_inverted,gray_bbox,True,51,1592,0.7443,50,51,True,0.5,
canine lung cancer,201.tiff,4457,hematoxylin_od,hem_bbox,True,29,347,0.714,29,27,False,5.0,
canine lung cancer,233.tiff,5761,gray_inverted,gray_bbox,True,25,429,0.9032,25,25,False,1.414,
canine lung cancer,233.tiff,5761,hematoxylin_od,hem_bbox,True,23,376,0.94,23,23,False,0.0,
canine lymphosarcoma,245.tiff,6317,gray_inverted,gray_bbox,True,51,1418,0.6529,51,51,True,0.0,
canine lymphosarcoma,245.tiff,6317,hematoxylin_od,hem_bbox,True,23,296,0.682,23,21,False,5.385,
canine lymphosarcoma,246.tiff,6548,gray_inverted,gray_bbox,True,41,495,0.7011,40,30,False,8.515,
canine lymphosarcoma,246.tiff,6548,hematoxylin_od,hem_bbox,True,27,265,0.8548,27,16,False,2.5,
canine soft tissue sarcoma,459.tiff,22441,gray_inverted,gray_bbox,True,33,652,0.8763,32,32,False,0.707,
canine soft tissue sarcoma,459.tiff,22441,hematoxylin_od,hem_bbox,True,31,606,0.886,29,31,False,1.0,
canine soft tissue sarcoma,460.tiff,22577,gray_inverted,gray_bbox,True,47,1338,0.7852,47,43,False,4.472,
canine soft tissue sarcoma,460.tiff,22577,hematoxylin_od,hem_bbox,True,41,645,0.8453,40,27,False,3.905,
human breast cancer,013.tiff,249,gray_inverted,gray_bbox,True,39,998,0.9122,38,39,False,2.5,
human breast cancer,013.tiff,249,hematoxylin_od,hem_bbox,True,39,934,0.9068,38,39,False,1.118,
human breast cancer,094.tiff,2512,gray_inverted,gray_bbox,True,25,399,0.9215,25,22,False,2.5,
human breast cancer,094.tiff,2512,hematoxylin_od,hem_bbox,True,23,318,0.8908,23,20,False,2.693,
human melanoma,529.tiff,24918,gray_inverted,gray_bbox,True,37,672,0.6985,35,37,False,6.083,
human melanoma,529.tiff,24918,hematoxylin_od,hem_bbox,True,33,500,0.7062,32,30,False,6.671,
human melanoma,548.tiff,25804,gray_inverted,gray_bbox,True,29,589,0.9424,28,28,False,2.55,
human melanoma,548.tiff,25804,hematoxylin_od,hem_bbox,True,27,497,0.9431,27,26,False,3.041,
human neuroendocrine tumor,402.tiff,20254,gray_inverted,gray_bbox,True,29,565,0.937,28,27,False,1.803,
human neuroendocrine tumor,402.tiff,20254,hematoxylin_od,hem_bbox,True,25,397,0.9085,25,23,False,2.0,
human neuroendocrine tumor,403.tiff,20356,gray_inverted,gray_bbox,True,51,1415,0.8328,47,51,True,2.0,
human neuroendocrine tumor,403.tiff,20356,hematoxylin_od,hem_bbox,True,31,505,0.8516,30,29,False,4.924,
