source,domain,file_name,ann_id,accepted,base_size,gray_mode,n_gray_selected,gray_otsu_thresh,gray_thresh,gray_area,gray_dilated_area,hem_otsu_thresh,hem_thresh,hem_mode,n_hem_candidates,n_hem_included,union_area,bbox_h,bbox_w,right_censored,offset_from_click_px,reason
original_14,canine cutaneous mast cell tumor,300.tiff,14499,True,23,base (click on gray foreground),1,113.0,133.61973308219115,424,518,92.0,113.8124618121089,"base (click on hem foreground, component large enough alone)",1,1,215,23,13,False,4.123,
tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,300.tiff,14575,True,29,base (click on gray foreground),1,143.0,158.26267803116227,367,462,78.0,98.45518472677364,"fallback (click's hem component alone tightens to 19px < 20px, 3.0um = 11.8px search)",5,3,185,28,21,False,4.031,
tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,300.tiff,14581,True,29,base (click on gray foreground),1,111.0,130.8942907909033,700,882,69.0,86.48925217607197,"fallback (click on hem background, 3.0um = 11.8px search)",3,3,256,24,29,False,2.5,
original_14,canine cutaneous mast cell tumor,301.tiff,14969,True,31,base (click on gray foreground),1,145.0,159.03047956965088,457,617,75.0,90.47315287563114,"base (click on hem foreground, component large enough alone)",1,1,306,30,25,False,5.59,
original_14,canine lung cancer,201.tiff,4457,True,29,base (click on gray foreground),1,103.0,121.04147559553496,1348,1642,88.0,107.22760915325354,"base (click on hem foreground, component large enough alone)",1,1,285,28,23,False,4.031,
tightening_process_hem_vs_gray,canine lung cancer,201.tiff,4469,True,29,base (click on gray foreground),1,126.0,144.406428461759,600,769,97.0,114.72555989431683,"base (click on hem foreground, component large enough alone)",1,1,292,28,19,False,0.5,
original_14,canine lung cancer,233.tiff,5761,True,23,base (click on gray foreground),1,160.0,174.0288982331583,411,484,110.0,124.90669706866792,"base (click on hem foreground, component large enough alone)",1,1,354,22,22,False,0.707,
tightening_process_hem_vs_gray,canine lymphosarcoma,245.tiff,6243,True,31,base (click on gray foreground),1,154.0,164.53513133959416,1102,1385,74.0,90.311287578423,"fallback (click's hem component alone tightens to 19px < 20px, 3.0um = 12.1px search)",4,4,271,28,31,False,7.5,
tightening_process_hem_vs_gray,canine lymphosarcoma,245.tiff,6274,True,33,base (click on gray foreground),1,153.0,166.15552477292846,737,900,91.0,109.9564188816434,"fallback (click on hem background, 3.0um = 12.1px search)",3,3,320,32,28,False,2.121,
original_14,canine lymphosarcoma,245.tiff,6317,True,21,base (click on gray foreground),1,156.0,167.61658194397063,1088,1314,84.0,101.82577836092662,"base (click on hem foreground, component large enough alone)",1,1,216,20,20,False,6.519,
original_14,canine lymphosarcoma,246.tiff,6548,True,25,base (click on gray foreground),1,155.0,168.5978027222846,352,433,87.0,106.52512179296122,"base (click on hem foreground, component large enough alone)",1,1,224,25,15,False,2.828,
original_14,canine soft tissue sarcoma,459.tiff,22441,True,31,base (click on gray foreground),1,166.0,178.12459884589632,623,725,91.0,106.42461199137867,"base (click on hem foreground, component large enough alone)",1,1,574,29,31,False,1.0,
tightening_process_hem_vs_gray,canine soft tissue sarcoma,459.tiff,22446,True,39,base (click on gray foreground),1,166.0,176.9929397912639,811,936,99.0,115.39509642034672,"base (click on hem foreground, component large enough alone)",1,1,683,34,39,False,1.118,
original_14,canine soft tissue sarcoma,460.tiff,22577,True,37,base (click on gray foreground),1,134.0,151.92699666135383,1216,1413,79.0,96.24440093775027,"base (click on hem foreground, component large enough alone)",1,1,535,37,25,False,4.243,
tightening_process_hem_vs_gray,human breast cancer,013.tiff,243,True,41,"fallback (click on gray background, 3.0um = 13.3px search)",3,140.0,156.2102115639546,435,551,91.0,111.00479349668981,"fallback (click on hem background, 3.0um = 13.3px search)",2,2,317,40,38,False,2.915,
original_14,human breast cancer,013.tiff,249,True,39,base (click on gray foreground),1,139.0,151.00900490188693,972,1083,84.0,101.98120309147473,"base (click on hem foreground, component large enough alone)",1,1,850,36,38,False,1.581,
tightening_process_hem_vs_gray,human breast cancer,013.tiff,254,True,29,base (click on gray foreground),1,139.0,153.70569746332632,544,641,91.0,108.98039662911069,"fallback (click on hem background, 3.0um = 13.3px search)",1,1,455,29,28,False,5.852,
original_14,human breast cancer,094.tiff,2512,True,23,base (click on gray foreground),1,126.0,143.19910620360676,365,437,80.0,99.76353098953736,"base (click on hem foreground, component large enough alone)",1,1,277,22,19,False,3.041,
original_14,human melanoma,529.tiff,24918,True,31,base (click on gray foreground),1,152.0,167.19153267511652,578,719,84.0,98.7616309551497,"base (click on hem foreground, component large enough alone)",1,1,436,31,24,False,4.61,
tightening_process_hem_vs_gray,human melanoma,529.tiff,24937,True,29,base (click on gray foreground),1,132.0,149.738726304143,418,515,92.0,114.71714844027234,"base (click on hem foreground, component large enough alone)",1,1,219,13,28,False,1.803,
original_14,human melanoma,548.tiff,25804,True,27,base (click on gray foreground),1,166.0,178.9389619343091,555,638,91.0,107.85344322135407,"base (click on hem foreground, component large enough alone)",1,1,449,26,25,False,3.64,
original_14,human neuroendocrine tumor,402.tiff,20254,True,23,base (click on gray foreground),1,147.0,162.81875950755494,530,610,28.0,34.540495026550786,"base (click on hem foreground, component large enough alone)",1,1,351,23,23,False,2.0,
tightening_process_hem_vs_gray,human neuroendocrine tumor,402.tiff,20258,True,33,base (click on gray foreground),1,145.0,163.14765648868627,923,1141,104.0,116.82545221653639,"base (click on hem foreground, component large enough alone)",1,1,514,32,26,False,4.528,
original_14,human neuroendocrine tumor,403.tiff,20356,True,29,base (click on gray foreground),1,151.0,166.24658497685462,1159,1310,107.0,123.64840965464022,"base (click on hem foreground, component large enough alone)",1,1,436,29,28,False,5.59,
