source,domain,file_name,ann_id,channel,condition,accepted,base_size,area,solidity,bbox_h,bbox_w,right_censored,offset_from_click_px,reason
original_14,canine cutaneous mast cell tumor,300.tiff,14499,gray_inverted,gray_bbox,True,49.0,1069.0,0.6186,48.0,43.0,False,2.5,
original_14,canine cutaneous mast cell tumor,300.tiff,14499,hematoxylin_od,hem_bbox,True,25.0,244.0,0.9104,25.0,13.0,False,4.123,
tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,300.tiff,14575,gray_inverted,gray_bbox,True,33.0,435.0,0.7713,32.0,29.0,False,6.801,
tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,300.tiff,14575,hematoxylin_od,hem_bbox,True,19.0,149.0,0.8418,18.0,15.0,False,3.354,
tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,300.tiff,14581,gray_inverted,gray_bbox,True,45.0,1126.0,0.8003,45.0,43.0,False,0.0,
tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,300.tiff,14581,hematoxylin_od,hem_bbox,False,,,,,,False,,click lands on background at this Otsu cut
original_14,canine cutaneous mast cell tumor,301.tiff,14969,gray_inverted,gray_bbox,True,41.0,647.0,0.6013,41.0,38.0,False,5.5,
original_14,canine cutaneous mast cell tumor,301.tiff,14969,hematoxylin_od,hem_bbox,True,33.0,417.0,0.589,32.0,27.0,False,4.5,
original_14,canine lung cancer,201.tiff,4457,gray_inverted,gray_bbox,True,51.0,1592.0,0.7443,50.0,51.0,True,0.5,
original_14,canine lung cancer,201.tiff,4457,hematoxylin_od,hem_bbox,True,29.0,347.0,0.714,29.0,27.0,False,5.0,
tightening_process_hem_vs_gray,canine lung cancer,201.tiff,4469,gray_inverted,gray_bbox,True,51.0,1247.0,0.6192,51.0,45.0,True,3.0,
tightening_process_hem_vs_gray,canine lung cancer,201.tiff,4469,hematoxylin_od,hem_bbox,True,31.0,336.0,0.7925,30.0,23.0,False,2.062,
original_14,canine lung cancer,233.tiff,5761,gray_inverted,gray_bbox,True,25.0,429.0,0.9032,25.0,25.0,False,1.414,
original_14,canine lung cancer,233.tiff,5761,hematoxylin_od,hem_bbox,True,23.0,376.0,0.94,23.0,23.0,False,0.0,
tightening_process_hem_vs_gray,canine lymphosarcoma,245.tiff,6243,gray_inverted,gray_bbox,True,51.0,1276.0,0.7026,49.0,51.0,True,1.0,
tightening_process_hem_vs_gray,canine lymphosarcoma,245.tiff,6243,hematoxylin_od,hem_bbox,True,35.0,416.0,0.6865,34.0,28.0,False,14.3,
tightening_process_hem_vs_gray,canine lymphosarcoma,245.tiff,6274,gray_inverted,gray_bbox,True,47.0,1258.0,0.7357,47.0,45.0,False,3.606,
tightening_process_hem_vs_gray,canine lymphosarcoma,245.tiff,6274,hematoxylin_od,hem_bbox,False,,,,,,False,,click lands on background at this Otsu cut
original_14,canine lymphosarcoma,245.tiff,6317,gray_inverted,gray_bbox,True,51.0,1418.0,0.6529,51.0,51.0,True,0.0,
original_14,canine lymphosarcoma,245.tiff,6317,hematoxylin_od,hem_bbox,True,23.0,296.0,0.682,23.0,21.0,False,5.385,
original_14,canine lymphosarcoma,246.tiff,6548,gray_inverted,gray_bbox,True,41.0,495.0,0.7011,40.0,30.0,False,8.515,
original_14,canine lymphosarcoma,246.tiff,6548,hematoxylin_od,hem_bbox,True,27.0,265.0,0.8548,27.0,16.0,False,2.5,
original_14,canine soft tissue sarcoma,459.tiff,22441,gray_inverted,gray_bbox,True,33.0,652.0,0.8763,32.0,32.0,False,0.707,
original_14,canine soft tissue sarcoma,459.tiff,22441,hematoxylin_od,hem_bbox,True,31.0,606.0,0.886,29.0,31.0,False,1.0,
tightening_process_hem_vs_gray,canine soft tissue sarcoma,459.tiff,22446,gray_inverted,gray_bbox,True,41.0,838.0,0.8784,37.0,41.0,False,2.236,
tightening_process_hem_vs_gray,canine soft tissue sarcoma,459.tiff,22446,hematoxylin_od,hem_bbox,True,39.0,748.0,0.8452,35.0,39.0,False,1.414,
original_14,canine soft tissue sarcoma,460.tiff,22577,gray_inverted,gray_bbox,True,47.0,1338.0,0.7852,47.0,43.0,False,4.472,
original_14,canine soft tissue sarcoma,460.tiff,22577,hematoxylin_od,hem_bbox,True,41.0,645.0,0.8453,40.0,27.0,False,3.905,
tightening_process_hem_vs_gray,human breast cancer,013.tiff,243,gray_inverted,gray_bbox,False,,,,,,False,,click lands on background at this Otsu cut
