file_name,tumor_type,seed_ann_id_old,seed_ann_id_new,same_seed,base_size_old,base_size_new,same_size,same_component,n_retries_old,n_retries_new,click_x_old,click_y_old,click_x_new,click_y_new,tpl_x_new,tpl_y_new,offset_px,margin_new_px,roi_w,roi_h
013.tiff,human breast cancer,254,254,True,31,31,True,True,0,0,6821.0,3779.0,6821.0,3779.0,6817.0,3777.5,4.272001872658765,398.0,7215,5412
094.tiff,human breast cancer,2512,2512,True,25,25,True,True,0,0,5560.0,1178.0,5560.0,1178.0,5558.0,1178.5,2.0615528128088303,1178.5,7103,5364
201.tiff,canine lung cancer,4457,4457,True,51,51,True,True,0,0,4097.0,1978.0,4097.0,1978.0,4097.5,1978.0,0.5,1978.0,6577,4933
233.tiff,canine lung cancer,5761,5761,True,25,25,True,True,0,0,4419.0,2138.0,4419.0,2138.0,4418.5,2139.5,1.5811388300841898,2139.5,6577,4933
245.tiff,canine lymphosarcoma,6274,6274,True,47,47,True,True,0,0,6356.0,535.0,6356.0,535.0,6359.5,537.5,4.301162633521313,217.5,6577,4933
246.tiff,canine lymphosarcoma,6548,6548,True,41,41,True,True,0,0,3634.0,3621.0,3634.0,3621.0,3628.0,3616.0,7.810249675906654,1317.0,6577,4933
300.tiff,canine cutaneous mast cell tumor,14581,14581,True,45,45,True,True,0,0,4286.0,2527.0,4286.0,2527.0,4286.5,2527.5,0.7071067811865476,2160.5,6447,4835
301.tiff,canine cutaneous mast cell tumor,14969,14969,True,41,41,True,True,0,0,5911.0,3548.0,5911.0,3548.0,5917.0,3548.5,6.020797289396148,530.0,6447,4835
402.tiff,human neuroendocrine tumor,20254,20254,True,29,29,True,True,0,0,989.0,4917.0,989.0,4917.0,990.5,4916.0,1.8027756377319946,496.0,7215,5412
403.tiff,human neuroendocrine tumor,20334,20356,False,33,51,False,,0,1,4939.0,717.0,2227.0,2970.0,2227.5,2968.5,,2227.5,7215,5412
459.tiff,canine soft tissue sarcoma,22441,22441,True,33,33,True,True,0,0,1845.0,4003.0,1845.0,4003.0,1845.0,4003.0,0.0,930.0,6577,4933
460.tiff,canine soft tissue sarcoma,22577,22577,True,47,47,True,True,0,0,5152.0,3999.0,5152.0,3999.0,5156.5,3997.5,4.743416490252569,935.5,6577,4933
529.tiff,human melanoma,24918,24918,True,37,37,True,True,0,0,3421.0,2720.0,3421.0,2720.0,3415.5,2721.5,5.70087712549569,2690.5,7215,5412
548.tiff,human melanoma,25804,25804,True,29,29,True,True,0,0,5163.0,3871.0,5163.0,3871.0,5164.0,3869.0,2.23606797749979,1543.0,7215,5412
