group,pair,K,share_excludes_0,ci_high_min,ci_high_max,ci_low_min,ci_low_max
all_49,gray_bbox - default_51,10,0.0,0.008843537414965987,0.01020408163265306,-0.02585034013605442,-0.024489795918367346
all_49,gray_bbox - default_51,20,1.0,-0.009863945578231292,-0.008843537414965987,-0.0380952380952381,-0.036734693877551024
all_49,gray_bbox - default_51,30,1.0,-0.008390022675736962,-0.007709750566893424,-0.031746031746031744,-0.030839002267573697
all_49,hem_bbox - default_51,10,0.28,-0.0013605442176870747,0.0013605442176870747,-0.058503401360544216,-0.05646258503401361
all_49,hem_bbox - default_51,20,1.0,-0.03469387755102041,-0.03333333333333333,-0.08164115646258502,-0.07959183673469387
all_49,hem_bbox - default_51,30,1.0,-0.03559523809523817,-0.034013605442176874,-0.07392290249433106,-0.07256235827664399
all_49,hem_bbox - gray_bbox,10,1.0,-0.003401360544217687,-0.0020408163265306124,-0.04151360544217685,-0.04013605442176871
all_49,hem_bbox - gray_bbox,20,1.0,-0.017687074829931974,-0.016666666666666666,-0.05272108843537415,-0.05136054421768708
all_49,hem_bbox - gray_bbox,30,1.0,-0.02018140589569161,-0.01927437641723356,-0.050793650793650794,-0.04943310657596372
original_14,gray_bbox - default_51,10,0.0,0.023809523809523808,0.02619047619047619,-0.03333333333333333,-0.03333333333333333
original_14,gray_bbox - default_51,20,0.0,0.005952380952380952,0.007172619047618615,-0.04880952380952381,-0.04642857142857143
original_14,gray_bbox - default_51,30,0.0,0.016666666666666666,0.01904761904761905,-0.03015873015873016,-0.02857142857142857
original_14,hem_bbox - default_51,10,0.0,0.016666666666666666,0.02142857142857143,-0.0761904761904762,-0.07142857142857142
original_14,hem_bbox - default_51,20,1.0,-0.02023809523809524,-0.017857142857142856,-0.12857142857142856,-0.12261904761904761
original_14,hem_bbox - default_51,30,1.0,-0.010317460317460317,-0.007936507936507936,-0.1,-0.09603174603174604
original_14,hem_bbox - gray_bbox,10,0.0,0.011904761904761904,0.011904761904761904,-0.06428571428571428,-0.06190476190476191
original_14,hem_bbox - gray_bbox,20,1.0,-0.007142857142857143,-0.004761904761904762,-0.1,-0.09523809523809523
original_14,hem_bbox - gray_bbox,30,1.0,-0.012698412698412698,-0.011111111111111112,-0.0865079365079365,-0.08253968253968254
testing_35,gray_bbox - default_51,10,0.0,0.011428571428571429,0.01240476190476156,-0.03142857142857143,-0.029523809523809525
testing_35,gray_bbox - default_51,20,1.0,-0.008095238095238095,-0.006666666666666667,-0.041428571428571426,-0.04
testing_35,gray_bbox - default_51,30,1.0,-0.013015873015873015,-0.012063492063492064,-0.03873015873015873,-0.03746031746031746
testing_35,hem_bbox - default_51,10,0.0,0.0038095238095238095,0.007619047619047619,-0.06666666666666667,-0.06380952380952382
testing_35,hem_bbox - default_51,20,1.0,-0.029523809523809525,-0.02808333333333351,-0.07809523809523809,-0.07620238095238095
testing_35,hem_bbox - default_51,30,1.0,-0.035555555555555556,-0.03428571428571429,-0.07650793650793651,-0.0746031746031746
testing_35,hem_bbox - gray_bbox,10,0.74,-0.0019047619047619048,0.0,-0.04476190476190476,-0.04288095238095236
testing_35,hem_bbox - gray_bbox,20,1.0,-0.014761904761904763,-0.01380952380952381,-0.04476190476190476,-0.04380952380952381
testing_35,hem_bbox - gray_bbox,30,1.0,-0.016825396825396827,-0.015873015873015872,-0.04698412698412698,-0.045714285714285714
