family,pair,K,domain_deltas_tp,n_nonzero,exact_p,floor,holm_p
all_49,gray_bbox - default_51,10,3;3;2;3;-3;-8;-12,7,0.5625,0.015625,0.5625
all_49,gray_bbox - default_51,20,4;0;-3;-11;-23;-20;-16,6,0.09375,0.03125,0.375
all_49,gray_bbox - default_51,30,3;0;-4;-8;-33;-23;-21,6,0.0625,0.03125,0.3125
all_49,hem_bbox - default_51,10,-7;4;6;-14;-3;-13;-17,7,0.140625,0.015625,0.421875
all_49,hem_bbox - default_51,20,-29;4;-12;-41;-35;-24;-29,7,0.03125,0.015625,0.21875
all_49,hem_bbox - default_51,30,-51;-2;-23;-42;-43;-34;-40,7,0.015625,0.015625,0.140625
all_49,hem_bbox - gray_bbox,10,-10;1;4;-17;0;-5;-5,6,0.1875,0.03125,0.421875
all_49,hem_bbox - gray_bbox,20,-33;4;-9;-30;-12;-4;-13,7,0.046875,0.015625,0.28125
all_49,hem_bbox - gray_bbox,30,-54;-2;-19;-34;-10;-11;-19,7,0.015625,0.015625,0.140625
testing_35,gray_bbox - default_51,10,-2;3;1;2;-1;-3;-10,7,0.578125,0.015625,0.578125
testing_35,gray_bbox - default_51,20,-3;1;-2;-9;-17;-9;-12,7,0.03125,0.015625,0.1875
testing_35,gray_bbox - default_51,30,-10;-1;-4;-4;-31;-11;-16,7,0.015625,0.015625,0.140625
testing_35,hem_bbox - default_51,10,-11;3;5;-6;-4;-7;-14,7,0.125,0.015625,0.375
testing_35,hem_bbox - default_51,20,-31;5;-9;-14;-32;-13;-18,7,0.03125,0.015625,0.1875
testing_35,hem_bbox - default_51,30,-57;-2;-15;-7;-43;-21;-27,7,0.015625,0.015625,0.140625
testing_35,hem_bbox - gray_bbox,10,-9;0;4;-8;-3;-4;-4,6,0.15625,0.03125,0.375
testing_35,hem_bbox - gray_bbox,20,-28;4;-7;-5;-15;-4;-6,7,0.046875,0.015625,0.1875
testing_35,hem_bbox - gray_bbox,30,-47;-1;-11;-3;-12;-10;-11,7,0.015625,0.015625,0.140625
