scope,group,pair,K,G,pooled_delta,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,holm_p,nb_holm_p,nb_boot_ci_low,nb_boot_ci_high,boot_share_ge_0,boot_share_le_0,nb_boot_excludes_0,majority_of_all_rois,nb_d5_bar_met,t_ci_low,t_ci_high,t_excludes_0,n_same,majority_all,majority_nonzero,n_structural_zero_rois,majority_excl_structural_zero,d5_bar_under_t,repro_ci_low,repro_ci_high,repro_share_ge_0,repro_share_le_0,share_of_200_seeds_ci_excludes_0,d5_bar_seed_fragile
subset,all_49,gray_bbox - default_51,10,49,-0.00816326530612245,15,18,16,33,0.4042282998561859,2.3283064365386963e-10,0.4042282998561859,0.4042282998561859,-0.025170068027210883,0.009523809523809525,0.1814,0.8394,False,False,False,-0.02591806609152877,0.009591535479283876,False,18,False,True,1,False,False,-0.025170068027210883,0.009523809523809525,0.1814,0.8394,0.0,False
subset,all_49,gray_bbox - default_51,20,49,-0.02346938775510204,12,32,5,44,0.0024951234572654357,1.1368683772161603e-13,0.009980493829061743,0.009980493829061743,-0.03775510204081633,-0.009183673469387756,0.0005,0.9995,True,True,True,-0.038091938395815796,-0.00884683711438829,True,32,True,True,1,True,True,-0.03775510204081633,-0.009183673469387756,0.0005,0.9995,1.0,False
subset,all_49,gray_bbox - default_51,30,49,-0.019501133786848073,9,29,11,38,0.0013677925162483007,7.275957614183426e-12,0.006838962581241503,0.006838962581241503,-0.03106575963718821,-0.007936507936507936,0.0001,0.9999,True,True,True,-0.031487457126074855,-0.007514810447621286,True,29,True,True,1,True,True,-0.03106575963718821,-0.007936507936507936,0.0001,0.9999,1.0,False
subset,all_49,hem_bbox - default_51,10,49,-0.029931972789115645,11,25,13,36,0.05212451936677098,2.9103830456733704e-11,0.10424903873354197,0.10424903873354197,-0.05782312925170068,0.0,0.0253,0.9772,False,True,False,-0.059651667920122,-0.00021227765810929815,True,25,True,True,1,True,True,-0.05782312925170068,0.0,0.0253,0.9772,0.28,True
subset,all_49,hem_bbox - default_51,20,49,-0.05646258503401361,8,37,4,45,5.506071431682358e-06,5.684341886080802e-14,3.8542500021776505e-05,3.8542500021776505e-05,-0.08061224489795918,-0.0336734693877551,0.0,1.0,True,True,True,-0.08057392906513575,-0.03235124100289147,True,37,True,True,1,True,True,-0.08061224489795918,-0.0336734693877551,0.0,1.0,1.0,False
subset,all_49,hem_bbox - default_51,30,49,-0.05328798185941043,7,36,6,43,4.965095286024734e-07,2.2737367544323206e-13,4.468585757422261e-06,4.468585757422261e-06,-0.07301587301587302,-0.03469387755102041,0.0,1.0,True,True,True,-0.0732717378337638,-0.03330422588505706,True,36,True,True,1,True,True,-0.07301587301587302,-0.03469387755102041,0.0,1.0,1.0,False
subset,all_49,hem_bbox - gray_bbox,10,49,-0.021768707482993196,7,23,19,30,0.03398502245545387,1.862645149230957e-09,0.10195506736636162,0.10195506736636162,-0.04149659863945578,-0.003401360544217687,0.011,0.9901,True,False,False,-0.04146345493270846,-0.002073960033277929,True,23,False,True,1,False,False,-0.04149659863945578,-0.003401360544217687,0.011,0.9901,1.0,False
subset,all_49,hem_bbox - gray_bbox,20,49,-0.03299319727891156,8,31,10,39,5.137519838172011e-05,3.637978807091713e-12,0.00030825119029032066,0.00030825119029032066,-0.05204081632653061,-0.017346938775510204,0.0,1.0,True,True,True,-0.051103895526554456,-0.014882499031268674,True,31,True,True,1,True,True,-0.05204081632653061,-0.017346938775510204,0.0,1.0,1.0,False
subset,all_49,hem_bbox - gray_bbox,30,49,-0.03378684807256236,5,33,11,38,2.1723462850786746e-06,7.275957614183426e-12,1.7378770280629396e-05,1.7378770280629396e-05,-0.05011337868480726,-0.019727891156462583,0.0,1.0,True,True,True,-0.04956989931772354,-0.018003796827401178,True,33,True,True,1,True,True,-0.05011337868480726,-0.019727891156462583,0.0,1.0,1.0,False
subset,original_14,gray_bbox - default_51,10,14,-0.004761904761904762,5,5,4,10,0.875,0.001953125,,,-0.03333333333333333,0.023809523809523808,0.4022,0.6529,False,False,False,-0.037543030411415275,0.028019220887605747,False,5,False,False,0,False,False,-0.03333333333333333,0.023809523809523808,0.4022,0.6529,0.0,False
subset,original_14,gray_bbox - default_51,20,14,-0.02142857142857143,4,9,1,13,0.18359375,0.000244140625,,,-0.04645833333333331,0.005952380952380952,0.0698,0.9419,False,True,False,-0.05242259082530362,0.00956544796816076,False,9,True,True,0,True,False,-0.04645833333333331,0.005952380952380952,0.0698,0.9419,0.0,False
subset,original_14,gray_bbox - default_51,30,14,-0.007142857142857143,5,8,1,13,0.630126953125,0.000244140625,,,-0.029365079365079365,0.01746031746031746,0.2826,0.7382,False,True,False,-0.03431520960001422,0.020029495314299935,False,8,True,True,0,True,False,-0.029365079365079365,0.01746031746031746,0.2826,0.7382,0.0,False
subset,original_14,hem_bbox - default_51,10,14,-0.023809523809523808,5,5,4,10,0.447265625,0.001953125,,,-0.07380952380952381,0.01904761904761905,0.1733,0.8549,False,False,False,-0.07741686275995277,0.029797815140905147,False,5,False,False,0,False,False,-0.07380952380952381,0.01904761904761905,0.1733,0.8549,0.0,False
subset,original_14,hem_bbox - default_51,20,14,-0.06428571428571428,3,11,0,14,0.0126953125,0.0001220703125,,,-0.1261904761904762,-0.01904761904761905,0.0013,0.9993,True,True,True,-0.12663386618357533,-0.0019375623878532386,True,11,True,True,0,True,True,-0.1261904761904762,-0.01904761904761905,0.0013,0.9993,1.0,False
subset,original_14,hem_bbox - default_51,30,14,-0.05,3,9,2,12,0.04248046875,0.00048828125,,,-0.0992063492063492,-0.009523809523809525,0.0077,0.9933,True,True,True,-0.1011220432123868,0.0011220432123867931,False,9,True,True,0,True,False,-0.0992063492063492,-0.009523809523809525,0.0077,0.9933,1.0,False
subset,original_14,hem_bbox - gray_bbox,10,14,-0.01904761904761905,3,5,6,8,0.6171875,0.0078125,,,-0.06428571428571428,0.011904761904761904,0.1943,0.8519,False,False,False,-0.06352508476872343,0.025429846673485336,False,5,False,True,0,False,False,-0.06428571428571428,0.011904761904761904,0.1943,0.8519,0.0,False
subset,original_14,hem_bbox - gray_bbox,20,14,-0.04285714285714286,3,10,1,13,0.0458984375,0.000244140625,,,-0.0988095238095238,-0.005952380952380952,0.0073,0.9949,True,True,True,-0.09738670483750049,0.011672419123214765,False,10,True,True,0,True,False,-0.0988095238095238,-0.005952380952380952,0.0073,0.9949,1.0,False
subset,original_14,hem_bbox - gray_bbox,30,14,-0.04285714285714286,2,11,1,13,0.017578125,0.000244140625,,,-0.08571428571428572,-0.011904761904761904,0.0016,0.9985,True,True,True,-0.08525213661685846,-0.0004621490974272459,True,11,True,True,0,True,True,-0.08571428571428572,-0.011904761904761904,0.0016,0.9985,1.0,False
subset,testing_35,gray_bbox - default_51,10,35,-0.009523809523809525,10,13,12,23,0.44310808181762695,2.384185791015625e-07,0.44310808181762695,0.44310808181762695,-0.030476190476190476,0.012380952380952381,0.1933,0.8305,False,False,False,-0.03166633773928245,0.012618718691663403,False,13,False,True,1,False,False,-0.030476190476190476,0.012380952380952381,0.1933,0.8305,0.0,False
subset,testing_35,gray_bbox - default_51,20,35,-0.024285714285714285,8,23,4,31,0.008120142854750156,9.313225746154785e-10,0.032480571419000626,0.032480571419000626,-0.040952380952380955,-0.007619047619047619,0.0022,0.9981,True,True,True,-0.04164793399956792,-0.006923494571860648,True,23,True,True,1,True,True,-0.040952380952380955,-0.007619047619047619,0.0022,0.9981,1.0,False
subset,testing_35,gray_bbox - default_51,30,35,-0.024444444444444446,4,21,10,25,0.00019669532775878906,5.960464477539063e-08,0.0013768672943115234,0.0013768672943115234,-0.0381031746031746,-0.012698412698412698,0.0,1.0,True,True,True,-0.037852867634235135,-0.011036021254653756,True,21,True,True,1,True,True,-0.0381031746031746,-0.012698412698412698,0.0,1.0,1.0,False
