file_name,seed_index,condition,my_mpp,nb_mpp,my_radius,nb_radius,my_tp_10,my_tp_20,my_tp_30,nb_tp_10,nb_tp_20,nb_tp_30,my_contested_10,my_contested_20,my_contested_30,my_n_gt_mitotic,nb_n_gt_mitotic,my_nearest_other,nb_nearest_other,seed_is_mitotic,seed_is_unanimous,seed_click_matches,seed_border_ok,tpl_patch_readable,my_offset,nb_offset,od_descending,od_nan,base_odd,base_le_51
007.tiff,0,default_51,0.22690727175272468,0.22690727175272468,33.053149606299215,33.053149606299215,6,7,8,6,7,8,1,2,2,21,21,462.13,462.13,True,True,True,True,True,0.0,0.0,True,0,True,True
007.tiff,0,gray_bbox,0.22690727175272468,0.22690727175272468,33.053149606299215,33.053149606299215,6,8,8,6,8,8,1,2,2,21,21,462.13,462.13,True,True,True,True,True,5.0,5.0,True,0,True,True
007.tiff,0,hem_bbox,0.22690727175272468,0.22690727175272468,33.053149606299215,33.053149606299215,6,7,8,6,7,8,1,2,3,21,21,462.13,462.13,True,True,True,True,True,2.121,2.121,True,0,True,True
007.tiff,1,default_51,0.22690727175272468,0.22690727175272468,33.053149606299215,33.053149606299215,6,7,7,6,7,7,1,1,1,21,21,248.85,248.85,True,True,True,True,True,0.0,0.0,True,0,True,True
007.tiff,1,gray_bbox,0.22690727175272468,0.22690727175272468,33.053149606299215,33.053149606299215,6,7,7,6,7,7,1,1,1,21,21,248.85,248.85,True,True,True,True,True,3.5,3.5,True,0,True,True
007.tiff,1,hem_bbox,0.22690727175272468,0.22690727175272468,33.053149606299215,33.053149606299215,6,8,8,6,8,8,1,1,1,21,21,248.85,248.85,True,True,True,True,True,3.64,3.64,True,0,True,True
007.tiff,2,default_51,0.22690727175272468,0.22690727175272468,33.053149606299215,33.053149606299215,6,7,7,6,7,7,1,1,1,21,21,748.07,748.07,True,True,True,True,True,0.0,0.0,True,0,True,True
007.tiff,2,gray_bbox,0.22690727175272468,0.22690727175272468,33.053149606299215,33.053149606299215,6,7,7,6,7,7,1,1,1,21,21,748.07,748.07,True,True,True,True,True,4.031,4.031,True,0,True,True
007.tiff,2,hem_bbox,0.22690727175272468,0.22690727175272468,33.053149606299215,33.053149606299215,6,7,7,6,7,7,1,1,1,21,21,748.07,748.07,True,True,True,True,True,4.61,4.61,True,0,True,True
013.tiff,0,default_51,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,6,8,9,6,8,9,3,4,4,17,17,426.41,426.41,True,True,True,True,True,0.0,0.0,True,0,True,True
013.tiff,0,gray_bbox,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,6,8,9,6,8,9,3,4,4,17,17,426.41,426.41,True,True,True,True,True,2.5,2.5,True,0,True,True
013.tiff,0,hem_bbox,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,6,9,10,6,9,10,3,4,4,17,17,426.41,426.41,True,True,True,True,True,1.118,1.118,True,0,True,True
013.tiff,1,default_51,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,5,8,9,5,8,9,3,4,4,17,17,72.57,72.57,True,True,True,True,True,0.0,0.0,True,0,True,True
013.tiff,1,gray_bbox,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,4,5,7,4,5,7,3,3,4,17,17,72.57,72.57,True,True,True,True,True,2.062,2.062,True,0,True,True
013.tiff,1,hem_bbox,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,5,7,9,5,7,9,3,4,5,17,17,72.57,72.57,True,True,True,True,True,2.5,2.5,True,0,True,True
013.tiff,2,default_51,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,6,9,9,6,9,9,3,3,3,17,17,242.03,242.03,True,True,True,True,True,0.0,0.0,True,0,True,True
013.tiff,2,gray_bbox,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,5,7,8,5,7,8,2,2,3,17,17,242.03,242.03,True,True,True,True,True,1.118,1.118,True,0,True,True
013.tiff,2,hem_bbox,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,5,7,8,5,7,8,2,2,3,17,17,242.03,242.03,True,True,True,True,True,3.354,3.354,True,0,True,True
072.tiff,0,default_51,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,6,12,18,6,12,18,3,4,6,48,48,394.06,394.06,True,True,True,True,True,0.0,0.0,True,0,True,True
