file_name,seed_index,condition,my_ann,nb_ann,my_base,nb_base,my_tx,nb_tx,my_ty,nb_ty,my_refused,nb_refused,my_joint_valid,nb_joint_valid,my_default_alone_differs,my_gray_alone_differs,my_hem_alone_differs
300.tiff,0,default_51,14499,14499,51,51,1411.0,1411.0,3551.0,3551.0,14581:hem_bbox,14581:hem_bbox,99,99,True,True,False
300.tiff,0,gray_bbox,14499,14499,49,49,1413.0,1413.0,3549.5,3549.5,14581:hem_bbox,14581:hem_bbox,99,99,True,True,False
300.tiff,0,hem_bbox,14499,14499,25,25,1412.0,1412.0,3555.0,3555.0,14581:hem_bbox,14581:hem_bbox,99,99,True,True,False
300.tiff,1,default_51,14578,14578,51,51,4652.0,4652.0,2817.0,2817.0,14577:hem_bbox,14577:hem_bbox,99,99,True,True,False
300.tiff,1,gray_bbox,14578,14578,27,27,4651.0,4651.0,2813.5,2813.5,14577:hem_bbox,14577:hem_bbox,99,99,True,True,False
300.tiff,1,hem_bbox,14578,14578,21,21,4650.0,4650.0,2814.5,2814.5,14577:hem_bbox,14577:hem_bbox,99,99,True,True,False
300.tiff,2,default_51,14553,14553,51,51,3995.0,3995.0,564.0,564.0,14614:gray_bbox+hem_bbox,14614:gray_bbox+hem_bbox,99,99,True,False,False
300.tiff,2,gray_bbox,14553,14553,43,43,3997.0,3997.0,565.5,565.5,14614:gray_bbox+hem_bbox,14614:gray_bbox+hem_bbox,99,99,True,False,False
300.tiff,2,hem_bbox,14553,14553,25,25,3997.0,3997.0,565.0,565.0,14614:gray_bbox+hem_bbox,14614:gray_bbox+hem_bbox,99,99,True,False,False
301.tiff,0,default_51,14969,14969,51,51,5911.0,5911.0,3548.0,3548.0,,,122,122,False,False,False
301.tiff,0,gray_bbox,14969,14969,41,41,5916.5,5916.5,3548.0,3548.0,,,122,122,False,False,False
301.tiff,0,hem_bbox,14969,14969,33,33,5911.0,5911.0,3552.5,3552.5,,,122,122,False,False,False
301.tiff,1,default_51,14874,14874,51,51,6301.0,6301.0,2294.0,2294.0,14753:gray_bbox+hem_bbox,14753:gray_bbox+hem_bbox,122,122,True,False,False
301.tiff,1,gray_bbox,14874,14874,29,29,6298.5,6298.5,2291.5,2291.5,14753:gray_bbox+hem_bbox,14753:gray_bbox+hem_bbox,122,122,True,False,False
