subset,file_name,seed_index,condition,own_ann,joint_ann,base_size,n_detections,tp10,tp20,tp30,arm
original_14,300.tiff,0,default_51,14581,14499,51,98,10,18,27,own_draw
original_14,300.tiff,0,gray_bbox,14581,14499,45,98,9,18,26,own_draw
original_14,300.tiff,0,default_51,14581,14499,51,98,10,18,27,gray_gate
original_14,300.tiff,0,gray_bbox,14581,14499,45,98,9,18,26,gray_gate
original_14,300.tiff,1,default_51,14577,14578,51,89,10,20,27,own_draw
original_14,300.tiff,1,gray_bbox,14577,14578,41,87,9,19,28,own_draw
original_14,300.tiff,1,default_51,14577,14578,51,89,10,20,27,gray_gate
original_14,300.tiff,1,gray_bbox,14577,14578,41,87,9,19,28,gray_gate
original_14,300.tiff,2,default_51,14614,14553,51,99,8,18,26,own_draw
original_14,301.tiff,1,default_51,14753,14874,51,98,7,13,20,own_draw
original_14,301.tiff,2,default_51,14819,14782,51,99,6,15,25,own_draw
testing_35,322.tiff,0,default_51,16277,16292,51,99,8,13,14,own_draw
testing_35,337.tiff,2,default_51,17119,17118,51,98,6,9,11,own_draw
testing_35,339.tiff,2,default_51,17169,17151,51,99,5,5,6,own_draw
testing_35,339.tiff,2,gray_bbox,17169,17151,51,99,4,5,6,own_draw
testing_35,339.tiff,2,default_51,17169,17151,51,99,5,5,6,gray_gate
testing_35,339.tiff,2,gray_bbox,17169,17151,51,99,4,5,6,gray_gate
testing_35,211.tiff,0,default_51,4917,4916,51,99,0,0,1,own_draw
testing_35,211.tiff,1,default_51,4918,4919,51,95,0,0,0,own_draw
original_14,245.tiff,0,default_51,6274,6317,51,93,2,3,3,own_draw
original_14,245.tiff,0,gray_bbox,6274,6317,47,89,2,2,2,own_draw
original_14,245.tiff,0,default_51,6274,6317,51,93,2,3,3,gray_gate
original_14,245.tiff,0,gray_bbox,6274,6317,47,89,2,2,2,gray_gate
testing_35,284.tiff,1,default_51,11818,11817,51,98,7,13,15,own_draw
testing_35,284.tiff,1,gray_bbox,11818,11817,49,97,7,14,17,own_draw
testing_35,284.tiff,1,default_51,11818,11817,51,98,7,13,15,gray_gate
testing_35,284.tiff,1,gray_bbox,11818,11817,49,97,7,14,17,gray_gate
testing_35,410.tiff,0,default_51,20696,20699,51,99,3,5,5,own_draw
testing_35,410.tiff,2,default_51,20695,20694,51,98,3,5,5,own_draw
testing_35,435.tiff,0,default_51,21358,21400,51,98,6,7,10,own_draw
testing_35,435.tiff,2,default_51,21354,21359,51,98,6,10,12,own_draw
testing_35,435.tiff,2,gray_bbox,21354,21359,45,99,5,9,11,own_draw
testing_35,435.tiff,2,default_51,21354,21359,51,98,6,10,12,gray_gate
testing_35,435.tiff,2,gray_bbox,21354,21359,45,99,5,9,11,gray_gate
testing_35,462.tiff,1,default_51,22673,22686,51,99,2,3,4,own_draw
testing_35,462.tiff,1,hem_bbox,22673,22686,27,100,1,3,4,own_draw
testing_35,499.tiff,1,default_51,23919,24000,51,99,6,11,15,own_draw
original_14,013.tiff,0,default_51,254,249,51,97,6,9,9,own_draw
original_14,013.tiff,0,gray_bbox,254,249,31,97,6,9,9,own_draw
original_14,013.tiff,0,default_51,254,249,51,97,6,9,9,gray_gate
original_14,013.tiff,0,gray_bbox,254,249,31,97,6,9,9,gray_gate
original_14,013.tiff,1,default_51,243,263,51,95,6,7,8,own_draw
testing_35,128.tiff,1,default_51,3631,3616,51,97,8,13,13,own_draw
testing_35,128.tiff,1,gray_bbox,3631,3616,37,97,9,10,10,own_draw
testing_35,128.tiff,1,default_51,3631,3616,51,97,8,13,13,gray_gate
testing_35,128.tiff,1,gray_bbox,3631,3616,37,97,9,10,10,gray_gate
original_14,529.tiff,2,default_51,24934,24914,51,98,6,8,8,own_draw
original_14,529.tiff,2,gray_bbox,24909,24914,43,98,6,9,9,own_draw
original_14,529.tiff,2,hem_bbox,24934,24914,47,97,6,8,8,own_draw
original_14,529.tiff,2,default_51,24909,24914,51,97,6,8,9,gray_gate
original_14,529.tiff,2,gray_bbox,24909,24914,43,98,6,9,9,gray_gate
testing_35,549.tiff,1,default_51,25964,25961,51,98,7,8,8,own_draw
original_14,402.tiff,2,default_51,20242,20157,51,98,8,12,15,own_draw
original_14,402.tiff,2,gray_bbox,20242,20157,35,97,7,10,14,own_draw
original_14,402.tiff,2,default_51,20242,20157,51,98,8,12,15,gray_gate
original_14,402.tiff,2,gray_bbox,20242,20157,35,97,7,10,14,gray_gate
original_14,403.tiff,0,default_51,20334,20356,51,99,4,9,11,own_draw
original_14,403.tiff,2,default_51,20355,20396,51,97,4,10,14,own_draw
