arm,family,pair,K,n_clicks_substituted,pooled_delta_pts,wlt,exact_p,pair_meaningful_for_arm,holm_p
own_draw,all_49,gray_bbox - default_51,10,26,-0.20408163265306123,16/18/15,0.8887991782976314,True,0.8887991782976314
own_draw,all_49,gray_bbox - default_51,20,26,-1.6666666666666667,14/28/7,0.03837277612819889,True,0.18046511071815985
own_draw,all_49,gray_bbox - default_51,30,26,-1.4058956916099774,13/30/6,0.03609302214363197,True,0.18046511071815985
own_draw,all_49,hem_bbox - default_51,10,26,-2.2448979591836733,12/23/14,0.15145643061259761,True,0.30291286122519523
own_draw,all_49,hem_bbox - default_51,20,26,-4.727891156462585,9/35/5,0.00011970426839980064,True,0.0007182256103988038
own_draw,all_49,hem_bbox - default_51,30,26,-4.512471655328798,9/35/5,3.694819395150262e-05,True,0.00029558555161202094
own_draw,all_49,hem_bbox - gray_bbox,10,26,-2.0408163265306123,7/23/19,0.03993234224617481,True,0.18046511071815985
own_draw,all_49,hem_bbox - gray_bbox,20,26,-3.061224489795918,9/30/10,9.118413072428666e-05,True,0.0006382889150700066
own_draw,all_49,hem_bbox - gray_bbox,30,26,-3.106575963718821,7/32/10,1.9290269847260788e-05,True,0.0001736124286253471
own_draw,testing_35,gray_bbox - default_51,10,14,-0.38095238095238093,11/14/10,0.8094825744628906,True,0.8094825744628906
own_draw,testing_35,gray_bbox - default_51,20,14,-2.0,10/21/4,0.03826809395104647,True,0.15307237580418587
own_draw,testing_35,gray_bbox - default_51,30,14,-2.0317460317460316,7/22/6,0.007404636591672897,True,0.03702318295836449
own_draw,testing_35,hem_bbox - default_51,10,14,-2.5714285714285716,8/19/8,0.18579494953155518,True,0.37158989906311035
own_draw,testing_35,hem_bbox - default_51,20,14,-4.714285714285714,6/25/4,0.0007455460727214813,True,0.005218822509050369
own_draw,testing_35,hem_bbox - default_51,30,14,-4.920634920634921,5/27/3,4.3936073780059814e-05,True,0.00039542466402053833
own_draw,testing_35,hem_bbox - gray_bbox,10,14,-2.1904761904761907,4/19/12,0.05554008483886719,True,0.16662025451660156
own_draw,testing_35,hem_bbox - gray_bbox,20,14,-2.7142857142857144,6/21/8,0.0010177195072174072,True,0.006106317043304443
own_draw,testing_35,hem_bbox - gray_bbox,30,14,-2.888888888888889,4/22/9,8.749961853027344e-05,True,0.0006999969482421875
gray_gate,all_49,gray_bbox - default_51,10,10,-0.9523809523809523,13/19/17,0.317503759637475,True,0.317503759637475
gray_gate,all_49,gray_bbox - default_51,20,10,-2.2448979591836733,12/30/7,0.0034355031089035037,True,0.013742012435614015
gray_gate,all_49,gray_bbox - default_51,30,10,-1.9047619047619047,10/29/10,0.0014773389011679683,True,0.0073866945058398414
gray_gate,all_49,hem_bbox - default_51,10,10,-2.993197278911565,11/25/13,0.05212451936677098,False,0.10424903873354197
gray_gate,all_49,hem_bbox - default_51,20,10,-5.64625850340136,8/37/4,5.506071431682358e-06,False,3.8542500021776505e-05
gray_gate,all_49,hem_bbox - default_51,30,10,-5.328798185941043,7/36/6,4.965095286024734e-07,False,4.468585757422261e-06
gray_gate,all_49,hem_bbox - gray_bbox,10,10,-2.17687074829932,7/23/19,0.03398502245545387,False,0.10195506736636162
gray_gate,all_49,hem_bbox - gray_bbox,20,10,-3.2993197278911564,8/31/10,5.137519838172011e-05,False,0.00030825119029032066
gray_gate,all_49,hem_bbox - gray_bbox,30,10,-3.378684807256236,5/33/11,2.1723462850786746e-06,False,1.7378770280629396e-05
gray_gate,testing_35,gray_bbox - default_51,10,4,-1.0476190476190477,9/14/12,0.39816856384277344,True,0.39816856384277344
gray_gate,testing_35,gray_bbox - default_51,20,4,-2.4761904761904763,9/22/4,0.009209384210407734,True,0.036837536841630936
gray_gate,testing_35,gray_bbox - default_51,30,4,-2.4444444444444446,5/21/9,0.0004354119300842285,True,0.002612471580505371
gray_gate,testing_35,hem_bbox - default_51,10,4,-3.238095238095238,6/20/9,0.0952170193195343,False,0.1904340386390686
gray_gate,testing_35,hem_bbox - default_51,20,4,-5.333333333333333,5/26/4,0.00020505115389823914,False,0.001435358077287674
gray_gate,testing_35,hem_bbox - default_51,30,4,-5.4603174603174605,4/27/4,3.1189993023872375e-06,False,2.8070993721485138e-05
gray_gate,testing_35,hem_bbox - gray_bbox,10,4,-2.2857142857142856,4/18/13,0.05773353576660156,False,0.1732006072998047
gray_gate,testing_35,hem_bbox - gray_bbox,20,4,-2.9047619047619047,5/21/9,0.0007341206073760986,False,0.003670603036880493
gray_gate,testing_35,hem_bbox - gray_bbox,30,4,-3.015873015873016,3/22/10,6.693601608276367e-05,False,0.0005354881286621094
