file_name,seed_index,prod_gray_ann,my_gray_alone_ann,joint_ann,prod_base,prod_tx,prod_ty
300.tiff,0,14581,14581,14499,45,4286.0,2527.0
300.tiff,1,14577,14577,14578,41,4619.0,2424.0
300.tiff,2,14553,14553,14553,43,3997.0,565.5
301.tiff,0,14969,14969,14969,41,5916.5,3548.0
301.tiff,1,14874,14874,14874,29,6298.5,2291.5
301.tiff,2,14782,14782,14782,23,6327.0,85.0
322.tiff,0,16292,16292,16292,29,2679.5,480.5
322.tiff,1,16270,16270,16270,41,868.5,4698.5
322.tiff,2,16265,16265,16265,31,1157.0,2591.5
337.tiff,0,17124,17124,17124,43,5805.0,1942.5
337.tiff,1,17129,17129,17129,45,1348.5,3797.0
337.tiff,2,17118,17118,17118,37,5689.0,3402.0
339.tiff,0,17152,17152,17152,45,583.5,1292.5
339.tiff,1,17149,17149,17149,39,1657.5,47.0
339.tiff,2,17169,17169,17151,51,1931.5,4252.0
343.tiff,0,17382,17382,17382,43,5673.5,4654.0
343.tiff,1,17363,17363,17363,47,493.5,4565.0
343.tiff,2,17368,17368,17368,27,2084.5,2749.0
344.tiff,0,17457,17457,17457,23,1796.5,3483.5
344.tiff,1,17469,17469,17469,39,4353.0,1785.0
344.tiff,2,17460,17460,17460,27,2489.0,4123.5
201.tiff,0,4457,4457,4457,51,4097.0,1977.5
201.tiff,1,4469,4469,4469,51,6262.0,3299.0
201.tiff,2,4476,4476,4476,35,2857.5,4239.0
233.tiff,0,5761,5761,5761,25,4418.0,2139.0
233.tiff,1,5760,5760,5760,51,3565.0,1962.0
233.tiff,2,5770,5770,5770,43,2077.0,3646.0
211.tiff,0,4916,4916,4916,51,5027.0,1377.0
211.tiff,1,4919,4919,4919,43,2854.0,2571.5
211.tiff,2,4909,4909,4909,51,2429.0,1188.0
220.tiff,0,5270,5270,5270,51,1034.0,2942.0
220.tiff,1,5293,5293,5293,49,3108.0,4586.5
220.tiff,2,5247,5247,5247,51,3813.0,1715.0
230.tiff,0,5689,5689,5689,51,1637.0,1590.0
230.tiff,1,5700,5700,5700,33,3277.0,2404.0
230.tiff,2,5703,5703,5703,51,2386.0,2895.0
235.tiff,0,5810,5810,5810,39,5433.5,768.5
235.tiff,1,5831,5831,5831,39,6458.0,3085.5
235.tiff,2,5830,5830,5830,23,4329.0,3417.5
242.tiff,0,6180,6180,6180,33,2631.0,4228.0
242.tiff,1,6178,6178,6178,45,201.5,4164.5
242.tiff,2,6161,6161,6161,41,3459.0,1626.5
245.tiff,0,6274,6274,6317,47,6359.0,537.0
245.tiff,1,6243,6243,6243,51,794.0,169.0
245.tiff,2,6250,6250,6250,37,1751.0,174.0
246.tiff,0,6548,6548,6548,41,3627.5,3615.5
246.tiff,1,6599,6599,6599,51,5650.0,3720.0
246.tiff,2,6482,6482,6482,51,4659.0,1278.0
249.tiff,0,6940,6940,6940,29,3612.0,619.0
249.tiff,1,7008,7008,7008,39,3755.5,2620.5
249.tiff,2,6992,6992,6992,27,1800.0,2278.0
284.tiff,0,11810,11810,11810,39,3727.5,1581.5
284.tiff,1,11818,11818,11817,49,6521.0,1803.5
284.tiff,2,11832,11832,11832,43,6344.5,2155.5
289.tiff,0,12690,12690,12690,25,5249.5,4331.0
289.tiff,1,12675,12675,12675,27,2177.5,3287.0
289.tiff,2,12640,12640,12640,29,4541.0,784.5
291.tiff,0,13272,13272,13272,51,6311.5,3146.0
291.tiff,1,13169,13169,13169,43,5139.5,934.0
291.tiff,2,13283,13283,13283,51,2995.0,4384.0
293.tiff,0,13596,13596,13596,41,1993.5,2646.5
293.tiff,1,13588,13588,13588,49,926.5,2715.0
293.tiff,2,13625,13625,13625,45,1207.5,2856.5
459.tiff,0,22441,22441,22441,33,1844.5,4002.5
459.tiff,1,22446,22446,22446,41,2797.0,4370.0
459.tiff,2,22306,22306,22306,39,494.5,427.5
460.tiff,0,22577,22577,22577,47,5156.0,3997.0
460.tiff,1,22538,22538,22538,39,2383.5,1432.5
460.tiff,2,22552,22552,22552,51,4868.0,2590.0
410.tiff,0,20699,20699,20699,29,3464.0,4836.5
410.tiff,1,20687,20687,20687,35,2891.0,638.5
410.tiff,2,20694,20694,20694,35,2893.5,2617.0
425.tiff,0,21116,21116,21116,51,4612.0,557.5
425.tiff,1,21113,21113,21113,51,2166.0,545.5
425.tiff,2,21120,21120,21120,51,2750.0,1081.5
435.tiff,0,21400,21400,21400,51,2508.0,2704.0
435.tiff,1,21385,21385,21385,33,1580.0,1889.0
435.tiff,2,21354,21354,21359,45,1045.5,160.5
462.tiff,0,22660,22660,22660,39,4205.0,366.0
462.tiff,1,22686,22686,22686,33,4752.5,2901.0
462.tiff,2,22672,22672,22672,23,3167.5,910.5
499.tiff,0,23957,23957,23957,31,3641.0,2116.0
499.tiff,1,24000,24000,24000,47,6354.0,4421.0
499.tiff,2,23980,23980,23980,39,2547.0,3618.5
013.tiff,0,254,254,249,31,6816.5,3777.0
013.tiff,1,263,263,263,29,3729.0,5361.5
013.tiff,2,258,258,258,43,3063.0,3993.5
094.tiff,0,2512,2512,2512,25,5557.5,1178.0
094.tiff,1,2536,2536,2536,25,4189.0,2215.5
094.tiff,2,2494,2494,2494,35,5421.5,405.5
007.tiff,0,135,135,135,51,2041.0,3969.0
007.tiff,1,134,134,134,51,6894.5,3323.0
007.tiff,2,130,130,130,39,5593.5,3194.0
072.tiff,0,1812,1812,1812,35,6089.5,1922.5
072.tiff,1,1844,1844,1844,33,6588.5,1846.0
072.tiff,2,1813,1813,1813,41,6138.5,2313.0
100.tiff,0,2794,2794,2794,41,6823.5,3244.5
100.tiff,1,2768,2768,2768,35,5524.0,2333.5
100.tiff,2,2747,2747,2747,31,227.5,1385.5
123.tiff,0,3503,3503,3503,41,4485.5,3274.5
123.tiff,1,3468,3468,3468,35,2265.5,1248.0
123.tiff,2,3516,3516,3516,37,4302.5,4629.0
128.tiff,0,3625,3625,3625,51,5245.0,2350.0
128.tiff,1,3631,3631,3616,37,4106.5,2521.5
128.tiff,2,3624,3624,3624,35,5335.0,2171.5
529.tiff,0,24918,24918,24918,37,3415.0,2721.0
529.tiff,1,24937,24937,24937,41,5788.5,4071.0
529.tiff,2,24909,24909,24914,43,6480.0,1553.5
548.tiff,0,25804,25804,25804,29,5163.5,3868.5
548.tiff,1,25712,25712,25712,37,5455.5,1655.5
548.tiff,2,25735,25735,25735,33,1158.0,3342.5
509.tiff,0,24264,24264,24264,51,1646.5,3096.0
509.tiff,1,24271,24271,24271,51,71.5,4396.0
509.tiff,2,24260,24260,24260,51,1940.0,1529.5
524.tiff,0,24536,24536,24536,43,6345.5,3476.0
524.tiff,1,24543,24543,24543,31,974.0,5289.5
524.tiff,2,24532,24532,24532,49,6731.0,2613.0
527.tiff,0,24720,24720,24720,33,1912.0,3925.0
527.tiff,1,24705,24705,24705,39,3750.0,3255.0
527.tiff,2,24715,24715,24715,41,309.0,4640.5
546.tiff,0,25538,25538,25538,29,2758.5,1963.0
546.tiff,1,25551,25551,25551,33,1584.0,3256.5
546.tiff,2,25539,25539,25539,43,3264.5,2382.5
549.tiff,0,25963,25963,25963,39,1391.5,1515.0
549.tiff,1,25961,25961,25961,41,1699.5,478.0
549.tiff,2,25983,25983,25983,41,6898.0,4069.0
402.tiff,0,20254,20254,20254,29,990.0,4915.5
402.tiff,1,20258,20258,20258,51,2413.0,4970.0
402.tiff,2,20242,20242,20157,35,2201.5,3724.5
403.tiff,0,20356,20356,20356,51,2227.0,2968.0
403.tiff,1,20344,20344,20344,43,2712.0,1677.0
403.tiff,2,20396,20396,20396,41,3815.0,4530.5
353.tiff,0,18278,18278,18278,45,185.0,1519.5
353.tiff,1,18280,18280,18280,37,1073.5,1273.0
353.tiff,2,18281,18281,18281,33,1130.0,1219.0
364.tiff,0,18757,18757,18757,37,965.0,1589.0
364.tiff,1,18766,18766,18766,23,6777.5,1056.5
364.tiff,2,18785,18785,18785,51,6674.0,3656.0
400.tiff,0,20040,20040,20040,35,87.5,4646.0
400.tiff,1,19942,19942,19942,33,3382.0,662.5
400.tiff,2,19947,19947,19947,35,5673.5,539.5
401.tiff,0,20132,20132,20132,29,3990.0,5047.0
401.tiff,1,20102,20102,20102,35,2482.5,507.5
401.tiff,2,20112,20112,20112,27,2812.0,1660.0
404.tiff,0,20471,20471,20471,43,3045.0,2542.5
404.tiff,1,20474,20474,20474,43,5844.0,2187.5
404.tiff,2,20472,20472,20472,43,3043.5,2084.0
