table,key,column,notebook,audit,match
mpp,013.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,013.tiff,width JSON vs TIFF,7215,7215,True
tiff,013.tiff,height JSON vs TIFF,5412,5412,True
mpp,094.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,094.tiff,width JSON vs TIFF,7103,7103,True
tiff,094.tiff,height JSON vs TIFF,5364,5364,True
mpp,201.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,201.tiff,width JSON vs TIFF,6577,6577,True
tiff,201.tiff,height JSON vs TIFF,4933,4933,True
mpp,233.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,233.tiff,width JSON vs TIFF,6577,6577,True
tiff,233.tiff,height JSON vs TIFF,4933,4933,True
mpp,245.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,245.tiff,width JSON vs TIFF,6577,6577,True
tiff,245.tiff,height JSON vs TIFF,4933,4933,True
mpp,246.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,246.tiff,width JSON vs TIFF,6577,6577,True
tiff,246.tiff,height JSON vs TIFF,4933,4933,True
mpp,300.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,300.tiff,width JSON vs TIFF,6447,6447,True
tiff,300.tiff,height JSON vs TIFF,4835,4835,True
mpp,301.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,301.tiff,width JSON vs TIFF,6447,6447,True
tiff,301.tiff,height JSON vs TIFF,4835,4835,True
mpp,402.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,402.tiff,width JSON vs TIFF,7215,7215,True
tiff,402.tiff,height JSON vs TIFF,5412,5412,True
mpp,403.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,403.tiff,width JSON vs TIFF,7215,7215,True
tiff,403.tiff,height JSON vs TIFF,5412,5412,True
mpp,459.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,459.tiff,width JSON vs TIFF,6577,6577,True
tiff,459.tiff,height JSON vs TIFF,4933,4933,True
mpp,460.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,460.tiff,width JSON vs TIFF,6577,6577,True
tiff,460.tiff,height JSON vs TIFF,4933,4933,True
mpp,529.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,529.tiff,width JSON vs TIFF,7215,7215,True
tiff,529.tiff,height JSON vs TIFF,5412,5412,True
mpp,548.tiff,n_gt_mitotic identical across conditions,1,1,True
tiff,548.tiff,width JSON vs TIFF,7215,7215,True
tiff,548.tiff,height JSON vs TIFF,5412,5412,True
per_roi,013.tiff/default_51,tp_at_10 (independent repo-rule rematch),6,6,True
per_roi,013.tiff/default_51,tp_at_10 (bucket column count),6,6,True
per_roi,013.tiff/default_51,tp_at_20 (independent repo-rule rematch),8,8,True
per_roi,013.tiff/default_51,tp_at_20 (bucket column count),8,8,True
per_roi,013.tiff/default_51,tp_at_30 (independent repo-rule rematch),9,9,True
per_roi,013.tiff/default_51,tp_at_30 (bucket column count),9,9,True
top30,013.tiff/default_51/rank0,bucket,human_correct_label,human_correct_label,True
top30,013.tiff/default_51/rank0,matched_ann_id,268,268,True
top30,013.tiff/default_51/rank1,bucket,human_correct_label,human_correct_label,True
top30,013.tiff/default_51/rank1,matched_ann_id,259,259,True
top30,013.tiff/default_51/rank2,bucket,human_rejected_label,human_rejected_label,True
top30,013.tiff/default_51/rank2,matched_ann_id,255,255,True
top30,013.tiff/default_51/rank3,bucket,human_correct_label,human_correct_label,True
top30,013.tiff/default_51/rank3,matched_ann_id,263,263,True
top30,013.tiff/default_51/rank4,bucket,human_correct_label,human_correct_label,True
top30,013.tiff/default_51/rank4,matched_ann_id,240,240,True
top30,013.tiff/default_51/rank5,bucket,human_correct_label,human_correct_label,True
top30,013.tiff/default_51/rank5,matched_ann_id,260,260,True
top30,013.tiff/default_51/rank6,bucket,human_rejected_label,human_rejected_label,True
top30,013.tiff/default_51/rank6,matched_ann_id,269,269,True
top30,013.tiff/default_51/rank7,bucket,non_human_findings,non_human_findings,True
top30,013.tiff/default_51/rank7,matched_ann_id,-1,-1,True
top30,013.tiff/default_51/rank8,bucket,human_correct_label,human_correct_label,True
top30,013.tiff/default_51/rank8,matched_ann_id,246,246,True
top30,013.tiff/default_51/rank9,bucket,human_rejected_label,human_rejected_label,True
top30,013.tiff/default_51/rank9,matched_ann_id,266,266,True
top30,013.tiff/default_51/rank10,bucket,non_human_findings,non_human_findings,True
top30,013.tiff/default_51/rank10,matched_ann_id,-1,-1,True
