rule,pair,K,mean_delta_precision,wins,losses,ties,n_nonzero,exact_p,exact_p_fraction,p_floor,holm_adjusted_p,holm_reject_0.05
repo_mixed_greedy,gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,0.625,5/8,0.125,0.75,False
repo_mixed_greedy,gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,0.125,1/8,0.125,0.5390625,False
repo_mixed_greedy,gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,0.296875,19/64,0.0078125,0.75,False
repo_mixed_greedy,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,0.0625,1/16,0.0625,0.4375,False
repo_mixed_greedy,hem_bbox - default_51,20,-0.06785714285714287,1,11,2,12,0.0029296875,3/1024,0.00048828125,0.0263671875,True
repo_mixed_greedy,hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,0.0068359375,7/1024,0.0009765625,0.0546875,False
repo_mixed_greedy,hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,0.25,1/4,0.25,0.75,False
repo_mixed_greedy,hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,0.08984375,23/256,0.00048828125,0.5390625,False
repo_mixed_greedy,hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,0.09765625,25/256,0.001953125,0.5390625,False
mitotic_only_greedy,gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,0.625,5/8,0.125,0.75,False
mitotic_only_greedy,gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,0.125,1/8,0.125,0.5390625,False
mitotic_only_greedy,gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,0.296875,19/64,0.0078125,0.75,False
mitotic_only_greedy,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,0.0625,1/16,0.0625,0.4375,False
mitotic_only_greedy,hem_bbox - default_51,20,-0.06785714285714287,1,11,2,12,0.0029296875,3/1024,0.00048828125,0.0263671875,True
mitotic_only_greedy,hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,0.0068359375,7/1024,0.0009765625,0.0546875,False
mitotic_only_greedy,hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,0.25,1/4,0.25,0.75,False
mitotic_only_greedy,hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,0.08984375,23/256,0.00048828125,0.5390625,False
mitotic_only_greedy,hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,0.09765625,25/256,0.001953125,0.5390625,False
mitotic_only_max_matching,gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,0.625,5/8,0.125,0.75,False
mitotic_only_max_matching,gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,0.125,1/8,0.125,0.5390625,False
mitotic_only_max_matching,gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,0.296875,19/64,0.0078125,0.75,False
mitotic_only_max_matching,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,0.0625,1/16,0.0625,0.4375,False
mitotic_only_max_matching,hem_bbox - default_51,20,-0.06785714285714287,1,11,2,12,0.0029296875,3/1024,0.00048828125,0.0263671875,True
mitotic_only_max_matching,hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,0.0068359375,7/1024,0.0009765625,0.0546875,False
mitotic_only_max_matching,hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,0.25,1/4,0.25,0.75,False
mitotic_only_max_matching,hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,0.08984375,23/256,0.00048828125,0.5390625,False
mitotic_only_max_matching,hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,0.09765625,25/256,0.001953125,0.5390625,False
any_mitosis_within_radius,gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,0.625,5/8,0.125,0.75,False
any_mitosis_within_radius,gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,0.125,1/8,0.125,0.5390625,False
any_mitosis_within_radius,gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,0.296875,19/64,0.0078125,0.75,False
any_mitosis_within_radius,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,0.0625,1/16,0.0625,0.4375,False
any_mitosis_within_radius,hem_bbox - default_51,20,-0.06785714285714287,1,11,2,12,0.0029296875,3/1024,0.00048828125,0.0263671875,True
any_mitosis_within_radius,hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,0.0068359375,7/1024,0.0009765625,0.0546875,False
any_mitosis_within_radius,hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,0.25,1/4,0.25,0.75,False
any_mitosis_within_radius,hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,0.08984375,23/256,0.00048828125,0.5390625,False
any_mitosis_within_radius,hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,0.09765625,25/256,0.001953125,0.5390625,False
contested_mitoses_dropped,gray_bbox - default_51,10,0.0,2,2,10,4,1.0,1,0.125,1.0,False
contested_mitoses_dropped,gray_bbox - default_51,20,-0.02142857142857143,1,5,8,6,0.15625,5/32,0.03125,1.0,False
contested_mitoses_dropped,gray_bbox - default_51,30,-0.016666666666666666,2,6,6,8,0.296875,19/64,0.0078125,1.0,False
contested_mitoses_dropped,hem_bbox - default_51,10,-0.007142857142857143,2,3,9,5,1.0,1,0.0625,1.0,False
contested_mitoses_dropped,hem_bbox - default_51,20,-0.04285714285714286,3,7,4,10,0.064453125,33/512,0.001953125,0.515625,False
contested_mitoses_dropped,hem_bbox - default_51,30,-0.03571428571428571,3,10,1,13,0.036865234375,151/4096,0.000244140625,0.331787109375,False
contested_mitoses_dropped,hem_bbox - gray_bbox,10,-0.007142857142857143,3,4,7,7,1.0,1,0.015625,1.0,False
contested_mitoses_dropped,hem_bbox - gray_bbox,20,-0.02142857142857143,3,6,5,9,0.390625,25/64,0.00390625,1.0,False
contested_mitoses_dropped,hem_bbox - gray_bbox,30,-0.019047619047619046,3,9,2,12,0.17529296875,359/2048,0.00048828125,1.0,False
strict_less_than,gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,0.625,5/8,0.125,0.75,False
strict_less_than,gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,0.125,1/8,0.125,0.5390625,False
strict_less_than,gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,0.296875,19/64,0.0078125,0.75,False
strict_less_than,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,0.0625,1/16,0.0625,0.4375,False
strict_less_than,hem_bbox - default_51,20,-0.06785714285714287,1,11,2,12,0.0029296875,3/1024,0.00048828125,0.0263671875,True
strict_less_than,hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,0.0068359375,7/1024,0.0009765625,0.0546875,False
strict_less_than,hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,0.25,1/4,0.25,0.75,False
strict_less_than,hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,0.08984375,23/256,0.00048828125,0.5390625,False
strict_less_than,hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,0.09765625,25/256,0.001953125,0.5390625,False
radius_minus_1px,gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,0.625,5/8,0.125,0.75,False
radius_minus_1px,gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,0.125,1/8,0.125,0.5390625,False
radius_minus_1px,gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,0.296875,19/64,0.0078125,0.75,False
radius_minus_1px,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,0.0625,1/16,0.0625,0.4375,False
radius_minus_1px,hem_bbox - default_51,20,-0.06785714285714287,1,11,2,12,0.0029296875,3/1024,0.00048828125,0.0263671875,True
