figure,panel,row,label
1 pooled precision bars,default_51,top 10,0.671
1 pooled precision bars,default_51,top 20,0.632
1 pooled precision bars,default_51,top 30,0.567
1 pooled precision bars,gray_bbox,top 10,0.657
1 pooled precision bars,gray_bbox,top 20,0.604
1 pooled precision bars,gray_bbox,top 30,0.550
1 pooled precision bars,hem_bbox,top 10,0.636
1 pooled precision bars,hem_bbox,top 20,0.564
1 pooled precision bars,hem_bbox,top 30,0.524
2 per-ROI delta heatmap,gray_bbox minus default_51,300.tiff K=10,0
2 per-ROI delta heatmap,gray_bbox minus default_51,300.tiff K=20,0
2 per-ROI delta heatmap,gray_bbox minus default_51,300.tiff K=30,0
2 per-ROI delta heatmap,gray_bbox minus default_51,301.tiff K=10,0
2 per-ROI delta heatmap,gray_bbox minus default_51,301.tiff K=20,0
2 per-ROI delta heatmap,gray_bbox minus default_51,301.tiff K=30,+0.03
2 per-ROI delta heatmap,gray_bbox minus default_51,201.tiff K=10,0
2 per-ROI delta heatmap,gray_bbox minus default_51,201.tiff K=20,0
2 per-ROI delta heatmap,gray_bbox minus default_51,201.tiff K=30,0
2 per-ROI delta heatmap,gray_bbox minus default_51,233.tiff K=10,+0.10
2 per-ROI delta heatmap,gray_bbox minus default_51,233.tiff K=20,0
2 per-ROI delta heatmap,gray_bbox minus default_51,233.tiff K=30,+0.03
2 per-ROI delta heatmap,gray_bbox minus default_51,245.tiff K=10,0
2 per-ROI delta heatmap,gray_bbox minus default_51,245.tiff K=20,0
2 per-ROI delta heatmap,gray_bbox minus default_51,245.tiff K=30,0
2 per-ROI delta heatmap,gray_bbox minus default_51,246.tiff K=10,0
2 per-ROI delta heatmap,gray_bbox minus default_51,246.tiff K=20,-0.15
2 per-ROI delta heatmap,gray_bbox minus default_51,246.tiff K=30,-0.07
2 per-ROI delta heatmap,gray_bbox minus default_51,459.tiff K=10,0
2 per-ROI delta heatmap,gray_bbox minus default_51,459.tiff K=20,0
2 per-ROI delta heatmap,gray_bbox minus default_51,459.tiff K=30,-0.03
2 per-ROI delta heatmap,gray_bbox minus default_51,460.tiff K=10,0
2 per-ROI delta heatmap,gray_bbox minus default_51,460.tiff K=20,0
2 per-ROI delta heatmap,gray_bbox minus default_51,460.tiff K=30,0
2 per-ROI delta heatmap,gray_bbox minus default_51,013.tiff K=10,0
2 per-ROI delta heatmap,gray_bbox minus default_51,013.tiff K=20,0
2 per-ROI delta heatmap,gray_bbox minus default_51,013.tiff K=30,0
2 per-ROI delta heatmap,gray_bbox minus default_51,094.tiff K=10,0
2 per-ROI delta heatmap,gray_bbox minus default_51,094.tiff K=20,0
2 per-ROI delta heatmap,gray_bbox minus default_51,094.tiff K=30,+0.03
2 per-ROI delta heatmap,gray_bbox minus default_51,529.tiff K=10,-0.10
2 per-ROI delta heatmap,gray_bbox minus default_51,529.tiff K=20,-0.05
2 per-ROI delta heatmap,gray_bbox minus default_51,529.tiff K=30,-0.07
2 per-ROI delta heatmap,gray_bbox minus default_51,548.tiff K=10,-0.10
2 per-ROI delta heatmap,gray_bbox minus default_51,548.tiff K=20,-0.10
2 per-ROI delta heatmap,gray_bbox minus default_51,548.tiff K=30,-0.03
2 per-ROI delta heatmap,gray_bbox minus default_51,402.tiff K=10,-0.10
2 per-ROI delta heatmap,gray_bbox minus default_51,402.tiff K=20,-0.10
2 per-ROI delta heatmap,gray_bbox minus default_51,402.tiff K=30,-0.13
2 per-ROI delta heatmap,gray_bbox minus default_51,403.tiff K=10,0
2 per-ROI delta heatmap,gray_bbox minus default_51,403.tiff K=20,0
2 per-ROI delta heatmap,gray_bbox minus default_51,403.tiff K=30,0
3 win/loss/tie stacks,gray_bbox vs default_51,K=10 wins,1
