file_name,condition,base_size_nb,base_size_ref,n_det_nb,n_det_ref,tp_at_10_nb,tp_at_10_ref,tp_at_20_nb,tp_at_20_ref,tp_at_30_nb,tp_at_30_ref,all_match
300.tiff,gray_bbox,49,49,99,99,9,9,19,19,27,27,True
300.tiff,hem_bbox,25,25,99,99,8,8,17,17,27,27,True
301.tiff,gray_bbox,41,41,98,98,8,8,18,18,27,27,True
301.tiff,hem_bbox,33,33,99,99,8,8,17,17,26,26,True
201.tiff,gray_bbox,51,51,98,98,4,4,8,8,9,9,True
201.tiff,hem_bbox,29,29,97,97,4,4,6,6,7,7,True
233.tiff,gray_bbox,25,25,97,97,7,7,8,8,10,10,True
233.tiff,hem_bbox,23,23,96,96,6,6,7,7,9,9,True
245.tiff,gray_bbox,51,51,97,97,1,1,4,4,7,7,True
245.tiff,hem_bbox,23,23,98,98,1,1,2,2,5,5,True
246.tiff,gray_bbox,41,41,96,96,10,10,14,14,21,21,True
246.tiff,hem_bbox,27,27,94,94,10,10,16,16,22,22,True
459.tiff,gray_bbox,33,33,99,99,9,9,17,17,25,25,True
459.tiff,hem_bbox,31,31,99,99,9,9,17,17,25,25,True
460.tiff,gray_bbox,47,47,99,99,7,7,16,16,17,17,True
460.tiff,hem_bbox,41,41,99,99,7,7,14,14,15,15,True
013.tiff,gray_bbox,39,39,97,97,6,6,8,8,9,9,True
013.tiff,hem_bbox,39,39,98,98,6,6,9,9,10,10,True
094.tiff,gray_bbox,25,25,96,96,5,5,15,15,22,22,True
094.tiff,hem_bbox,23,23,98,98,5,5,14,14,20,20,True
529.tiff,gray_bbox,37,37,97,97,6,6,7,7,7,7,True
529.tiff,hem_bbox,33,33,96,96,6,6,8,8,8,8,True
548.tiff,gray_bbox,29,29,98,98,8,8,13,13,21,21,True
548.tiff,hem_bbox,27,27,98,98,8,8,13,13,21,21,True
402.tiff,gray_bbox,29,29,98,98,7,7,12,12,15,15,True
402.tiff,hem_bbox,25,25,98,98,7,7,11,11,15,15,True
403.tiff,gray_bbox,51,51,98,98,5,5,10,10,14,14,True
403.tiff,hem_bbox,31,31,95,95,4,4,7,7,10,10,True
