rule,condition,K,tp,precision_pooled
any_mitosis_within_radius,default_51,10,94,0.6714285714285714
any_mitosis_within_radius,default_51,20,177,0.6321428571428571
any_mitosis_within_radius,default_51,30,238,0.5666666666666667
any_mitosis_within_radius,gray_bbox,10,92,0.6571428571428571
any_mitosis_within_radius,gray_bbox,20,169,0.6035714285714285
any_mitosis_within_radius,gray_bbox,30,231,0.55
any_mitosis_within_radius,hem_bbox,10,89,0.6357142857142857
any_mitosis_within_radius,hem_bbox,20,158,0.5642857142857143
any_mitosis_within_radius,hem_bbox,30,220,0.5238095238095238
contested_mitoses_dropped,default_51,10,70,0.5
contested_mitoses_dropped,default_51,20,134,0.4785714285714286
contested_mitoses_dropped,default_51,30,182,0.43333333333333335
contested_mitoses_dropped,gray_bbox,10,70,0.5
contested_mitoses_dropped,gray_bbox,20,128,0.45714285714285713
contested_mitoses_dropped,gray_bbox,30,175,0.4166666666666667
contested_mitoses_dropped,hem_bbox,10,69,0.4928571428571429
contested_mitoses_dropped,hem_bbox,20,122,0.4357142857142857
contested_mitoses_dropped,hem_bbox,30,167,0.3976190476190476
mitotic_only_greedy,default_51,10,94,0.6714285714285714
mitotic_only_greedy,default_51,20,177,0.6321428571428571
mitotic_only_greedy,default_51,30,238,0.5666666666666667
mitotic_only_greedy,gray_bbox,10,92,0.6571428571428571
mitotic_only_greedy,gray_bbox,20,169,0.6035714285714285
mitotic_only_greedy,gray_bbox,30,231,0.55
mitotic_only_greedy,hem_bbox,10,89,0.6357142857142857
mitotic_only_greedy,hem_bbox,20,158,0.5642857142857143
mitotic_only_greedy,hem_bbox,30,220,0.5238095238095238
mitotic_only_max_matching,default_51,10,94,0.6714285714285714
mitotic_only_max_matching,default_51,20,177,0.6321428571428571
mitotic_only_max_matching,default_51,30,238,0.5666666666666667
mitotic_only_max_matching,gray_bbox,10,92,0.6571428571428571
mitotic_only_max_matching,gray_bbox,20,169,0.6035714285714285
mitotic_only_max_matching,gray_bbox,30,231,0.55
mitotic_only_max_matching,hem_bbox,10,89,0.6357142857142857
mitotic_only_max_matching,hem_bbox,20,158,0.5642857142857143
mitotic_only_max_matching,hem_bbox,30,220,0.5238095238095238
radius_minus_1px,default_51,10,94,0.6714285714285714
radius_minus_1px,default_51,20,177,0.6321428571428571
radius_minus_1px,default_51,30,238,0.5666666666666667
radius_minus_1px,gray_bbox,10,92,0.6571428571428571
radius_minus_1px,gray_bbox,20,169,0.6035714285714285
radius_minus_1px,gray_bbox,30,231,0.55
radius_minus_1px,hem_bbox,10,89,0.6357142857142857
radius_minus_1px,hem_bbox,20,158,0.5642857142857143
radius_minus_1px,hem_bbox,30,220,0.5238095238095238
radius_plus_1px,default_51,10,94,0.6714285714285714
radius_plus_1px,default_51,20,177,0.6321428571428571
radius_plus_1px,default_51,30,238,0.5666666666666667
radius_plus_1px,gray_bbox,10,92,0.6571428571428571
radius_plus_1px,gray_bbox,20,169,0.6035714285714285
radius_plus_1px,gray_bbox,30,231,0.55
radius_plus_1px,hem_bbox,10,89,0.6357142857142857
radius_plus_1px,hem_bbox,20,158,0.5642857142857143
radius_plus_1px,hem_bbox,30,220,0.5238095238095238
repo_mixed_greedy,default_51,10,94,0.6714285714285714
repo_mixed_greedy,default_51,20,177,0.6321428571428571
repo_mixed_greedy,default_51,30,238,0.5666666666666667
repo_mixed_greedy,gray_bbox,10,92,0.6571428571428571
repo_mixed_greedy,gray_bbox,20,169,0.6035714285714285
repo_mixed_greedy,gray_bbox,30,231,0.55
repo_mixed_greedy,hem_bbox,10,89,0.6357142857142857
repo_mixed_greedy,hem_bbox,20,158,0.5642857142857143
repo_mixed_greedy,hem_bbox,30,220,0.5238095238095238
strict_less_than,default_51,10,94,0.6714285714285714
strict_less_than,default_51,20,177,0.6321428571428571
strict_less_than,default_51,30,238,0.5666666666666667
strict_less_than,gray_bbox,10,92,0.6571428571428571
strict_less_than,gray_bbox,20,169,0.6035714285714285
strict_less_than,gray_bbox,30,231,0.55
strict_less_than,hem_bbox,10,89,0.6357142857142857
strict_less_than,hem_bbox,20,158,0.5642857142857143
strict_less_than,hem_bbox,30,220,0.5238095238095238
topk_only_repo_greedy,default_51,10,94,0.6714285714285714
topk_only_repo_greedy,default_51,20,177,0.6321428571428571
topk_only_repo_greedy,default_51,30,238,0.5666666666666667
topk_only_repo_greedy,gray_bbox,10,92,0.6571428571428571
topk_only_repo_greedy,gray_bbox,20,169,0.6035714285714285
topk_only_repo_greedy,gray_bbox,30,231,0.55
topk_only_repo_greedy,hem_bbox,10,89,0.6357142857142857
topk_only_repo_greedy,hem_bbox,20,158,0.5642857142857143
topk_only_repo_greedy,hem_bbox,30,220,0.5238095238095238
