rule,pair,K,mean,wins,losses,ties,n_nonzero,p,holm,p_float,holm_float
all_mitoses,gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,5/8,3/4,0.625,0.75
all_mitoses,gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,1/8,69/128,0.125,0.5390625
all_mitoses,gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,19/64,3/4,0.296875,0.75
all_mitoses,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,1/16,7/16,0.0625,0.4375
all_mitoses,hem_bbox - default_51,20,-0.06785714285714285,1,11,2,12,3/1024,27/1024,0.0029296875,0.0263671875
all_mitoses,hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,7/1024,7/128,0.0068359375,0.0546875
all_mitoses,hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,1/4,3/4,0.25,0.75
all_mitoses,hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,23/256,69/128,0.08984375,0.5390625
all_mitoses,hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,25/256,69/128,0.09765625,0.5390625
contested_excluded,gray_bbox - default_51,10,-0.014200680272108844,2,3,9,5,1/2,15/16,0.5,0.9375
contested_excluded,gray_bbox - default_51,20,-0.031416162956410636,1,5,8,6,1/16,7/16,0.0625,0.4375
contested_excluded,gray_bbox - default_51,30,-0.018547936503349554,3,6,5,9,61/256,183/256,0.23828125,0.71484375
contested_excluded,hem_bbox - default_51,10,-0.02689909297052154,1,5,8,6,5/32,5/8,0.15625,0.625
contested_excluded,hem_bbox - default_51,20,-0.06657357520360617,1,11,2,12,7/2048,117/4096,0.00341796875,0.028564453125
contested_excluded,hem_bbox - default_51,30,-0.04346659986666664,2,12,0,14,13/4096,117/4096,0.003173828125,0.028564453125
contested_excluded,hem_bbox - gray_bbox,10,-0.012698412698412698,2,5,7,7,15/32,15/16,0.46875,0.9375
contested_excluded,hem_bbox - gray_bbox,20,-0.03515741224719553,3,9,2,12,117/1024,585/1024,0.1142578125,0.5712890625
contested_excluded,hem_bbox - gray_bbox,30,-0.024918663363317085,3,9,2,12,5/64,15/32,0.078125,0.46875
contested_as_fp,gray_bbox - default_51,10,0.0,2,2,10,4,1,1,1.0,1.0
contested_as_fp,gray_bbox - default_51,20,-0.02142857142857143,1,5,8,6,5/32,1,0.15625,1.0
contested_as_fp,gray_bbox - default_51,30,-0.016666666666666666,2,6,6,8,19/64,1,0.296875,1.0
contested_as_fp,hem_bbox - default_51,10,-0.007142857142857143,2,3,9,5,1,1,1.0,1.0
contested_as_fp,hem_bbox - default_51,20,-0.04285714285714286,3,7,4,10,33/512,33/64,0.064453125,0.515625
contested_as_fp,hem_bbox - default_51,30,-0.03571428571428571,3,10,1,13,151/4096,1359/4096,0.036865234375,0.331787109375
contested_as_fp,hem_bbox - gray_bbox,10,-0.007142857142857143,3,4,7,7,1,1,1.0,1.0
contested_as_fp,hem_bbox - gray_bbox,20,-0.02142857142857143,3,6,5,9,25/64,1,0.390625,1.0
contested_as_fp,hem_bbox - gray_bbox,30,-0.01904761904761905,3,9,2,12,359/2048,1,0.17529296875,1.0
