cell,execution_count,has_error,started_utc,idle_utc,contiguous_from_1
1,1,False,2026-09-17T00:13:11.789950Z,2026-09-17T00:13:16.448547Z,True
3,2,False,2026-09-17T00:13:16.452351Z,2026-09-17T00:13:16.473767Z,True
4,3,False,2026-09-17T00:13:16.477083Z,2026-09-17T00:16:46.888227Z,True
6,4,False,2026-09-17T00:16:46.891976Z,2026-09-17T00:16:46.910188Z,True
8,5,False,2026-09-17T00:16:46.914643Z,2026-09-17T00:16:46.971409Z,True
10,6,False,2026-09-17T00:16:46.975924Z,2026-09-17T00:16:47.011325Z,True
12,7,False,2026-09-17T00:16:47.016140Z,2026-09-17T00:16:47.052373Z,True
14,8,False,2026-09-17T00:16:47.056371Z,2026-09-17T00:16:48.373988Z,True
15,9,False,2026-09-17T00:16:48.377578Z,2026-09-17T00:16:49.498151Z,True
17,10,False,2026-09-17T00:16:49.504226Z,2026-09-17T00:16:50.226300Z,True
19,11,False,2026-09-17T00:16:50.229778Z,2026-09-17T00:16:50.749100Z,True
21,12,False,2026-09-17T00:16:50.753001Z,2026-09-17T00:16:51.133987Z,True
23,13,False,2026-09-17T00:16:51.138285Z,2026-09-17T00:16:51.173014Z,True
25,14,False,2026-09-17T00:16:51.178163Z,2026-09-17T00:16:51.663714Z,True
26,15,False,2026-09-17T00:16:51.667475Z,2026-09-17T00:16:52.843117Z,True
27,16,False,2026-09-17T00:16:52.846650Z,2026-09-17T00:16:53.671310Z,True
29,17,False,2026-09-17T00:16:53.675507Z,2026-09-17T00:16:53.679663Z,True
