pair,file_name,K,abs_delta_base_size,tie,shared_coordinates,shared_mitoses,tp_a,tp_b
gray_bbox - default_51,013.tiff,10,12,True,0,6,6,6
gray_bbox - default_51,013.tiff,20,12,True,0,8,8,8
gray_bbox - default_51,013.tiff,30,12,True,0,9,9,9
gray_bbox - default_51,094.tiff,10,26,True,0,5,5,5
gray_bbox - default_51,094.tiff,20,26,True,0,15,15,15
gray_bbox - default_51,094.tiff,30,26,False,1,20,22,21
gray_bbox - default_51,201.tiff,10,0,True,10,4,4,4
gray_bbox - default_51,201.tiff,20,0,True,20,8,8,8
gray_bbox - default_51,201.tiff,30,0,True,30,9,9,9
gray_bbox - default_51,233.tiff,10,26,False,0,5,7,6
gray_bbox - default_51,233.tiff,20,26,True,0,6,8,8
gray_bbox - default_51,233.tiff,30,26,False,0,7,10,9
gray_bbox - default_51,245.tiff,10,0,True,10,1,1,1
gray_bbox - default_51,245.tiff,20,0,True,20,4,4,4
gray_bbox - default_51,245.tiff,30,0,True,30,7,7,7
gray_bbox - default_51,246.tiff,10,10,True,0,9,10,10
gray_bbox - default_51,246.tiff,20,10,False,0,13,14,17
gray_bbox - default_51,246.tiff,30,10,False,0,18,21,23
gray_bbox - default_51,300.tiff,10,2,True,0,9,9,9
gray_bbox - default_51,300.tiff,20,2,True,0,18,19,19
gray_bbox - default_51,300.tiff,30,2,True,0,26,27,27
gray_bbox - default_51,301.tiff,10,10,True,0,7,8,8
gray_bbox - default_51,301.tiff,20,10,True,0,15,18,18
gray_bbox - default_51,301.tiff,30,10,False,0,23,27,26
gray_bbox - default_51,402.tiff,10,22,False,1,7,7,8
gray_bbox - default_51,402.tiff,20,22,False,1,11,12,14
gray_bbox - default_51,402.tiff,30,22,False,1,14,15,19
gray_bbox - default_51,403.tiff,10,0,True,0,5,5,5
gray_bbox - default_51,403.tiff,20,0,True,0,10,10,10
gray_bbox - default_51,403.tiff,30,0,True,0,14,14,14
gray_bbox - default_51,459.tiff,10,18,True,1,8,9,9
gray_bbox - default_51,459.tiff,20,18,True,1,14,17,17
gray_bbox - default_51,459.tiff,30,18,False,1,21,25,26
gray_bbox - default_51,460.tiff,10,4,True,0,7,7,7
gray_bbox - default_51,460.tiff,20,4,True,0,15,16,16
gray_bbox - default_51,460.tiff,30,4,True,0,16,17,17
gray_bbox - default_51,529.tiff,10,14,False,0,6,6,7
gray_bbox - default_51,529.tiff,20,14,False,0,6,7,8
gray_bbox - default_51,529.tiff,30,14,False,0,7,7,9
gray_bbox - default_51,548.tiff,10,22,False,0,7,8,9
gray_bbox - default_51,548.tiff,20,22,False,0,12,13,15
gray_bbox - default_51,548.tiff,30,22,False,0,17,21,22
hem_bbox - default_51,013.tiff,10,12,True,1,6,6,6
hem_bbox - default_51,013.tiff,20,12,False,1,8,9,8
hem_bbox - default_51,013.tiff,30,12,False,1,9,10,9
hem_bbox - default_51,094.tiff,10,28,True,0,5,5,5
hem_bbox - default_51,094.tiff,20,28,False,0,14,14,15
hem_bbox - default_51,094.tiff,30,28,False,0,17,20,21
hem_bbox - default_51,201.tiff,10,22,True,0,3,4,4
hem_bbox - default_51,201.tiff,20,22,False,0,6,6,8
hem_bbox - default_51,201.tiff,30,22,False,0,6,7,9
hem_bbox - default_51,233.tiff,10,28,True,0,4,6,6
hem_bbox - default_51,233.tiff,20,28,False,1,5,7,8
hem_bbox - default_51,233.tiff,30,28,True,1,6,9,9
hem_bbox - default_51,245.tiff,10,28,True,0,0,1,1
hem_bbox - default_51,245.tiff,20,28,False,0,0,2,4
hem_bbox - default_51,245.tiff,30,28,False,0,2,5,7
hem_bbox - default_51,246.tiff,10,24,True,0,8,10,10
hem_bbox - default_51,246.tiff,20,24,False,0,12,16,17
hem_bbox - default_51,246.tiff,30,24,False,0,15,22,23
hem_bbox - default_51,300.tiff,10,26,False,0,6,8,9
hem_bbox - default_51,300.tiff,20,26,False,0,12,17,19
hem_bbox - default_51,300.tiff,30,26,True,0,19,27,27
hem_bbox - default_51,301.tiff,10,18,True,0,5,8,8
hem_bbox - default_51,301.tiff,20,18,False,0,11,17,18
hem_bbox - default_51,301.tiff,30,18,True,0,18,26,26
hem_bbox - default_51,402.tiff,10,26,False,0,7,7,8
hem_bbox - default_51,402.tiff,20,26,False,0,11,11,14
hem_bbox - default_51,402.tiff,30,26,False,0,14,15,19
hem_bbox - default_51,403.tiff,10,20,False,0,3,4,5
hem_bbox - default_51,403.tiff,20,20,False,0,5,7,10
hem_bbox - default_51,403.tiff,30,20,False,0,8,10,14
hem_bbox - default_51,459.tiff,10,20,True,0,7,9,9
hem_bbox - default_51,459.tiff,20,20,True,0,12,17,17
hem_bbox - default_51,459.tiff,30,20,False,0,18,25,26
hem_bbox - default_51,460.tiff,10,10,True,0,6,7,7
hem_bbox - default_51,460.tiff,20,10,False,0,13,14,16
hem_bbox - default_51,460.tiff,30,10,False,0,14,15,17
hem_bbox - default_51,529.tiff,10,18,False,0,6,6,7
hem_bbox - default_51,529.tiff,20,18,True,0,7,8,8
hem_bbox - default_51,529.tiff,30,18,False,0,8,8,9
hem_bbox - default_51,548.tiff,10,24,False,0,8,8,9
hem_bbox - default_51,548.tiff,20,24,False,0,13,13,15
hem_bbox - default_51,548.tiff,30,24,False,0,18,21,22
hem_bbox - gray_bbox,013.tiff,10,0,True,0,6,6,6
hem_bbox - gray_bbox,013.tiff,20,0,False,0,8,9,8
hem_bbox - gray_bbox,013.tiff,30,0,False,2,9,10,9
hem_bbox - gray_bbox,094.tiff,10,2,True,0,5,5,5
hem_bbox - gray_bbox,094.tiff,20,2,False,0,14,14,15
hem_bbox - gray_bbox,094.tiff,30,2,False,0,18,20,22
hem_bbox - gray_bbox,201.tiff,10,22,True,0,3,4,4
hem_bbox - gray_bbox,201.tiff,20,22,False,0,6,6,8
hem_bbox - gray_bbox,201.tiff,30,22,False,0,6,7,9
hem_bbox - gray_bbox,233.tiff,10,2,False,0,6,6,7
hem_bbox - gray_bbox,233.tiff,20,2,False,0,7,7,8
hem_bbox - gray_bbox,233.tiff,30,2,False,0,9,9,10
hem_bbox - gray_bbox,245.tiff,10,28,True,0,0,1,1
hem_bbox - gray_bbox,245.tiff,20,28,False,0,0,2,4
hem_bbox - gray_bbox,245.tiff,30,28,False,0,2,5,7
hem_bbox - gray_bbox,246.tiff,10,14,True,0,7,10,10
hem_bbox - gray_bbox,246.tiff,20,14,False,0,11,16,14
hem_bbox - gray_bbox,246.tiff,30,14,False,0,14,22,21
hem_bbox - gray_bbox,300.tiff,10,24,False,0,6,8,9
hem_bbox - gray_bbox,300.tiff,20,24,False,0,13,17,19
hem_bbox - gray_bbox,300.tiff,30,24,True,0,20,27,27
hem_bbox - gray_bbox,301.tiff,10,8,True,0,5,8,8
hem_bbox - gray_bbox,301.tiff,20,8,False,0,12,17,18
hem_bbox - gray_bbox,301.tiff,30,8,False,0,21,26,27
hem_bbox - gray_bbox,402.tiff,10,4,True,0,6,7,7
hem_bbox - gray_bbox,402.tiff,20,4,False,0,9,11,12
hem_bbox - gray_bbox,402.tiff,30,4,True,0,13,15,15
hem_bbox - gray_bbox,403.tiff,10,20,False,0,3,4,5
hem_bbox - gray_bbox,403.tiff,20,20,False,0,5,7,10
hem_bbox - gray_bbox,403.tiff,30,20,False,0,8,10,14
hem_bbox - gray_bbox,459.tiff,10,2,True,0,8,9,9
hem_bbox - gray_bbox,459.tiff,20,2,True,0,15,17,17
hem_bbox - gray_bbox,459.tiff,30,2,True,1,21,25,25
hem_bbox - gray_bbox,460.tiff,10,6,True,0,6,7,7
hem_bbox - gray_bbox,460.tiff,20,6,False,0,13,14,16
hem_bbox - gray_bbox,460.tiff,30,6,False,0,14,15,17
hem_bbox - gray_bbox,529.tiff,10,4,True,0,5,6,6
hem_bbox - gray_bbox,529.tiff,20,4,False,0,7,8,7
hem_bbox - gray_bbox,529.tiff,30,4,False,0,7,8,7
hem_bbox - gray_bbox,548.tiff,10,2,True,2,7,8,8
hem_bbox - gray_bbox,548.tiff,20,2,True,6,12,13,13
hem_bbox - gray_bbox,548.tiff,30,2,True,9,20,21,21
