file_name,condition,largest_od_tie_block,base_size,tpl_cx,tpl_cy,round_tpl_equals_round_click,n_above_floor,n_peaks,n_after_nms,n_self_hits,n_detections,top30_identical_to_notebook,top30_shared_coordinates,od_max_abs_diff,full_list_within_r_of_click,t_search_s,tp_at_10_full_list_match,tp_at_10_topk_only_match,tp_at_10_mitotic_only_full,tp_at_10_mitotic_only_topk,tp_at_20_full_list_match,tp_at_20_topk_only_match,tp_at_20_mitotic_only_full,tp_at_20_mitotic_only_topk,tp_at_30_full_list_match,tp_at_30_topk_only_match,tp_at_30_mitotic_only_full,tp_at_30_mitotic_only_topk
013.tiff,default_51,1,51,1710.0,2861.0,True,40290,100,100,1,99,True,30,1.816795419662398e-08,0,6.73,6,6,6,6,8,8,8,8,9,9,9,9
013.tiff,gray_bbox,1,39,1712.0,2859.5,False,59964,100,98,1,97,True,30,1.0545437217901465e-08,0,5.92,6,6,6,6,8,8,8,8,9,9,9,9
013.tiff,hem_bbox,1,39,1711.0,2860.5,False,62536,100,99,1,98,True,30,1.5932779956484566e-08,0,8.76,6,6,6,6,9,9,9,9,10,10,10,10
094.tiff,default_51,1,51,5560.0,1178.0,True,37507,100,100,1,99,True,30,2.1205498634824238e-08,0,8.25,5,5,5,5,15,15,15,15,21,21,21,21
094.tiff,gray_bbox,1,25,5557.5,1178.0,False,65105,100,97,1,96,True,30,1.6849774603366896e-08,0,6.42,5,5,5,5,15,15,15,15,22,22,22,22
094.tiff,hem_bbox,1,23,5557.5,1177.0,False,69995,100,99,1,98,True,30,1.3668949777612127e-08,0,5.62,5,5,5,5,14,14,14,14,20,20,20,20
201.tiff,default_51,1,51,4097.0,1978.0,True,31314,100,99,1,98,True,30,1.8569139281776614e-08,0,4.52,4,4,4,4,8,8,8,8,9,9,9,9
201.tiff,gray_bbox,1,51,4097.0,1977.5,True,31314,100,99,1,98,True,30,1.8569139281776614e-08,0,3.83,4,4,4,4,8,8,8,8,9,9,9,9
201.tiff,hem_bbox,1,29,4092.0,1978.0,False,46192,100,98,1,97,True,30,2.3154112016587902e-08,0,3.45,4,4,4,4,6,6,6,6,7,7,7,7
233.tiff,default_51,1,51,4419.0,2138.0,True,23801,100,100,1,99,True,30,2.590509570743471e-08,0,3.31,6,6,6,6,8,8,8,8,9,9,9,9
233.tiff,gray_bbox,1,25,4418.0,2139.0,False,46860,100,98,1,97,True,30,1.6649182005279428e-08,0,2.72,7,7,7,7,8,8,8,8,10,10,10,10
233.tiff,hem_bbox,1,23,4419.0,2138.0,True,55954,100,97,1,96,True,30,2.2810239058701498e-08,0,2.65,6,6,6,6,7,7,7,7,9,9,9,9
245.tiff,default_51,1,51,4774.0,2184.0,True,60218,100,98,1,97,True,30,8.797416350958542e-09,0,2.77,1,1,1,1,4,4,4,4,7,7,7,7
245.tiff,gray_bbox,1,51,4774.0,2184.0,True,60218,100,98,1,97,True,30,8.797416350958542e-09,0,2.82,1,1,1,1,4,4,4,4,7,7,7,7
245.tiff,hem_bbox,1,23,4769.0,2186.0,False,62302,100,99,1,98,True,30,1.000097174519432e-08,0,2.29,1,1,1,1,2,2,2,2,5,5,5,5
246.tiff,default_51,1,51,3634.0,3621.0,True,42753,100,98,1,97,True,30,1.7537520519139704e-08,0,2.51,10,10,10,10,17,17,17,17,23,23,23,23
246.tiff,gray_bbox,1,41,3627.5,3615.5,False,42028,100,97,1,96,True,30,1.3611637678101474e-08,0,2.28,10,10,10,10,14,14,14,14,21,21,21,21
246.tiff,hem_bbox,1,27,3632.5,3619.0,False,54858,100,95,1,94,True,30,1.071737368296688e-08,0,2.26,10,10,10,10,16,16,16,16,22,22,22,22
300.tiff,default_51,1,51,1411.0,3551.0,True,28971,100,100,1,99,True,30,1.8741075830108755e-08,0,2.32,9,9,9,9,19,19,19,19,27,27,27,27
