file_name,condition,arm,K,tp
013.tiff,default_51,tm_score,10,6
013.tiff,default_51,chromatin_od,10,6
013.tiff,default_51,tm_score,20,7
013.tiff,default_51,chromatin_od,20,8
013.tiff,default_51,tm_score,30,7
013.tiff,default_51,chromatin_od,30,9
013.tiff,default_51,tm_score,50,7
013.tiff,default_51,chromatin_od,50,9
013.tiff,gray_bbox,tm_score,10,6
013.tiff,gray_bbox,chromatin_od,10,6
013.tiff,gray_bbox,tm_score,20,6
013.tiff,gray_bbox,chromatin_od,20,8
013.tiff,gray_bbox,tm_score,30,7
013.tiff,gray_bbox,chromatin_od,30,9
013.tiff,gray_bbox,tm_score,50,7
013.tiff,gray_bbox,chromatin_od,50,9
013.tiff,hem_bbox,tm_score,10,6
013.tiff,hem_bbox,chromatin_od,10,6
013.tiff,hem_bbox,tm_score,20,6
013.tiff,hem_bbox,chromatin_od,20,9
013.tiff,hem_bbox,tm_score,30,7
013.tiff,hem_bbox,chromatin_od,30,10
013.tiff,hem_bbox,tm_score,50,7
013.tiff,hem_bbox,chromatin_od,50,10
094.tiff,default_51,tm_score,10,5
094.tiff,default_51,chromatin_od,10,5
094.tiff,default_51,tm_score,20,13
094.tiff,default_51,chromatin_od,20,15
094.tiff,default_51,tm_score,30,20
094.tiff,default_51,chromatin_od,30,21
094.tiff,default_51,tm_score,50,32
094.tiff,default_51,chromatin_od,50,34
094.tiff,gray_bbox,tm_score,10,4
094.tiff,gray_bbox,chromatin_od,10,5
094.tiff,gray_bbox,tm_score,20,10
094.tiff,gray_bbox,chromatin_od,20,15
094.tiff,gray_bbox,tm_score,30,16
094.tiff,gray_bbox,chromatin_od,30,22
094.tiff,gray_bbox,tm_score,50,22
094.tiff,gray_bbox,chromatin_od,50,27
094.tiff,hem_bbox,tm_score,10,5
094.tiff,hem_bbox,chromatin_od,10,5
094.tiff,hem_bbox,tm_score,20,9
094.tiff,hem_bbox,chromatin_od,20,14
094.tiff,hem_bbox,tm_score,30,15
094.tiff,hem_bbox,chromatin_od,30,20
094.tiff,hem_bbox,tm_score,50,21
094.tiff,hem_bbox,chromatin_od,50,24
201.tiff,default_51,tm_score,10,3
201.tiff,default_51,chromatin_od,10,4
201.tiff,default_51,tm_score,20,5
201.tiff,default_51,chromatin_od,20,8
201.tiff,default_51,tm_score,30,6
201.tiff,default_51,chromatin_od,30,9
201.tiff,default_51,tm_score,50,11
201.tiff,default_51,chromatin_od,50,11
201.tiff,gray_bbox,tm_score,10,3
201.tiff,gray_bbox,chromatin_od,10,4
201.tiff,gray_bbox,tm_score,20,5
201.tiff,gray_bbox,chromatin_od,20,8
201.tiff,gray_bbox,tm_score,30,6
201.tiff,gray_bbox,chromatin_od,30,9
201.tiff,gray_bbox,tm_score,50,11
201.tiff,gray_bbox,chromatin_od,50,11
201.tiff,hem_bbox,tm_score,10,4
201.tiff,hem_bbox,chromatin_od,10,4
201.tiff,hem_bbox,tm_score,20,5
201.tiff,hem_bbox,chromatin_od,20,6
201.tiff,hem_bbox,tm_score,30,5
201.tiff,hem_bbox,chromatin_od,30,7
201.tiff,hem_bbox,tm_score,50,6
201.tiff,hem_bbox,chromatin_od,50,7
233.tiff,default_51,tm_score,10,8
233.tiff,default_51,chromatin_od,10,6
233.tiff,default_51,tm_score,20,10
233.tiff,default_51,chromatin_od,20,8
233.tiff,default_51,tm_score,30,10
233.tiff,default_51,chromatin_od,30,9
233.tiff,default_51,tm_score,50,10
233.tiff,default_51,chromatin_od,50,11
233.tiff,gray_bbox,tm_score,10,3
233.tiff,gray_bbox,chromatin_od,10,7
233.tiff,gray_bbox,tm_score,20,5
233.tiff,gray_bbox,chromatin_od,20,8
233.tiff,gray_bbox,tm_score,30,8
233.tiff,gray_bbox,chromatin_od,30,10
233.tiff,gray_bbox,tm_score,50,8
233.tiff,gray_bbox,chromatin_od,50,10
233.tiff,hem_bbox,tm_score,10,4
233.tiff,hem_bbox,chromatin_od,10,6
233.tiff,hem_bbox,tm_score,20,6
233.tiff,hem_bbox,chromatin_od,20,7
233.tiff,hem_bbox,tm_score,30,7
233.tiff,hem_bbox,chromatin_od,30,9
233.tiff,hem_bbox,tm_score,50,7
233.tiff,hem_bbox,chromatin_od,50,9
245.tiff,default_51,tm_score,10,1
245.tiff,default_51,chromatin_od,10,1
245.tiff,default_51,tm_score,20,2
245.tiff,default_51,chromatin_od,20,4
245.tiff,default_51,tm_score,30,3
245.tiff,default_51,chromatin_od,30,7
245.tiff,default_51,tm_score,50,6
245.tiff,default_51,chromatin_od,50,8
245.tiff,gray_bbox,tm_score,10,1
245.tiff,gray_bbox,chromatin_od,10,1
245.tiff,gray_bbox,tm_score,20,2
245.tiff,gray_bbox,chromatin_od,20,4
245.tiff,gray_bbox,tm_score,30,3
245.tiff,gray_bbox,chromatin_od,30,7
245.tiff,gray_bbox,tm_score,50,6
245.tiff,gray_bbox,chromatin_od,50,8
245.tiff,hem_bbox,tm_score,10,3
245.tiff,hem_bbox,chromatin_od,10,1
245.tiff,hem_bbox,tm_score,20,7
245.tiff,hem_bbox,chromatin_od,20,2
245.tiff,hem_bbox,tm_score,30,9
245.tiff,hem_bbox,chromatin_od,30,5
245.tiff,hem_bbox,tm_score,50,12
245.tiff,hem_bbox,chromatin_od,50,12
246.tiff,default_51,tm_score,10,9
246.tiff,default_51,chromatin_od,10,10
246.tiff,default_51,tm_score,20,17
246.tiff,default_51,chromatin_od,20,17
246.tiff,default_51,tm_score,30,22
246.tiff,default_51,chromatin_od,30,23
246.tiff,default_51,tm_score,50,30
246.tiff,default_51,chromatin_od,50,35
246.tiff,gray_bbox,tm_score,10,10
246.tiff,gray_bbox,chromatin_od,10,10
246.tiff,gray_bbox,tm_score,20,18
246.tiff,gray_bbox,chromatin_od,20,14
246.tiff,gray_bbox,tm_score,30,24
246.tiff,gray_bbox,chromatin_od,30,21
246.tiff,gray_bbox,tm_score,50,31
246.tiff,gray_bbox,chromatin_od,50,33
246.tiff,hem_bbox,tm_score,10,8
246.tiff,hem_bbox,chromatin_od,10,10
246.tiff,hem_bbox,tm_score,20,14
246.tiff,hem_bbox,chromatin_od,20,16
246.tiff,hem_bbox,tm_score,30,16
246.tiff,hem_bbox,chromatin_od,30,22
246.tiff,hem_bbox,tm_score,50,22
246.tiff,hem_bbox,chromatin_od,50,29
300.tiff,default_51,tm_score,10,9
300.tiff,default_51,chromatin_od,10,9
300.tiff,default_51,tm_score,20,17
300.tiff,default_51,chromatin_od,20,19
300.tiff,default_51,tm_score,30,25
300.tiff,default_51,chromatin_od,30,27
300.tiff,default_51,tm_score,50,42
300.tiff,default_51,chromatin_od,50,46
300.tiff,gray_bbox,tm_score,10,9
300.tiff,gray_bbox,chromatin_od,10,9
300.tiff,gray_bbox,tm_score,20,17
300.tiff,gray_bbox,chromatin_od,20,19
300.tiff,gray_bbox,tm_score,30,25
300.tiff,gray_bbox,chromatin_od,30,27
300.tiff,gray_bbox,tm_score,50,43
300.tiff,gray_bbox,chromatin_od,50,46
300.tiff,hem_bbox,tm_score,10,10
300.tiff,hem_bbox,chromatin_od,10,8
300.tiff,hem_bbox,tm_score,20,16
300.tiff,hem_bbox,chromatin_od,20,17
300.tiff,hem_bbox,tm_score,30,23
300.tiff,hem_bbox,chromatin_od,30,27
300.tiff,hem_bbox,tm_score,50,34
300.tiff,hem_bbox,chromatin_od,50,40
301.tiff,default_51,tm_score,10,7
301.tiff,default_51,chromatin_od,10,8
301.tiff,default_51,tm_score,20,13
301.tiff,default_51,chromatin_od,20,18
301.tiff,default_51,tm_score,30,20
301.tiff,default_51,chromatin_od,30,26
301.tiff,default_51,tm_score,50,32
301.tiff,default_51,chromatin_od,50,40
301.tiff,gray_bbox,tm_score,10,9
301.tiff,gray_bbox,chromatin_od,10,8
301.tiff,gray_bbox,tm_score,20,18
301.tiff,gray_bbox,chromatin_od,20,18
301.tiff,gray_bbox,tm_score,30,24
301.tiff,gray_bbox,chromatin_od,30,27
301.tiff,gray_bbox,tm_score,50,37
301.tiff,gray_bbox,chromatin_od,50,41
301.tiff,hem_bbox,tm_score,10,9
301.tiff,hem_bbox,chromatin_od,10,8
301.tiff,hem_bbox,tm_score,20,18
301.tiff,hem_bbox,chromatin_od,20,17
301.tiff,hem_bbox,tm_score,30,26
301.tiff,hem_bbox,chromatin_od,30,26
301.tiff,hem_bbox,tm_score,50,41
301.tiff,hem_bbox,chromatin_od,50,41
402.tiff,default_51,tm_score,10,6
402.tiff,default_51,chromatin_od,10,8
402.tiff,default_51,tm_score,20,14
402.tiff,default_51,chromatin_od,20,14
402.tiff,default_51,tm_score,30,19
402.tiff,default_51,chromatin_od,30,19
402.tiff,default_51,tm_score,50,33
402.tiff,default_51,chromatin_od,50,31
402.tiff,gray_bbox,tm_score,10,4
402.tiff,gray_bbox,chromatin_od,10,7
402.tiff,gray_bbox,tm_score,20,9
402.tiff,gray_bbox,chromatin_od,20,12
402.tiff,gray_bbox,tm_score,30,14
402.tiff,gray_bbox,chromatin_od,30,15
402.tiff,gray_bbox,tm_score,50,22
402.tiff,gray_bbox,chromatin_od,50,25
402.tiff,hem_bbox,tm_score,10,3
402.tiff,hem_bbox,chromatin_od,10,7
402.tiff,hem_bbox,tm_score,20,7
402.tiff,hem_bbox,chromatin_od,20,11
402.tiff,hem_bbox,tm_score,30,9
402.tiff,hem_bbox,chromatin_od,30,15
402.tiff,hem_bbox,tm_score,50,18
402.tiff,hem_bbox,chromatin_od,50,27
403.tiff,default_51,tm_score,10,4
403.tiff,default_51,chromatin_od,10,5
403.tiff,default_51,tm_score,20,7
403.tiff,default_51,chromatin_od,20,10
403.tiff,default_51,tm_score,30,9
403.tiff,default_51,chromatin_od,30,14
403.tiff,default_51,tm_score,50,15
403.tiff,default_51,chromatin_od,50,17
403.tiff,gray_bbox,tm_score,10,5
403.tiff,gray_bbox,chromatin_od,10,5
403.tiff,gray_bbox,tm_score,20,7
403.tiff,gray_bbox,chromatin_od,20,10
403.tiff,gray_bbox,tm_score,30,8
403.tiff,gray_bbox,chromatin_od,30,14
403.tiff,gray_bbox,tm_score,50,15
403.tiff,gray_bbox,chromatin_od,50,17
403.tiff,hem_bbox,tm_score,10,4
403.tiff,hem_bbox,chromatin_od,10,4
403.tiff,hem_bbox,tm_score,20,5
403.tiff,hem_bbox,chromatin_od,20,7
403.tiff,hem_bbox,tm_score,30,8
403.tiff,hem_bbox,chromatin_od,30,10
403.tiff,hem_bbox,tm_score,50,14
403.tiff,hem_bbox,chromatin_od,50,13
459.tiff,default_51,tm_score,10,9
459.tiff,default_51,chromatin_od,10,9
459.tiff,default_51,tm_score,20,19
459.tiff,default_51,chromatin_od,20,17
459.tiff,default_51,tm_score,30,27
459.tiff,default_51,chromatin_od,30,26
459.tiff,default_51,tm_score,50,41
459.tiff,default_51,chromatin_od,50,44
459.tiff,gray_bbox,tm_score,10,6
459.tiff,gray_bbox,chromatin_od,10,9
459.tiff,gray_bbox,tm_score,20,11
459.tiff,gray_bbox,chromatin_od,20,17
459.tiff,gray_bbox,tm_score,30,19
459.tiff,gray_bbox,chromatin_od,30,25
459.tiff,gray_bbox,tm_score,50,26
459.tiff,gray_bbox,chromatin_od,50,35
459.tiff,hem_bbox,tm_score,10,4
459.tiff,hem_bbox,chromatin_od,10,9
459.tiff,hem_bbox,tm_score,20,9
459.tiff,hem_bbox,chromatin_od,20,17
459.tiff,hem_bbox,tm_score,30,15
459.tiff,hem_bbox,chromatin_od,30,25
459.tiff,hem_bbox,tm_score,50,23
459.tiff,hem_bbox,chromatin_od,50,31
460.tiff,default_51,tm_score,10,7
460.tiff,default_51,chromatin_od,10,7
460.tiff,default_51,tm_score,20,11
460.tiff,default_51,chromatin_od,20,16
460.tiff,default_51,tm_score,30,14
460.tiff,default_51,chromatin_od,30,17
460.tiff,default_51,tm_score,50,17
460.tiff,default_51,chromatin_od,50,19
460.tiff,gray_bbox,tm_score,10,7
460.tiff,gray_bbox,chromatin_od,10,7
460.tiff,gray_bbox,tm_score,20,10
460.tiff,gray_bbox,chromatin_od,20,16
460.tiff,gray_bbox,tm_score,30,12
460.tiff,gray_bbox,chromatin_od,30,17
460.tiff,gray_bbox,tm_score,50,15
460.tiff,gray_bbox,chromatin_od,50,20
460.tiff,hem_bbox,tm_score,10,7
460.tiff,hem_bbox,chromatin_od,10,7
460.tiff,hem_bbox,tm_score,20,9
460.tiff,hem_bbox,chromatin_od,20,14
460.tiff,hem_bbox,tm_score,30,11
460.tiff,hem_bbox,chromatin_od,30,15
460.tiff,hem_bbox,tm_score,50,13
460.tiff,hem_bbox,chromatin_od,50,16
529.tiff,default_51,tm_score,10,4
529.tiff,default_51,chromatin_od,10,7
529.tiff,default_51,tm_score,20,6
529.tiff,default_51,chromatin_od,20,8
529.tiff,default_51,tm_score,30,8
529.tiff,default_51,chromatin_od,30,9
529.tiff,default_51,tm_score,50,9
529.tiff,default_51,chromatin_od,50,9
529.tiff,gray_bbox,tm_score,10,3
529.tiff,gray_bbox,chromatin_od,10,6
529.tiff,gray_bbox,tm_score,20,4
529.tiff,gray_bbox,chromatin_od,20,7
529.tiff,gray_bbox,tm_score,30,4
529.tiff,gray_bbox,chromatin_od,30,7
529.tiff,gray_bbox,tm_score,50,6
529.tiff,gray_bbox,chromatin_od,50,7
529.tiff,hem_bbox,tm_score,10,2
529.tiff,hem_bbox,chromatin_od,10,6
529.tiff,hem_bbox,tm_score,20,4
529.tiff,hem_bbox,chromatin_od,20,8
529.tiff,hem_bbox,tm_score,30,5
529.tiff,hem_bbox,chromatin_od,30,8
529.tiff,hem_bbox,tm_score,50,6
529.tiff,hem_bbox,chromatin_od,50,8
548.tiff,default_51,tm_score,10,10
548.tiff,default_51,chromatin_od,10,9
548.tiff,default_51,tm_score,20,18
548.tiff,default_51,chromatin_od,20,15
548.tiff,default_51,tm_score,30,25
548.tiff,default_51,chromatin_od,30,22
548.tiff,default_51,tm_score,50,40
548.tiff,default_51,chromatin_od,50,36
548.tiff,gray_bbox,tm_score,10,5
548.tiff,gray_bbox,chromatin_od,10,8
548.tiff,gray_bbox,tm_score,20,10
548.tiff,gray_bbox,chromatin_od,20,13
548.tiff,gray_bbox,tm_score,30,16
548.tiff,gray_bbox,chromatin_od,30,21
548.tiff,gray_bbox,tm_score,50,28
548.tiff,gray_bbox,chromatin_od,50,36
548.tiff,hem_bbox,tm_score,10,4
548.tiff,hem_bbox,chromatin_od,10,8
548.tiff,hem_bbox,tm_score,20,9
548.tiff,hem_bbox,chromatin_od,20,13
548.tiff,hem_bbox,tm_score,30,15
548.tiff,hem_bbox,chromatin_od,30,21
548.tiff,hem_bbox,tm_score,50,30
548.tiff,hem_bbox,chromatin_od,50,35
