file_name,condition,K,any_mitosis_within_radius,contested_mitoses_dropped,mitotic_only_greedy,mitotic_only_max_matching,radius_minus_1px,radius_plus_1px,repo_mixed_greedy,repo_tp_on_contested_mitoses,strict_less_than,topk_only_repo_greedy,diff_any_mitosis_within_radius,diff_contested_mitoses_dropped,diff_mitotic_only_greedy,diff_mitotic_only_max_matching,diff_radius_minus_1px,diff_radius_plus_1px,diff_repo_tp_on_contested_mitoses,diff_strict_less_than,diff_topk_only_repo_greedy
013.tiff,default_51,10,6.0,3.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
013.tiff,default_51,20,8.0,4.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,0.0,-4.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0
013.tiff,default_51,30,9.0,5.0,9.0,9.0,9.0,9.0,9.0,4.0,9.0,9.0,0.0,-4.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0
013.tiff,gray_bbox,10,6.0,3.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
013.tiff,gray_bbox,20,8.0,4.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,0.0,-4.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0
013.tiff,gray_bbox,30,9.0,5.0,9.0,9.0,9.0,9.0,9.0,4.0,9.0,9.0,0.0,-4.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0
013.tiff,hem_bbox,10,6.0,3.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
013.tiff,hem_bbox,20,9.0,5.0,9.0,9.0,9.0,9.0,9.0,4.0,9.0,9.0,0.0,-4.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0
013.tiff,hem_bbox,30,10.0,6.0,10.0,10.0,10.0,10.0,10.0,4.0,10.0,10.0,0.0,-4.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0
094.tiff,default_51,10,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
094.tiff,default_51,20,15.0,5.0,15.0,15.0,15.0,15.0,15.0,10.0,15.0,15.0,0.0,-10.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0
094.tiff,default_51,30,21.0,8.0,21.0,21.0,21.0,21.0,21.0,13.0,21.0,21.0,0.0,-13.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0
094.tiff,gray_bbox,10,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
094.tiff,gray_bbox,20,15.0,5.0,15.0,15.0,15.0,15.0,15.0,10.0,15.0,15.0,0.0,-10.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0
094.tiff,gray_bbox,30,22.0,9.0,22.0,22.0,22.0,22.0,22.0,13.0,22.0,22.0,0.0,-13.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0
094.tiff,hem_bbox,10,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
094.tiff,hem_bbox,20,14.0,5.0,14.0,14.0,14.0,14.0,14.0,9.0,14.0,14.0,0.0,-9.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0
094.tiff,hem_bbox,30,20.0,8.0,20.0,20.0,20.0,20.0,20.0,12.0,20.0,20.0,0.0,-12.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0
201.tiff,default_51,10,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,-3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
201.tiff,default_51,20,8.0,3.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,0.0,-5.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
201.tiff,default_51,30,9.0,4.0,9.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,0.0,-5.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0
201.tiff,gray_bbox,10,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,-3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
201.tiff,gray_bbox,20,8.0,3.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,0.0,-5.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
201.tiff,gray_bbox,30,9.0,4.0,9.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,0.0,-5.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0
201.tiff,hem_bbox,10,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
201.tiff,hem_bbox,20,6.0,3.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
201.tiff,hem_bbox,30,7.0,3.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,0.0,-4.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
233.tiff,default_51,10,6.0,5.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0
233.tiff,default_51,20,8.0,7.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,0.0,-1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0
233.tiff,default_51,30,9.0,7.0,9.0,9.0,9.0,9.0,9.0,2.0,9.0,9.0,0.0,-2.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0
