file_name,arm,n_pool,radius,coverage_frac,n_captured,n_gt,dist_median,dist_p90,dist_max,frac_beyond_80pct_radius
301.tiff,connected_components,20370,29.6,0.9359,218,218,4.1,15.7,29.3,0.018
301.tiff,watershed,37763,29.6,0.9841,218,218,4.4,14.9,29.3,0.014
300.tiff,connected_components,17376,29.6,0.8896,181,181,2.9,12.2,29.2,0.011
300.tiff,watershed,32313,29.6,0.9299,181,181,3.4,10.2,29.2,0.011
246.tiff,connected_components,21059,30.2,0.9166,112,116,3.2,15.4,28.2,0.036
246.tiff,watershed,57156,30.2,0.994,116,116,4.0,10.9,24.5,0.009
245.tiff,connected_components,34910,30.2,0.9924,90,90,3.0,23.9,30.1,0.089
245.tiff,watershed,60609,30.2,0.9977,90,90,3.4,15.6,30.1,0.056
201.tiff,connected_components,12446,30.2,0.7577,16,18,3.4,18.7,28.4,0.062
201.tiff,watershed,40829,30.2,0.9514,18,18,3.1,8.2,9.2,0.0
202.tiff,connected_components,13440,30.2,0.7537,16,16,2.5,14.0,23.1,0.0
202.tiff,watershed,30287,30.2,0.8621,16,16,2.0,4.2,23.8,0.0
405.tiff,connected_components,7577,30.2,0.5581,14,14,5.0,20.5,25.4,0.071
405.tiff,watershed,12611,30.2,0.6534,14,14,3.6,13.4,28.9,0.071
