source,column,n_compared,n_divergent,divergent_rois
timing,tumor_type,14,0,
timing,base_size,14,0,
timing,n_retries,14,0,
timing,seed_ann_id,14,0,
timing,map_median,14,0,
timing,mad_scale,14,0,
timing,n_peaks,14,0,
timing,n_detections,14,0,
timing,roi_pixels,14,0,
timing,chromatin_od_nan_rate,14,0,
timing,chromatin_od_largest_tie_block,14,0,
precision,tumor_type,84,0,
precision,n_detections,84,0,
precision,n_gt_mitotic,84,0,
precision,budget_delivered,84,0,
precision,tp_at_budget,84,0,
precision,precision_at_budget,84,0,
precision,recall_at_budget,84,0,
