file_name,precision_delta_K10,recall_delta_K10,precision_delta_K20,recall_delta_K20,precision_delta_K30,recall_delta_K30,tumor_type
013.tiff,0.1,0.0588235294117647,0.12000000000000002,0.1411764705882353,0.07999999999999999,0.1411764705882353,human breast cancer
094.tiff,-0.07999999999999999,-0.00987654320987658,0.05999999999999996,0.014814814814814841,0.013333333333333308,0.004938271604938283,human breast cancer
201.tiff,0.12000000000000002,0.07058823529411763,0.16,0.18823529411764706,0.12666666666666665,0.2235294117647059,canine lung cancer
233.tiff,0.24,0.1411764705882353,0.10000000000000002,0.1176470588235294,0.04666666666666669,0.08235294117647064,canine lung cancer
245.tiff,-0.04,-0.00449438202247188,0.019999999999999997,0.004494382022471917,0.013333333333333313,0.004494382022471882,canine lymphosarcoma
246.tiff,0.059999999999999984,0.005217391304347824,-0.040000000000000015,-0.006956521739130439,-0.053333333333333385,-0.013913043478260834,canine lymphosarcoma
300.tiff,0.14,0.0077777777777778,0.14999999999999997,0.016666666666666705,0.18,0.029999999999999992,canine cutaneous mast cell tumor
301.tiff,-0.09999999999999998,-0.00460829493087554,-0.019999999999999997,-0.0018433179723502196,0.06000000000000001,0.00829493087557602,canine cutaneous mast cell tumor
402.tiff,0.1,0.00961538461538464,0.04999999999999997,0.00961538461538462,-0.006666666666666687,-0.0019230769230769219,human neuroendocrine tumor
403.tiff,0.07999999999999999,0.01538461538461538,0.14000000000000004,0.053846153846153856,0.16666666666666669,0.09615384615384619,human neuroendocrine tumor
459.tiff,0.16,0.012307692307692322,0.11999999999999997,0.018461538461538432,0.15333333333333338,0.03538461538461539,canine soft tissue sarcoma
460.tiff,0.22000000000000003,0.0628571428571428,0.25,0.14285714285714285,0.14666666666666667,0.12571428571428572,canine soft tissue sarcoma
529.tiff,0.2,0.10526315789473684,0.16,0.16842105263157897,0.07333333333333336,0.11578947368421055,human melanoma
548.tiff,0.14,0.005882352941176462,-0.07000000000000003,-0.0058823529411764445,0.019999999999999973,0.002521008403361319,human melanoma
