stage,predictor,spearman_rho,p
total overhead,n_detections,-0.037879733824351086,0.755549836520228
total overhead,roi_pixels,0.6956220349277143,2.3364860395467256e-11
total overhead,order,0.34927827836584724,0.003040637280381427
total overhead,base_size,-0.1037453177383216,0.3927303747571529
t6a pad,n_detections,-0.04002558056031191,0.7421706574529713
t6a pad,roi_pixels,0.728124479828513,9.176531945841164e-13
t6a pad,order,0.3284955690403807,0.00549640910953974
t6a pad,base_size,-0.11488959963343282,0.3436038488022993
t6b od51 loop,n_detections,0.13723966390812017,0.2572456810714172
t6b od51 loop,roi_pixels,0.16856753673531044,0.16303160697108288
t6b od51 loop,order,0.4695127285451841,4.126142553101936e-05
t6b od51 loop,base_size,-0.026729758955012835,0.8261439958581666
t6c rank,n_detections,0.1905341471605115,0.11412264453647311
t6c rank,roi_pixels,0.18549708061587522,0.12419247425949327
t6c rank,order,0.47531804409958195,3.209994836596929e-05
t6c rank,base_size,-0.041713784221813446,0.7316979017950143
