file_name,budget,tp_unbounded_od51,tp_capped_od51,delta
013.tiff,10,5,6,1
094.tiff,10,5,5,0
201.tiff,10,3,4,1
233.tiff,10,5,7,2
245.tiff,10,2,2,0
246.tiff,10,10,10,0
300.tiff,10,9,9,0
301.tiff,10,6,8,2
402.tiff,10,7,7,0
403.tiff,10,5,5,0
459.tiff,10,9,9,0
460.tiff,10,7,7,0
529.tiff,10,6,6,0
548.tiff,10,8,8,0
013.tiff,20,9,9,0
094.tiff,20,15,15,0
201.tiff,20,6,8,2
233.tiff,20,9,8,-1
245.tiff,20,3,2,-1
246.tiff,20,19,14,-5
300.tiff,20,18,18,0
301.tiff,20,15,18,3
402.tiff,20,11,12,1
403.tiff,20,12,10,-2
459.tiff,20,17,17,0
460.tiff,20,12,16,4
529.tiff,20,9,7,-2
548.tiff,20,16,13,-3
013.tiff,30,12,9,-3
094.tiff,30,20,22,2
201.tiff,30,9,9,0
233.tiff,30,10,10,0
245.tiff,30,6,2,-4
246.tiff,30,22,21,-1
300.tiff,30,27,26,-1
301.tiff,30,25,27,2
402.tiff,30,16,15,-1
403.tiff,30,14,14,0
459.tiff,30,25,25,0
460.tiff,30,16,17,1
529.tiff,30,11,7,-4
548.tiff,30,22,21,-1
