check,observed,expected,pass
precision rows,84.0,84.0,True
precision unique ROIs,14.0,14.0,True
precision unique branches,2.0,2.0,True
precision unique budgets,3.0,3.0,True
"precision duplicate (roi,branch,budget) keys",0.0,0.0,True
precision fully duplicate rows,0.0,0.0,True
precision NaN cells,0.0,0.0,True
timing rows,14.0,14.0,True
timing duplicate file_name,0.0,0.0,True
tumour domains in precision,7.0,7.0,True
ROIs per domain (min),2.0,2.0,True
ROIs per domain (max),2.0,2.0,True
rows with budget_delivered != budget,0.0,0.0,True
rows where tp > budget_delivered,0.0,0.0,True
timing n_peaks != 100 (cap must bind pre-NMS),0.0,0.0,True
timing n_detections outside 89-99,0.0,0.0,True
od51 nan_rate != 0,0.0,0.0,True
od51 largest_tie_block != 1,0.0,0.0,True
max |precision - tp/delivered| < 1e-12,1.0,1.0,True
max |recall - tp/n_gt| < 1e-12,1.0,1.0,True
