file_name,tumor_type,budget,budget_delivered_baseline,budget_delivered_variant,precision_at_budget_baseline,precision_at_budget_variant,tp_at_budget_baseline,tp_at_budget_variant,d_precision,d_tp
013.tiff,human breast cancer,10,10.0,10.0,0.3,0.6,3.0,6.0,0.3,3.0
094.tiff,human breast cancer,10,10.0,10.0,0.4,0.5,4.0,5.0,0.09999999999999998,1.0
201.tiff,canine lung cancer,10,10.0,10.0,0.3,0.4,3.0,4.0,0.10000000000000003,1.0
233.tiff,canine lung cancer,10,10.0,10.0,0.3,0.7,3.0,7.0,0.39999999999999997,4.0
245.tiff,canine lymphosarcoma,10,10.0,10.0,0.1,0.2,1.0,2.0,0.1,1.0
246.tiff,canine lymphosarcoma,10,10.0,10.0,1.0,1.0,10.0,10.0,0.0,0.0
300.tiff,canine cutaneous mast cell tumor,10,10.0,10.0,0.7,0.9,7.0,9.0,0.20000000000000007,2.0
301.tiff,canine cutaneous mast cell tumor,10,10.0,10.0,0.9,0.8,9.0,8.0,-0.09999999999999998,-1.0
402.tiff,human neuroendocrine tumor,10,10.0,10.0,0.4,0.7,4.0,7.0,0.29999999999999993,3.0
403.tiff,human neuroendocrine tumor,10,10.0,10.0,0.5,0.5,5.0,5.0,0.0,0.0
459.tiff,canine soft tissue sarcoma,10,10.0,10.0,0.6,0.9,6.0,9.0,0.30000000000000004,3.0
460.tiff,canine soft tissue sarcoma,10,10.0,10.0,0.7,0.7,7.0,7.0,0.0,0.0
529.tiff,human melanoma,10,10.0,10.0,0.3,0.6,3.0,6.0,0.3,3.0
548.tiff,human melanoma,10,10.0,10.0,0.5,0.8,5.0,8.0,0.30000000000000004,3.0
013.tiff,human breast cancer,20,20.0,20.0,0.2,0.45,4.0,9.0,0.25,5.0
094.tiff,human breast cancer,20,20.0,20.0,0.5,0.75,10.0,15.0,0.25,5.0
201.tiff,canine lung cancer,20,20.0,20.0,0.25,0.4,5.0,8.0,0.15000000000000002,3.0
233.tiff,canine lung cancer,20,20.0,20.0,0.25,0.4,5.0,8.0,0.15000000000000002,3.0
245.tiff,canine lymphosarcoma,20,20.0,20.0,0.1,0.1,2.0,2.0,0.0,0.0
246.tiff,canine lymphosarcoma,20,20.0,20.0,0.9,0.7,18.0,14.0,-0.20000000000000007,-4.0
300.tiff,canine cutaneous mast cell tumor,20,20.0,20.0,0.7,0.9,14.0,18.0,0.20000000000000007,4.0
301.tiff,canine cutaneous mast cell tumor,20,20.0,20.0,0.9,0.9,18.0,18.0,0.0,0.0
402.tiff,human neuroendocrine tumor,20,20.0,20.0,0.45,0.6,9.0,12.0,0.14999999999999997,3.0
403.tiff,human neuroendocrine tumor,20,20.0,20.0,0.35,0.5,7.0,10.0,0.15000000000000002,3.0
459.tiff,canine soft tissue sarcoma,20,20.0,20.0,0.55,0.85,11.0,17.0,0.29999999999999993,6.0
460.tiff,canine soft tissue sarcoma,20,20.0,20.0,0.5,0.8,10.0,16.0,0.30000000000000004,6.0
529.tiff,human melanoma,20,20.0,20.0,0.2,0.35,4.0,7.0,0.14999999999999997,3.0
548.tiff,human melanoma,20,20.0,20.0,0.5,0.65,10.0,13.0,0.15000000000000002,3.0
013.tiff,human breast cancer,30,30.0,30.0,0.2,0.3,6.0,9.0,0.09999999999999998,3.0
094.tiff,human breast cancer,30,30.0,30.0,0.5333333333333333,0.7333333333333333,16.0,22.0,0.19999999999999996,6.0
201.tiff,canine lung cancer,30,30.0,30.0,0.2,0.3,6.0,9.0,0.09999999999999998,3.0
233.tiff,canine lung cancer,30,30.0,30.0,0.2666666666666666,0.3333333333333333,8.0,10.0,0.06666666666666671,2.0
245.tiff,canine lymphosarcoma,30,30.0,30.0,0.1,0.0666666666666666,3.0,2.0,-0.03333333333333341,-1.0
246.tiff,canine lymphosarcoma,30,30.0,30.0,0.8,0.7,24.0,21.0,-0.10000000000000009,-3.0
300.tiff,canine cutaneous mast cell tumor,30,30.0,30.0,0.6666666666666666,0.8666666666666667,20.0,26.0,0.20000000000000007,6.0
301.tiff,canine cutaneous mast cell tumor,30,30.0,30.0,0.8,0.9,24.0,27.0,0.09999999999999998,3.0
402.tiff,human neuroendocrine tumor,30,30.0,30.0,0.4666666666666667,0.5,14.0,15.0,0.033333333333333326,1.0
403.tiff,human neuroendocrine tumor,30,30.0,30.0,0.2666666666666666,0.4666666666666667,8.0,14.0,0.20000000000000007,6.0
459.tiff,canine soft tissue sarcoma,30,30.0,30.0,0.6333333333333333,0.8333333333333334,19.0,25.0,0.20000000000000007,6.0
460.tiff,canine soft tissue sarcoma,30,30.0,30.0,0.4,0.5666666666666667,12.0,17.0,0.16666666666666663,5.0
529.tiff,human melanoma,30,30.0,30.0,0.1333333333333333,0.2333333333333333,4.0,7.0,0.1,3.0
548.tiff,human melanoma,30,30.0,30.0,0.5333333333333333,0.7,16.0,21.0,0.16666666666666663,5.0
