file_name,column,this,oracle,equal
013.tiff,seed_ann_id,254.0,254.0,True
013.tiff,base_size,31.0,31.0,True
013.tiff,n_detections,97.0,97.0,True
013.tiff,map_median,-0.00395,-0.00395,True
013.tiff,mad_scale,0.10799,0.10799,True
013.tiff,tp_at_10,3.0,3.0,True
013.tiff,tp_at_20,4.0,4.0,True
013.tiff,tp_at_30,6.0,6.0,True
094.tiff,seed_ann_id,2512.0,2512.0,True
094.tiff,base_size,25.0,25.0,True
094.tiff,n_detections,96.0,96.0,True
094.tiff,map_median,-0.00341,-0.00341,True
094.tiff,mad_scale,0.04558,0.04558,True
094.tiff,tp_at_10,4.0,4.0,True
094.tiff,tp_at_20,10.0,10.0,True
094.tiff,tp_at_30,16.0,16.0,True
201.tiff,seed_ann_id,4457.0,4457.0,True
201.tiff,base_size,51.0,51.0,True
201.tiff,n_detections,98.0,98.0,True
201.tiff,map_median,-0.02843,-0.02843,True
201.tiff,mad_scale,0.6123,0.6123,True
201.tiff,tp_at_10,3.0,3.0,True
201.tiff,tp_at_20,5.0,5.0,True
201.tiff,tp_at_30,6.0,6.0,True
233.tiff,seed_ann_id,5761.0,5761.0,True
233.tiff,base_size,25.0,25.0,True
233.tiff,n_detections,97.0,97.0,True
233.tiff,map_median,-0.01397,-0.01397,True
233.tiff,mad_scale,0.1566,0.1566,True
233.tiff,tp_at_10,3.0,3.0,True
233.tiff,tp_at_20,5.0,5.0,True
233.tiff,tp_at_30,8.0,8.0,True
245.tiff,seed_ann_id,6274.0,6274.0,True
245.tiff,base_size,47.0,47.0,True
245.tiff,n_detections,89.0,89.0,True
245.tiff,map_median,-0.00741,-0.00741,True
245.tiff,mad_scale,0.21427,0.21427,True
245.tiff,tp_at_10,1.0,1.0,True
245.tiff,tp_at_20,2.0,2.0,True
245.tiff,tp_at_30,3.0,3.0,True
246.tiff,seed_ann_id,6548.0,6548.0,True
246.tiff,base_size,41.0,41.0,True
246.tiff,n_detections,96.0,96.0,True
246.tiff,map_median,-0.00539,-0.00539,True
246.tiff,mad_scale,0.16638,0.16638,True
246.tiff,tp_at_10,10.0,10.0,True
246.tiff,tp_at_20,18.0,18.0,True
246.tiff,tp_at_30,24.0,24.0,True
300.tiff,seed_ann_id,14581.0,14581.0,True
300.tiff,base_size,45.0,45.0,True
300.tiff,n_detections,98.0,98.0,True
300.tiff,map_median,-0.05719,-0.05719,True
300.tiff,mad_scale,0.37148,0.37148,True
300.tiff,tp_at_10,7.0,7.0,True
300.tiff,tp_at_20,14.0,14.0,True
300.tiff,tp_at_30,20.0,20.0,True
301.tiff,seed_ann_id,14969.0,14969.0,True
301.tiff,base_size,41.0,41.0,True
301.tiff,n_detections,98.0,98.0,True
301.tiff,map_median,-0.01365,-0.01365,True
301.tiff,mad_scale,0.20158,0.20158,True
301.tiff,tp_at_10,9.0,9.0,True
301.tiff,tp_at_20,18.0,18.0,True
301.tiff,tp_at_30,24.0,24.0,True
402.tiff,seed_ann_id,20254.0,20254.0,True
402.tiff,base_size,29.0,29.0,True
402.tiff,n_detections,98.0,98.0,True
402.tiff,map_median,-0.05754,-0.05754,True
402.tiff,mad_scale,0.87053,0.87053,True
402.tiff,tp_at_10,4.0,4.0,True
402.tiff,tp_at_20,9.0,9.0,True
402.tiff,tp_at_30,14.0,14.0,True
403.tiff,seed_ann_id,20356.0,20356.0,True
403.tiff,base_size,51.0,51.0,True
403.tiff,n_detections,98.0,98.0,True
403.tiff,map_median,-0.0071,-0.0071,True
403.tiff,mad_scale,0.71813,0.71813,True
403.tiff,tp_at_10,5.0,5.0,True
403.tiff,tp_at_20,7.0,7.0,True
403.tiff,tp_at_30,8.0,8.0,True
459.tiff,seed_ann_id,22441.0,22441.0,True
459.tiff,base_size,33.0,33.0,True
459.tiff,n_detections,99.0,99.0,True
459.tiff,map_median,-0.04479,-0.04479,True
459.tiff,mad_scale,0.53097,0.53097,True
459.tiff,tp_at_10,6.0,6.0,True
459.tiff,tp_at_20,11.0,11.0,True
459.tiff,tp_at_30,19.0,19.0,True
460.tiff,seed_ann_id,22577.0,22577.0,True
460.tiff,base_size,47.0,47.0,True
460.tiff,n_detections,99.0,99.0,True
460.tiff,map_median,-0.16232,-0.16232,True
460.tiff,mad_scale,0.97396,0.97396,True
460.tiff,tp_at_10,7.0,7.0,True
460.tiff,tp_at_20,10.0,10.0,True
460.tiff,tp_at_30,12.0,12.0,True
529.tiff,seed_ann_id,24918.0,24918.0,True
529.tiff,base_size,37.0,37.0,True
529.tiff,n_detections,97.0,97.0,True
529.tiff,map_median,-0.05051,-0.05051,True
529.tiff,mad_scale,0.28553,0.28553,True
529.tiff,tp_at_10,3.0,3.0,True
529.tiff,tp_at_20,4.0,4.0,True
529.tiff,tp_at_30,4.0,4.0,True
548.tiff,seed_ann_id,25804.0,25804.0,True
548.tiff,base_size,29.0,29.0,True
548.tiff,n_detections,98.0,98.0,True
548.tiff,map_median,-0.06179,-0.06179,True
548.tiff,mad_scale,0.48898,0.48898,True
548.tiff,tp_at_10,5.0,5.0,True
548.tiff,tp_at_20,10.0,10.0,True
548.tiff,tp_at_30,16.0,16.0,True
