key,target recall,unit,median recall,WORST recall,median cut,worst cut
od51,95%,absolute,88.5%,0.0%,77%,1%
od51,95%,quantile,94.5%,86.6%,84%,82%
od51,95%,robustz,93.3%,86.2%,84%,81%
od51,90%,absolute,86.2%,0.0%,87%,1%
od51,90%,quantile,87.8%,76.0%,93%,92%
od51,90%,robustz,87.0%,74.2%,94%,88%
od51,80%,absolute,81.5%,0.0%,93%,2%
od51,80%,quantile,79.8%,64.5%,97%,97%
od51,80%,robustz,79.8%,63.8%,97%,93%
od_contrast,95%,absolute,88.5%,45.2%,85%,37%
od_contrast,95%,quantile,96.3%,86.6%,87%,86%
od_contrast,95%,robustz,95.7%,83.1%,90%,83%
od_contrast,90%,absolute,80.8%,17.4%,94%,49%
od_contrast,90%,quantile,88.7%,79.7%,94%,93%
od_contrast,90%,robustz,86.1%,75.1%,96%,89%
od_contrast,80%,absolute,73.1%,2.6%,98%,68%
od_contrast,80%,quantile,82.7%,68.7%,97%,97%
od_contrast,80%,robustz,81.9%,61.5%,97%,93%
