file_name,seed,seed_ann_id,ranker,quantile,depth,n_found,n_gt_mitotic,ceiling,frac_of_pool
201.tiff,0,4494,blob_abs,0.5,49,15,17,0.8824,0.0039
201.tiff,0,4494,blob_abs,0.9,2711,15,17,0.8824,0.2178
201.tiff,0,4494,blob_abs,0.95,4793,15,17,0.8824,0.3851
201.tiff,0,4494,blob_abs,0.98,4793,15,17,0.8824,0.3851
201.tiff,0,4494,blob_abs,0.99,4793,15,17,0.8824,0.3851
201.tiff,0,4494,blob_abs,1.0,4793,15,17,0.8824,0.3851
201.tiff,0,4494,od51_abs,0.5,17,15,17,0.8824,0.0014
201.tiff,0,4494,od51_abs,0.9,103,15,17,0.8824,0.0083
201.tiff,0,4494,od51_abs,0.95,351,15,17,0.8824,0.0282
201.tiff,0,4494,od51_abs,0.98,351,15,17,0.8824,0.0282
201.tiff,0,4494,od51_abs,0.99,351,15,17,0.8824,0.0282
201.tiff,0,4494,od51_abs,1.0,351,15,17,0.8824,0.0282
201.tiff,0,4494,od51_sim,0.5,12399,15,17,0.8824,0.9963
201.tiff,0,4494,od51_sim,0.9,12437,15,17,0.8824,0.9994
201.tiff,0,4494,od51_sim,0.95,12443,15,17,0.8824,0.9998
201.tiff,0,4494,od51_sim,0.98,12443,15,17,0.8824,0.9998
201.tiff,0,4494,od51_sim,0.99,12443,15,17,0.8824,0.9998
201.tiff,0,4494,od51_sim,1.0,12443,15,17,0.8824,0.9998
201.tiff,0,4494,od51_onesided,0.5,17,15,17,0.8824,0.0014
201.tiff,0,4494,od51_onesided,0.9,103,15,17,0.8824,0.0083
201.tiff,0,4494,od51_onesided,0.95,351,15,17,0.8824,0.0282
201.tiff,0,4494,od51_onesided,0.98,351,15,17,0.8824,0.0282
201.tiff,0,4494,od51_onesided,0.99,351,15,17,0.8824,0.0282
201.tiff,0,4494,od51_onesided,1.0,351,15,17,0.8824,0.0282
201.tiff,0,4494,feat_sim,0.5,11618,15,17,0.8824,0.9335
201.tiff,0,4494,feat_sim,0.9,12114,15,17,0.8824,0.9734
201.tiff,0,4494,feat_sim,0.95,12176,15,17,0.8824,0.9784
201.tiff,0,4494,feat_sim,0.98,12176,15,17,0.8824,0.9784
201.tiff,0,4494,feat_sim,0.99,12176,15,17,0.8824,0.9784
201.tiff,0,4494,feat_sim,1.0,12176,15,17,0.8824,0.9784
201.tiff,1,4469,blob_abs,0.5,69,15,17,0.8824,0.0055
201.tiff,1,4469,blob_abs,0.9,2711,15,17,0.8824,0.2178
201.tiff,1,4469,blob_abs,0.95,4793,15,17,0.8824,0.3851
201.tiff,1,4469,blob_abs,0.98,4793,15,17,0.8824,0.3851
201.tiff,1,4469,blob_abs,0.99,4793,15,17,0.8824,0.3851
201.tiff,1,4469,blob_abs,1.0,4793,15,17,0.8824,0.3851
201.tiff,1,4469,od51_abs,0.5,36,15,17,0.8824,0.0029
201.tiff,1,4469,od51_abs,0.9,350,15,17,0.8824,0.0281
201.tiff,1,4469,od51_abs,0.95,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_abs,0.98,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_abs,0.99,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_abs,1.0,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_sim,0.5,35,15,17,0.8824,0.0028
201.tiff,1,4469,od51_sim,0.9,350,15,17,0.8824,0.0281
201.tiff,1,4469,od51_sim,0.95,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_sim,0.98,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_sim,0.99,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_sim,1.0,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_onesided,0.5,36,15,17,0.8824,0.0029
201.tiff,1,4469,od51_onesided,0.9,350,15,17,0.8824,0.0281
201.tiff,1,4469,od51_onesided,0.95,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_onesided,0.98,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_onesided,0.99,822,15,17,0.8824,0.0661
201.tiff,1,4469,od51_onesided,1.0,822,15,17,0.8824,0.0661
201.tiff,1,4469,feat_sim,0.5,347,15,17,0.8824,0.0279
201.tiff,1,4469,feat_sim,0.9,10964,15,17,0.8824,0.881
201.tiff,1,4469,feat_sim,0.95,11160,15,17,0.8824,0.8967
201.tiff,1,4469,feat_sim,0.98,11160,15,17,0.8824,0.8967
201.tiff,1,4469,feat_sim,0.99,11160,15,17,0.8824,0.8967
201.tiff,1,4469,feat_sim,1.0,11160,15,17,0.8824,0.8967
201.tiff,2,4453,blob_abs,0.5,69,15,17,0.8824,0.0055
201.tiff,2,4453,blob_abs,0.9,2711,15,17,0.8824,0.2178
201.tiff,2,4453,blob_abs,0.95,4793,15,17,0.8824,0.3851
201.tiff,2,4453,blob_abs,0.98,4793,15,17,0.8824,0.3851
201.tiff,2,4453,blob_abs,0.99,4793,15,17,0.8824,0.3851
201.tiff,2,4453,blob_abs,1.0,4793,15,17,0.8824,0.3851
201.tiff,2,4453,od51_abs,0.5,36,15,17,0.8824,0.0029
201.tiff,2,4453,od51_abs,0.9,350,15,17,0.8824,0.0281
201.tiff,2,4453,od51_abs,0.95,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_abs,0.98,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_abs,0.99,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_abs,1.0,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_sim,0.5,43,15,17,0.8824,0.0035
201.tiff,2,4453,od51_sim,0.9,350,15,17,0.8824,0.0281
201.tiff,2,4453,od51_sim,0.95,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_sim,0.98,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_sim,0.99,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_sim,1.0,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_onesided,0.5,36,15,17,0.8824,0.0029
201.tiff,2,4453,od51_onesided,0.9,350,15,17,0.8824,0.0281
201.tiff,2,4453,od51_onesided,0.95,822,15,17,0.8824,0.0661
201.tiff,2,4453,od51_onesided,0.98,822,15,17,0.8824,0.0661
