file_name,seed_index,pass_name,n_clicks,statistic,contrast,auc,ci_lo,ci_hi,n_pos,n_neg
301.tiff,0,1click,1,chromatin,tp_vs_lookalike,0.692,0.6337,0.7504,215,105
301.tiff,0,1click,1,chromatin,tp_vs_unannotated,0.9348,0.9119,0.9578,215,19598
301.tiff,0,1click,1,blob_native,tp_vs_lookalike,0.6855,0.627,0.7439,217,107
301.tiff,0,1click,1,blob_native,tp_vs_unannotated,0.9858,0.9747,0.9969,217,20045
301.tiff,0,1click,1,cos_fcos_midogpp_r18,tp_vs_lookalike,0.6633,0.6032,0.7234,217,107
301.tiff,0,1click,1,cos_fcos_midogpp_r18,tp_vs_unannotated,0.9923,0.9841,1.0005,217,20045
301.tiff,0,1click,1,cos_fcos_midogpp_r18_cl2n,tp_vs_lookalike,0.7936,0.7456,0.8415,217,107
301.tiff,0,1click,1,cos_fcos_midogpp_r18_cl2n,tp_vs_unannotated,0.9965,0.991,1.0021,217,20045
301.tiff,0,1click,1,cos_fcos_midogpp_r18_cl2n_snap,tp_vs_lookalike,0.8309,0.7877,0.8741,217,107
301.tiff,0,1click,1,cos_fcos_midogpp_r18_cl2n_snap,tp_vs_unannotated,0.9933,0.9857,1.001,217,20045
301.tiff,0,1click,1,cos_kaiko_vits16,tp_vs_lookalike,0.6376,0.5759,0.6994,217,107
301.tiff,0,1click,1,cos_kaiko_vits16,tp_vs_unannotated,0.6684,0.6287,0.7082,217,20045
301.tiff,0,1click,1,cos_kaiko_vits16_cl2n,tp_vs_lookalike,0.6391,0.5775,0.7008,217,107
301.tiff,0,1click,1,cos_kaiko_vits16_cl2n,tp_vs_unannotated,0.7176,0.6787,0.7564,217,20045
301.tiff,0,1click,1,cos_kaiko_vits16_cl2n_snap,tp_vs_lookalike,0.6522,0.5914,0.713,217,107
301.tiff,0,1click,1,cos_kaiko_vits16_cl2n_snap,tp_vs_unannotated,0.7517,0.714,0.7895,217,20045
301.tiff,0,1click,1,cos_lunit_dino_vits16,tp_vs_lookalike,0.5884,0.5241,0.6528,217,107
301.tiff,0,1click,1,cos_lunit_dino_vits16,tp_vs_unannotated,0.6155,0.5754,0.6556,217,20045
301.tiff,0,1click,1,cos_lunit_dino_vits16_cl2n,tp_vs_lookalike,0.6,0.5362,0.6638,217,107
301.tiff,0,1click,1,cos_lunit_dino_vits16_cl2n,tp_vs_unannotated,0.6865,0.647,0.7261,217,20045
301.tiff,0,1click,1,cos_lunit_dino_vits16_cl2n_snap,tp_vs_lookalike,0.5941,0.5301,0.6582,217,107
301.tiff,0,1click,1,cos_lunit_dino_vits16_cl2n_snap,tp_vs_unannotated,0.6727,0.633,0.7124,217,20045
301.tiff,0,1click,1,cos_lunit_dino_vits16_16um,tp_vs_lookalike,0.5865,0.5221,0.6509,217,107
301.tiff,0,1click,1,cos_lunit_dino_vits16_16um,tp_vs_unannotated,0.7628,0.7255,0.8001,217,20045
301.tiff,0,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_lookalike,0.6539,0.5932,0.7147,217,107
301.tiff,0,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_unannotated,0.8753,0.8452,0.9054,217,20045
301.tiff,0,1click,1,cos_lunit_dino_vits16_16um_cl2n_snap,tp_vs_lookalike,0.6459,0.5846,0.7071,217,107
301.tiff,0,1click,1,cos_lunit_dino_vits16_16um_cl2n_snap,tp_vs_unannotated,0.881,0.8514,0.9105,217,20045
301.tiff,0,1click,1,cos_resnet18_in1k,tp_vs_lookalike,0.5315,0.4652,0.5978,217,107
301.tiff,0,1click,1,cos_resnet18_in1k,tp_vs_unannotated,0.5562,0.5165,0.5959,217,20045
301.tiff,0,1click,1,cos_resnet18_in1k_cl2n,tp_vs_lookalike,0.5449,0.4789,0.6108,217,107
301.tiff,0,1click,1,cos_resnet18_in1k_cl2n,tp_vs_unannotated,0.6201,0.58,0.6602,217,20045
301.tiff,0,1click,1,cos_resnet18_in1k_cl2n_snap,tp_vs_lookalike,0.5559,0.4903,0.6215,217,107
301.tiff,0,1click,1,cos_resnet18_in1k_cl2n_snap,tp_vs_unannotated,0.6248,0.5847,0.6649,217,20045
301.tiff,0,1click,1,cos_resnet18_in1k_16um,tp_vs_lookalike,0.6414,0.5799,0.7029,217,107
301.tiff,0,1click,1,cos_resnet18_in1k_16um,tp_vs_unannotated,0.7543,0.7166,0.7919,217,20045
301.tiff,0,1click,1,cos_resnet18_in1k_16um_cl2n,tp_vs_lookalike,0.6488,0.5878,0.7099,217,107
301.tiff,0,1click,1,cos_resnet18_in1k_16um_cl2n,tp_vs_unannotated,0.7903,0.7542,0.8263,217,20045
301.tiff,0,1click,1,cos_resnet18_in1k_16um_cl2n_snap,tp_vs_lookalike,0.6493,0.5883,0.7103,217,107
301.tiff,0,1click,1,cos_resnet18_in1k_16um_cl2n_snap,tp_vs_unannotated,0.777,0.7403,0.8137,217,20045
301.tiff,0,1click,1,cos_rawpixel_ccoeff,tp_vs_lookalike,0.6731,0.6137,0.7325,217,107
301.tiff,0,1click,1,cos_rawpixel_ccoeff,tp_vs_unannotated,0.7692,0.7321,0.8062,217,20045
301.tiff,0,1click,1,cos_rawpixel_ccoeff_cl2n,tp_vs_lookalike,0.6462,0.5849,0.7074,217,107
301.tiff,0,1click,1,cos_rawpixel_ccoeff_cl2n,tp_vs_unannotated,0.7154,0.6765,0.7543,217,20045
301.tiff,0,1click,1,cos_rawpixel_ccoeff_cl2n_snap,tp_vs_lookalike,0.6811,0.6223,0.7399,217,107
301.tiff,0,1click,1,cos_rawpixel_ccoeff_cl2n_snap,tp_vs_unannotated,0.7616,0.7242,0.7989,217,20045
301.tiff,1,1click,1,chromatin,tp_vs_lookalike,0.6958,0.6378,0.7539,215,105
301.tiff,1,1click,1,chromatin,tp_vs_unannotated,0.9356,0.9128,0.9585,215,19598
301.tiff,1,1click,1,blob_native,tp_vs_lookalike,0.6887,0.6305,0.7469,217,107
301.tiff,1,1click,1,blob_native,tp_vs_unannotated,0.9859,0.9749,0.997,217,20045
301.tiff,1,1click,1,cos_fcos_midogpp_r18,tp_vs_lookalike,0.2181,0.1612,0.275,217,107
301.tiff,1,1click,1,cos_fcos_midogpp_r18,tp_vs_unannotated,0.8473,0.8148,0.8798,217,20045
301.tiff,1,1click,1,cos_fcos_midogpp_r18_cl2n,tp_vs_lookalike,0.3696,0.3035,0.4356,217,107
301.tiff,1,1click,1,cos_fcos_midogpp_r18_cl2n,tp_vs_unannotated,0.9885,0.9785,0.9985,217,20045
301.tiff,1,1click,1,cos_fcos_midogpp_r18_cl2n_snap,tp_vs_lookalike,0.5194,0.4528,0.586,217,107
301.tiff,1,1click,1,cos_fcos_midogpp_r18_cl2n_snap,tp_vs_unannotated,0.9948,0.9881,1.0016,217,20045
301.tiff,1,1click,1,cos_kaiko_vits16,tp_vs_lookalike,0.593,0.5289,0.6571,217,107
301.tiff,1,1click,1,cos_kaiko_vits16,tp_vs_unannotated,0.5319,0.4926,0.5712,217,20045
301.tiff,1,1click,1,cos_kaiko_vits16_cl2n,tp_vs_lookalike,0.5622,0.4968,0.6276,217,107
301.tiff,1,1click,1,cos_kaiko_vits16_cl2n,tp_vs_unannotated,0.546,0.5065,0.5856,217,20045
301.tiff,1,1click,1,cos_kaiko_vits16_cl2n_snap,tp_vs_lookalike,0.5713,0.5063,0.6364,217,107
301.tiff,1,1click,1,cos_kaiko_vits16_cl2n_snap,tp_vs_unannotated,0.5793,0.5393,0.6192,217,20045
301.tiff,1,1click,1,cos_lunit_dino_vits16,tp_vs_lookalike,0.543,0.477,0.6089,217,107
301.tiff,1,1click,1,cos_lunit_dino_vits16,tp_vs_unannotated,0.4884,0.4501,0.5267,217,20045
301.tiff,1,1click,1,cos_lunit_dino_vits16_cl2n,tp_vs_lookalike,0.5143,0.4476,0.581,217,107
301.tiff,1,1click,1,cos_lunit_dino_vits16_cl2n,tp_vs_unannotated,0.5273,0.4881,0.5665,217,20045
301.tiff,1,1click,1,cos_lunit_dino_vits16_cl2n_snap,tp_vs_lookalike,0.5382,0.4721,0.6043,217,107
301.tiff,1,1click,1,cos_lunit_dino_vits16_cl2n_snap,tp_vs_unannotated,0.5634,0.5236,0.6032,217,20045
301.tiff,1,1click,1,cos_lunit_dino_vits16_16um,tp_vs_lookalike,0.4891,0.422,0.5562,217,107
301.tiff,1,1click,1,cos_lunit_dino_vits16_16um,tp_vs_unannotated,0.5995,0.5595,0.6396,217,20045
301.tiff,1,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_lookalike,0.5329,0.4666,0.5991,217,107
301.tiff,1,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_unannotated,0.7225,0.6838,0.7612,217,20045
301.tiff,1,1click,1,cos_lunit_dino_vits16_16um_cl2n_snap,tp_vs_lookalike,0.5304,0.4641,0.5967,217,107
301.tiff,1,1click,1,cos_lunit_dino_vits16_16um_cl2n_snap,tp_vs_unannotated,0.7212,0.6825,0.7599,217,20045
301.tiff,1,1click,1,cos_resnet18_in1k,tp_vs_lookalike,0.5157,0.4491,0.5824,217,107
301.tiff,1,1click,1,cos_resnet18_in1k,tp_vs_unannotated,0.4753,0.4374,0.5132,217,20045
301.tiff,1,1click,1,cos_resnet18_in1k_cl2n,tp_vs_lookalike,0.5598,0.4943,0.6252,217,107
301.tiff,1,1click,1,cos_resnet18_in1k_cl2n,tp_vs_unannotated,0.5362,0.4968,0.5756,217,20045
301.tiff,1,1click,1,cos_resnet18_in1k_cl2n_snap,tp_vs_lookalike,0.5763,0.5114,0.6411,217,107
301.tiff,1,1click,1,cos_resnet18_in1k_cl2n_snap,tp_vs_unannotated,0.6142,0.5741,0.6543,217,20045
301.tiff,1,1click,1,cos_resnet18_in1k_16um,tp_vs_lookalike,0.5089,0.4421,0.5756,217,107
301.tiff,1,1click,1,cos_resnet18_in1k_16um,tp_vs_unannotated,0.5759,0.536,0.6158,217,20045
301.tiff,1,1click,1,cos_resnet18_in1k_16um_cl2n,tp_vs_lookalike,0.566,0.5007,0.6312,217,107
301.tiff,1,1click,1,cos_resnet18_in1k_16um_cl2n,tp_vs_unannotated,0.7395,0.7013,0.7776,217,20045
301.tiff,1,1click,1,cos_resnet18_in1k_16um_cl2n_snap,tp_vs_lookalike,0.5727,0.5077,0.6377,217,107
301.tiff,1,1click,1,cos_resnet18_in1k_16um_cl2n_snap,tp_vs_unannotated,0.6846,0.6451,0.7242,217,20045
301.tiff,1,1click,1,cos_rawpixel_ccoeff,tp_vs_lookalike,0.5619,0.4965,0.6272,217,107
301.tiff,1,1click,1,cos_rawpixel_ccoeff,tp_vs_unannotated,0.6635,0.6237,0.7034,217,20045
301.tiff,1,1click,1,cos_rawpixel_ccoeff_cl2n,tp_vs_lookalike,0.4976,0.4306,0.5645,217,107
301.tiff,1,1click,1,cos_rawpixel_ccoeff_cl2n,tp_vs_unannotated,0.5523,0.5126,0.5919,217,20045
301.tiff,1,1click,1,cos_rawpixel_ccoeff_cl2n_snap,tp_vs_lookalike,0.5345,0.4683,0.6007,217,107
301.tiff,1,1click,1,cos_rawpixel_ccoeff_cl2n_snap,tp_vs_unannotated,0.6563,0.6164,0.6962,217,20045
301.tiff,2,1click,1,chromatin,tp_vs_lookalike,0.6919,0.6335,0.7503,215,105
301.tiff,2,1click,1,chromatin,tp_vs_unannotated,0.9348,0.9119,0.9578,215,19598
301.tiff,2,1click,1,blob_native,tp_vs_lookalike,0.6862,0.6279,0.7446,217,107
301.tiff,2,1click,1,blob_native,tp_vs_unannotated,0.9858,0.9747,0.9969,217,20045
301.tiff,2,1click,1,cos_fcos_midogpp_r18,tp_vs_lookalike,0.873,0.836,0.91,217,107
301.tiff,2,1click,1,cos_fcos_midogpp_r18,tp_vs_unannotated,0.9974,0.9927,1.0022,217,20045
301.tiff,2,1click,1,cos_fcos_midogpp_r18_cl2n,tp_vs_lookalike,0.8781,0.8419,0.9143,217,107
301.tiff,2,1click,1,cos_fcos_midogpp_r18_cl2n,tp_vs_unannotated,0.9974,0.9927,1.0022,217,20045
301.tiff,2,1click,1,cos_fcos_midogpp_r18_cl2n_snap,tp_vs_lookalike,0.8931,0.8594,0.9268,217,107
301.tiff,2,1click,1,cos_fcos_midogpp_r18_cl2n_snap,tp_vs_unannotated,0.9972,0.9923,1.0022,217,20045
301.tiff,2,1click,1,cos_kaiko_vits16,tp_vs_lookalike,0.5873,0.523,0.6517,217,107
301.tiff,2,1click,1,cos_kaiko_vits16,tp_vs_unannotated,0.5753,0.5353,0.6152,217,20045
301.tiff,2,1click,1,cos_kaiko_vits16_cl2n,tp_vs_lookalike,0.5485,0.4827,0.6143,217,107
301.tiff,2,1click,1,cos_kaiko_vits16_cl2n,tp_vs_unannotated,0.5976,0.5575,0.6377,217,20045
301.tiff,2,1click,1,cos_kaiko_vits16_cl2n_snap,tp_vs_lookalike,0.5267,0.4603,0.5931,217,107
301.tiff,2,1click,1,cos_kaiko_vits16_cl2n_snap,tp_vs_unannotated,0.5929,0.5528,0.6329,217,20045
301.tiff,2,1click,1,cos_lunit_dino_vits16,tp_vs_lookalike,0.5933,0.5292,0.6574,217,107
301.tiff,2,1click,1,cos_lunit_dino_vits16,tp_vs_unannotated,0.5626,0.5228,0.6024,217,20045
301.tiff,2,1click,1,cos_lunit_dino_vits16_cl2n,tp_vs_lookalike,0.561,0.4956,0.6265,217,107
301.tiff,2,1click,1,cos_lunit_dino_vits16_cl2n,tp_vs_unannotated,0.6027,0.5626,0.6428,217,20045
301.tiff,2,1click,1,cos_lunit_dino_vits16_cl2n_snap,tp_vs_lookalike,0.5541,0.4884,0.6197,217,107
301.tiff,2,1click,1,cos_lunit_dino_vits16_cl2n_snap,tp_vs_unannotated,0.5845,0.5445,0.6245,217,20045
301.tiff,2,1click,1,cos_lunit_dino_vits16_16um,tp_vs_lookalike,0.65,0.5891,0.711,217,107
301.tiff,2,1click,1,cos_lunit_dino_vits16_16um,tp_vs_unannotated,0.8531,0.8211,0.8851,217,20045
301.tiff,2,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_lookalike,0.6996,0.6423,0.7569,217,107
301.tiff,2,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_unannotated,0.9177,0.8924,0.943,217,20045
301.tiff,2,1click,1,cos_lunit_dino_vits16_16um_cl2n_snap,tp_vs_lookalike,0.7233,0.668,0.7786,217,107
301.tiff,2,1click,1,cos_lunit_dino_vits16_16um_cl2n_snap,tp_vs_unannotated,0.933,0.9099,0.9561,217,20045
301.tiff,2,1click,1,cos_resnet18_in1k,tp_vs_lookalike,0.526,0.4596,0.5925,217,107
301.tiff,2,1click,1,cos_resnet18_in1k,tp_vs_unannotated,0.533,0.4936,0.5723,217,20045
301.tiff,2,1click,1,cos_resnet18_in1k_cl2n,tp_vs_lookalike,0.5295,0.4632,0.5959,217,107
301.tiff,2,1click,1,cos_resnet18_in1k_cl2n,tp_vs_unannotated,0.5803,0.5403,0.6202,217,20045
301.tiff,2,1click,1,cos_resnet18_in1k_cl2n_snap,tp_vs_lookalike,0.5634,0.4981,0.6287,217,107
301.tiff,2,1click,1,cos_resnet18_in1k_cl2n_snap,tp_vs_unannotated,0.623,0.5829,0.6631,217,20045
301.tiff,2,1click,1,cos_resnet18_in1k_16um,tp_vs_lookalike,0.5812,0.5165,0.6458,217,107
301.tiff,2,1click,1,cos_resnet18_in1k_16um,tp_vs_unannotated,0.7336,0.6953,0.772,217,20045
301.tiff,2,1click,1,cos_resnet18_in1k_16um_cl2n,tp_vs_lookalike,0.6448,0.5835,0.7061,217,107
301.tiff,2,1click,1,cos_resnet18_in1k_16um_cl2n,tp_vs_unannotated,0.8668,0.8359,0.8976,217,20045
301.tiff,2,1click,1,cos_resnet18_in1k_16um_cl2n_snap,tp_vs_lookalike,0.6148,0.5518,0.6779,217,107
301.tiff,2,1click,1,cos_resnet18_in1k_16um_cl2n_snap,tp_vs_unannotated,0.8535,0.8215,0.8855,217,20045
301.tiff,2,1click,1,cos_rawpixel_ccoeff,tp_vs_lookalike,0.6773,0.6183,0.7364,217,107
301.tiff,2,1click,1,cos_rawpixel_ccoeff,tp_vs_unannotated,0.7912,0.7552,0.8273,217,20045
301.tiff,2,1click,1,cos_rawpixel_ccoeff_cl2n,tp_vs_lookalike,0.6607,0.6005,0.721,217,107
301.tiff,2,1click,1,cos_rawpixel_ccoeff_cl2n,tp_vs_unannotated,0.7526,0.7149,0.7903,217,20045
301.tiff,2,1click,1,cos_rawpixel_ccoeff_cl2n_snap,tp_vs_lookalike,0.6697,0.61,0.7293,217,107
301.tiff,2,1click,1,cos_rawpixel_ccoeff_cl2n_snap,tp_vs_unannotated,0.7352,0.6969,0.7735,217,20045
301.tiff,3,1click,1,chromatin,tp_vs_lookalike,0.6943,0.6361,0.7525,215,105
301.tiff,3,1click,1,chromatin,tp_vs_unannotated,0.935,0.9121,0.958,215,19598
301.tiff,3,1click,1,blob_native,tp_vs_lookalike,0.6884,0.6302,0.7467,217,107
301.tiff,3,1click,1,blob_native,tp_vs_unannotated,0.9859,0.9748,0.9969,217,20045
301.tiff,3,1click,1,cos_fcos_midogpp_r18,tp_vs_lookalike,0.853,0.8129,0.8931,217,107
301.tiff,3,1click,1,cos_fcos_midogpp_r18,tp_vs_unannotated,0.9975,0.9928,1.0022,217,20045
301.tiff,3,1click,1,cos_fcos_midogpp_r18_cl2n,tp_vs_lookalike,0.8586,0.8194,0.8979,217,107
301.tiff,3,1click,1,cos_fcos_midogpp_r18_cl2n,tp_vs_unannotated,0.9975,0.9928,1.0022,217,20045
301.tiff,3,1click,1,cos_fcos_midogpp_r18_cl2n_snap,tp_vs_lookalike,0.8693,0.8317,0.9069,217,107
301.tiff,3,1click,1,cos_fcos_midogpp_r18_cl2n_snap,tp_vs_unannotated,0.9976,0.9929,1.0022,217,20045
301.tiff,3,1click,1,cos_kaiko_vits16,tp_vs_lookalike,0.5592,0.4938,0.6247,217,107
301.tiff,3,1click,1,cos_kaiko_vits16,tp_vs_unannotated,0.5944,0.5543,0.6344,217,20045
301.tiff,3,1click,1,cos_kaiko_vits16_cl2n,tp_vs_lookalike,0.54,0.4739,0.6061,217,107
301.tiff,3,1click,1,cos_kaiko_vits16_cl2n,tp_vs_unannotated,0.6225,0.5823,0.6626,217,20045
301.tiff,3,1click,1,cos_kaiko_vits16_cl2n_snap,tp_vs_lookalike,0.5854,0.5209,0.6498,217,107
301.tiff,3,1click,1,cos_kaiko_vits16_cl2n_snap,tp_vs_unannotated,0.6614,0.6215,0.7013,217,20045
301.tiff,3,1click,1,cos_lunit_dino_vits16,tp_vs_lookalike,0.5663,0.501,0.6315,217,107
301.tiff,3,1click,1,cos_lunit_dino_vits16,tp_vs_unannotated,0.6112,0.5711,0.6513,217,20045
301.tiff,3,1click,1,cos_lunit_dino_vits16_cl2n,tp_vs_lookalike,0.5654,0.5001,0.6306,217,107
301.tiff,3,1click,1,cos_lunit_dino_vits16_cl2n,tp_vs_unannotated,0.6846,0.645,0.7241,217,20045
301.tiff,3,1click,1,cos_lunit_dino_vits16_cl2n_snap,tp_vs_lookalike,0.5627,0.4973,0.628,217,107
301.tiff,3,1click,1,cos_lunit_dino_vits16_cl2n_snap,tp_vs_unannotated,0.6629,0.623,0.7027,217,20045
301.tiff,3,1click,1,cos_lunit_dino_vits16_16um,tp_vs_lookalike,0.6066,0.5431,0.67,217,107
301.tiff,3,1click,1,cos_lunit_dino_vits16_16um,tp_vs_unannotated,0.6661,0.6262,0.7059,217,20045
301.tiff,3,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_lookalike,0.6851,0.6266,0.7436,217,107
301.tiff,3,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_unannotated,0.7737,0.7368,0.8105,217,20045
301.tiff,3,1click,1,cos_lunit_dino_vits16_16um_cl2n_snap,tp_vs_lookalike,0.6647,0.6047,0.7247,217,107
301.tiff,3,1click,1,cos_lunit_dino_vits16_16um_cl2n_snap,tp_vs_unannotated,0.8178,0.7833,0.8524,217,20045
301.tiff,3,1click,1,cos_resnet18_in1k,tp_vs_lookalike,0.4773,0.4101,0.5445,217,107
301.tiff,3,1click,1,cos_resnet18_in1k,tp_vs_unannotated,0.523,0.4839,0.5621,217,20045
301.tiff,3,1click,1,cos_resnet18_in1k_cl2n,tp_vs_lookalike,0.4779,0.4107,0.5451,217,107
301.tiff,3,1click,1,cos_resnet18_in1k_cl2n,tp_vs_unannotated,0.5621,0.5223,0.6019,217,20045
301.tiff,3,1click,1,cos_resnet18_in1k_cl2n_snap,tp_vs_lookalike,0.4762,0.409,0.5434,217,107
301.tiff,3,1click,1,cos_resnet18_in1k_cl2n_snap,tp_vs_unannotated,0.5595,0.5198,0.5993,217,20045
301.tiff,3,1click,1,cos_resnet18_in1k_16um,tp_vs_lookalike,0.4671,0.3998,0.5343,217,107
301.tiff,3,1click,1,cos_resnet18_in1k_16um,tp_vs_unannotated,0.483,0.4448,0.5212,217,20045
301.tiff,3,1click,1,cos_resnet18_in1k_16um_cl2n,tp_vs_lookalike,0.5202,0.4537,0.5868,217,107
301.tiff,3,1click,1,cos_resnet18_in1k_16um_cl2n,tp_vs_unannotated,0.6762,0.6365,0.7158,217,20045
301.tiff,3,1click,1,cos_resnet18_in1k_16um_cl2n_snap,tp_vs_lookalike,0.5102,0.4434,0.577,217,107
301.tiff,3,1click,1,cos_resnet18_in1k_16um_cl2n_snap,tp_vs_unannotated,0.6646,0.6247,0.7044,217,20045
301.tiff,3,1click,1,cos_rawpixel_ccoeff,tp_vs_lookalike,0.58,0.5153,0.6447,217,107
301.tiff,3,1click,1,cos_rawpixel_ccoeff,tp_vs_unannotated,0.6672,0.6274,0.707,217,20045
301.tiff,3,1click,1,cos_rawpixel_ccoeff_cl2n,tp_vs_lookalike,0.5088,0.442,0.5756,217,107
301.tiff,3,1click,1,cos_rawpixel_ccoeff_cl2n,tp_vs_unannotated,0.5496,0.51,0.5893,217,20045
301.tiff,3,1click,1,cos_rawpixel_ccoeff_cl2n_snap,tp_vs_lookalike,0.5992,0.5353,0.663,217,107
301.tiff,3,1click,1,cos_rawpixel_ccoeff_cl2n_snap,tp_vs_unannotated,0.6431,0.6031,0.6831,217,20045
301.tiff,4,1click,1,chromatin,tp_vs_lookalike,0.6919,0.6335,0.7503,215,105
301.tiff,4,1click,1,chromatin,tp_vs_unannotated,0.9348,0.9119,0.9578,215,19598
301.tiff,4,1click,1,blob_native,tp_vs_lookalike,0.6855,0.627,0.7439,217,107
301.tiff,4,1click,1,blob_native,tp_vs_unannotated,0.9858,0.9747,0.9969,217,20045
301.tiff,4,1click,1,cos_fcos_midogpp_r18,tp_vs_lookalike,0.9076,0.8765,0.9387,217,107
301.tiff,4,1click,1,cos_fcos_midogpp_r18,tp_vs_unannotated,0.9961,0.9903,1.002,217,20045
301.tiff,4,1click,1,cos_fcos_midogpp_r18_cl2n,tp_vs_lookalike,0.9074,0.8762,0.9385,217,107
301.tiff,4,1click,1,cos_fcos_midogpp_r18_cl2n,tp_vs_unannotated,0.9961,0.9902,1.002,217,20045
301.tiff,4,1click,1,cos_fcos_midogpp_r18_cl2n_snap,tp_vs_lookalike,0.9101,0.8794,0.9407,217,107
301.tiff,4,1click,1,cos_fcos_midogpp_r18_cl2n_snap,tp_vs_unannotated,0.9955,0.9892,1.0018,217,20045
301.tiff,4,1click,1,cos_kaiko_vits16,tp_vs_lookalike,0.6128,0.5496,0.6759,217,107
301.tiff,4,1click,1,cos_kaiko_vits16,tp_vs_unannotated,0.6125,0.5724,0.6527,217,20045
301.tiff,4,1click,1,cos_kaiko_vits16_cl2n,tp_vs_lookalike,0.5748,0.5099,0.6397,217,107
301.tiff,4,1click,1,cos_kaiko_vits16_cl2n,tp_vs_unannotated,0.6391,0.599,0.6791,217,20045
301.tiff,4,1click,1,cos_kaiko_vits16_cl2n_snap,tp_vs_lookalike,0.6131,0.5499,0.6762,217,107
301.tiff,4,1click,1,cos_kaiko_vits16_cl2n_snap,tp_vs_unannotated,0.6862,0.6466,0.7257,217,20045
301.tiff,4,1click,1,cos_lunit_dino_vits16,tp_vs_lookalike,0.633,0.571,0.695,217,107
301.tiff,4,1click,1,cos_lunit_dino_vits16,tp_vs_unannotated,0.6515,0.6116,0.6915,217,20045
301.tiff,4,1click,1,cos_lunit_dino_vits16_cl2n,tp_vs_lookalike,0.6369,0.5751,0.6987,217,107
301.tiff,4,1click,1,cos_lunit_dino_vits16_cl2n,tp_vs_unannotated,0.7091,0.6701,0.7481,217,20045
301.tiff,4,1click,1,cos_lunit_dino_vits16_cl2n_snap,tp_vs_lookalike,0.6257,0.5633,0.6881,217,107
301.tiff,4,1click,1,cos_lunit_dino_vits16_cl2n_snap,tp_vs_unannotated,0.6961,0.6567,0.7354,217,20045
301.tiff,4,1click,1,cos_lunit_dino_vits16_16um,tp_vs_lookalike,0.6923,0.6344,0.7502,217,107
301.tiff,4,1click,1,cos_lunit_dino_vits16_16um,tp_vs_unannotated,0.873,0.8427,0.9033,217,20045
301.tiff,4,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_lookalike,0.7178,0.662,0.7736,217,107
