file_name,image_id,seed_index,seed_ann_id,query_variant,n_candidates,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_100,encoder,provenance,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
301.tiff,301,0,14976,cl2n_snap,20367,fcos_midogpp_r18__mitotic,fcos_midogpp_r18__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,178.0,323.0,1829.0,fcos_midogpp_r18,mitotic,500,500,201,42,0.9262672811059908
301.tiff,301,0,14976,cl2n_snap,20367,fcos_midogpp_r18__mitotic,fcos_midogpp_r18__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,178.0,323.0,1829.0,fcos_midogpp_r18,mitotic,1000,1000,214,63,0.9861751152073732
301.tiff,301,0,14976,cl2n_snap,20367,fcos_midogpp_r18__mitotic,fcos_midogpp_r18__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,178.0,323.0,1829.0,fcos_midogpp_r18,mitotic,2000,2000,217,89,1.0
301.tiff,301,0,14976,cl2n_snap,20367,fcos_midogpp_r18__mitotic,fcos_midogpp_r18__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,178.0,323.0,1829.0,fcos_midogpp_r18,mitotic,5000,5000,217,105,1.0
301.tiff,301,0,14976,cl2n_snap,20367,kaiko_vits16__mitotic,kaiko_vits16__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,3351.0,8396.0,19499.0,kaiko_vits16,mitotic,500,500,42,10,0.1935483870967742
301.tiff,301,0,14976,cl2n_snap,20367,kaiko_vits16__mitotic,kaiko_vits16__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,3351.0,8396.0,19499.0,kaiko_vits16,mitotic,1000,1000,62,19,0.2857142857142857
301.tiff,301,0,14976,cl2n_snap,20367,kaiko_vits16__mitotic,kaiko_vits16__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,3351.0,8396.0,19499.0,kaiko_vits16,mitotic,2000,2000,85,26,0.391705069124424
301.tiff,301,0,14976,cl2n_snap,20367,kaiko_vits16__mitotic,kaiko_vits16__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,3351.0,8396.0,19499.0,kaiko_vits16,mitotic,5000,5000,134,46,0.6175115207373272
301.tiff,301,0,14976,cl2n_snap,20367,lunit_dino_vits16__mitotic,lunit_dino_vits16__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,4906.0,10987.0,20162.0,lunit_dino_vits16,mitotic,500,500,22,5,0.10138248847926268
301.tiff,301,0,14976,cl2n_snap,20367,lunit_dino_vits16__mitotic,lunit_dino_vits16__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,4906.0,10987.0,20162.0,lunit_dino_vits16,mitotic,1000,1000,40,11,0.18433179723502305
301.tiff,301,0,14976,cl2n_snap,20367,lunit_dino_vits16__mitotic,lunit_dino_vits16__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,4906.0,10987.0,20162.0,lunit_dino_vits16,mitotic,2000,2000,63,19,0.2903225806451613
301.tiff,301,0,14976,cl2n_snap,20367,lunit_dino_vits16__mitotic,lunit_dino_vits16__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,4906.0,10987.0,20162.0,lunit_dino_vits16,mitotic,5000,5000,110,39,0.5069124423963134
301.tiff,301,0,14976,cl2n_snap,20367,lunit_dino_vits16_16um__mitotic,lunit_dino_vits16_16um__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,1067.0,3417.0,17784.0,lunit_dino_vits16_16um,mitotic,500,500,80,25,0.3686635944700461
301.tiff,301,0,14976,cl2n_snap,20367,lunit_dino_vits16_16um__mitotic,lunit_dino_vits16_16um__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,1067.0,3417.0,17784.0,lunit_dino_vits16_16um,mitotic,1000,1000,103,38,0.47465437788018433
301.tiff,301,0,14976,cl2n_snap,20367,lunit_dino_vits16_16um__mitotic,lunit_dino_vits16_16um__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,1067.0,3417.0,17784.0,lunit_dino_vits16_16um,mitotic,2000,2000,142,57,0.6543778801843319
301.tiff,301,0,14976,cl2n_snap,20367,lunit_dino_vits16_16um__mitotic,lunit_dino_vits16_16um__mitotic,True,,False,False,217,109,20367,0.9358,106,4,0.0,1.0,29.609,1067.0,3417.0,17784.0,lunit_dino_vits16_16um,mitotic,5000,5000,190,83,0.8755760368663594
