file_name,image_id,tumor_type,mpp,seed_index,seed_ann_id,n_retries,tightened_size,null_cell,area_ratio,arm_name,base_size,map_median,mad_scale,deep_floor,n_pool,pad_px,n_dup_fp,shortcut_ok,nms_radius_px,match_radius_px,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,read_50,read_80,read_90,read_95,read_99,read_100,axis,z_cut,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,base51,51,-0.01748,0.27937,-0.43654,25449,25,281,True,19.739,29.609,tm_score,score,True,0.5,True,False,217,109,24163,0.9868,109,2,0.0,1.0,531.0,4222.0,6619.0,8906.0,16873.0,20469.0,tm_score,0.1222,25,25,17,2,0.07834101382488479
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,base51,51,-0.01748,0.27937,-0.43654,25449,25,281,True,19.739,29.609,tm_score,score,True,0.5,True,False,217,109,24163,0.9868,109,2,0.0,1.0,531.0,4222.0,6619.0,8906.0,16873.0,20469.0,tm_score,0.1222,50,50,32,5,0.14746543778801843
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,base51,51,-0.01748,0.27937,-0.43654,25449,25,281,True,19.739,29.609,tm_score,score,True,0.5,True,False,217,109,24163,0.9868,109,2,0.0,1.0,531.0,4222.0,6619.0,8906.0,16873.0,20469.0,tm_score,0.1222,100,100,58,9,0.2672811059907834
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,base51,51,-0.01748,0.27937,-0.43654,25449,25,281,True,19.739,29.609,tm_score,score,True,0.5,True,False,217,109,24163,0.9868,109,2,0.0,1.0,531.0,4222.0,6619.0,8906.0,16873.0,20469.0,tm_score,0.1222,250,250,88,12,0.4055299539170507
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,base51,51,-0.01748,0.27937,-0.43654,25449,25,281,True,19.739,29.609,tm_score,score,True,0.5,True,False,217,109,24163,0.9868,109,2,0.0,1.0,531.0,4222.0,6619.0,8906.0,16873.0,20469.0,tm_score,0.1222,500,500,107,20,0.4930875576036866
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,base51,51,-0.01748,0.27937,-0.43654,25449,25,281,True,19.739,29.609,tm_score,score,True,0.5,True,False,217,109,24163,0.9868,109,2,0.0,1.0,531.0,4222.0,6619.0,8906.0,16873.0,20469.0,tm_score,0.1222,1000,1000,129,36,0.5944700460829493
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,base51,51,-0.01748,0.27937,-0.43654,25449,25,281,True,19.739,29.609,tm_score,score,True,0.5,True,False,217,109,24163,0.9868,109,2,0.0,1.0,531.0,4222.0,6619.0,8906.0,16873.0,20469.0,tm_score,0.1222,2000,2000,154,53,0.7096774193548387
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,base51,51,-0.01748,0.27937,-0.43654,25449,25,281,True,19.739,29.609,tm_score,score,True,0.5,True,False,217,109,24163,0.9868,109,2,0.0,1.0,531.0,4222.0,6619.0,8906.0,16873.0,20469.0,tm_score,0.1222,5000,5000,184,81,0.847926267281106
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,base51,51,-0.01748,0.27937,-0.43654,25449,25,281,True,19.739,29.609,chromatin_od,od,True,0.5,True,False,217,109,24163,0.9868,109,3,0.0,1.0,225.0,1773.0,4771.0,8094.0,16231.0,18189.0,chromatin_od,0.1222,25,25,18,3,0.08294930875576037
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,base51,51,-0.01748,0.27937,-0.43654,25449,25,281,True,19.739,29.609,chromatin_od,od,True,0.5,True,False,217,109,24163,0.9868,109,3,0.0,1.0,225.0,1773.0,4771.0,8094.0,16231.0,18189.0,chromatin_od,0.1222,50,50,40,3,0.18433179723502305
