file_name,image_id,tumor_type,mpp,seed_index,seed_ann_id,n_retries,tightened_size,null_cell,area_ratio,n_pool_base51,n_pool_largest_cc,read95_unreachable_base51,read95_unreachable_largest_cc,n_gt_mitotic,t_s,run_complete,n_cells_expected
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,0,41,False,0.6463,25449,25447,4,2,217,14.2,True,35
301.tiff,301,canine cutaneous mast cell tumor,0.2533,1,14753,0,51,True,1.0,32225,32225,0,0,217,27.1,True,35
301.tiff,301,canine cutaneous mast cell tumor,0.2533,2,14823,0,19,False,0.1388,30365,33716,2,0,217,54.3,True,35
301.tiff,301,canine cutaneous mast cell tumor,0.2533,3,14788,0,19,False,0.1388,28160,34274,2,0,217,27.5,True,35
301.tiff,301,canine cutaneous mast cell tumor,0.2533,4,14817,0,27,False,0.2803,23669,30382,2,0,217,21.1,True,35
201.tiff,201,canine lung cancer,0.2482,0,4457,0,51,True,1.0,22631,22631,0,0,17,23.0,True,35
201.tiff,201,canine lung cancer,0.2482,1,4457,0,51,True,1.0,22631,22631,0,0,17,24.8,True,35
201.tiff,201,canine lung cancer,0.2482,2,4475,0,51,True,1.0,17861,17861,2,2,17,27.4,True,35
201.tiff,201,canine lung cancer,0.2482,3,4454,0,47,False,0.8493,22821,23817,0,0,17,28.7,True,35
201.tiff,201,canine lung cancer,0.2482,4,4479,0,51,True,1.0,16911,16911,0,0,17,36.2,True,35
246.tiff,246,canine lymphosarcoma,0.2482,0,6548,0,41,False,0.6463,29838,30343,0,0,115,38.7,True,35
246.tiff,246,canine lymphosarcoma,0.2482,1,6599,0,51,True,1.0,31638,31638,0,0,115,23.3,True,35
246.tiff,246,canine lymphosarcoma,0.2482,2,6484,0,47,False,0.8493,28406,29149,0,0,115,18.4,True,35
246.tiff,246,canine lymphosarcoma,0.2482,3,6520,0,51,True,1.0,28531,28531,0,0,115,16.2,True,35
246.tiff,246,canine lymphosarcoma,0.2482,4,6587,0,37,False,0.5263,30839,31289,0,0,115,14.7,True,35
459.tiff,459,canine soft tissue sarcoma,0.2482,0,22441,0,33,False,0.4187,18829,26152,4,2,130,14.7,True,35
459.tiff,459,canine soft tissue sarcoma,0.2482,1,22445,0,47,False,0.8493,21156,21905,4,2,130,12.2,True,35
459.tiff,459,canine soft tissue sarcoma,0.2482,2,22306,0,39,False,0.5848,20314,24546,4,2,130,14.5,True,35
459.tiff,459,canine soft tissue sarcoma,0.2482,3,22371,0,51,True,1.0,19414,19414,4,4,130,15.1,True,35
459.tiff,459,canine soft tissue sarcoma,0.2482,4,22305,0,45,False,0.7785,19230,20990,4,4,130,15.8,True,35
094.tiff,94,human breast cancer,0.2298,0,2512,0,25,False,0.2403,28982,34573,0,0,81,29.6,True,35
094.tiff,94,human breast cancer,0.2298,1,2534,0,37,False,0.5263,23051,28700,0,0,81,40.9,True,35
094.tiff,94,human breast cancer,0.2298,2,2494,0,35,False,0.471,25536,33056,0,0,81,36.9,True,35
094.tiff,94,human breast cancer,0.2298,3,2612,0,37,False,0.5263,22637,27735,0,0,81,20.3,True,35
094.tiff,94,human breast cancer,0.2298,4,2494,0,35,False,0.471,25536,33056,0,0,81,17.3,True,35
548.tiff,548,human melanoma,0.2274,0,25804,0,29,False,0.3233,20754,29162,0,0,238,18.4,True,35
548.tiff,548,human melanoma,0.2274,1,25712,0,37,False,0.5263,19493,25403,2,0,238,14.8,True,35
548.tiff,548,human melanoma,0.2274,2,25735,0,33,False,0.4187,20856,27120,0,0,238,19.2,True,35
548.tiff,548,human melanoma,0.2274,3,25802,0,33,False,0.4187,20652,26956,0,0,238,19.0,True,35
548.tiff,548,human melanoma,0.2274,4,25719,0,33,False,0.4187,22776,29408,0,0,238,21.7,True,35
402.tiff,402,human neuroendocrine tumor,0.2263,0,20254,0,29,False,0.3233,25759,32553,0,0,104,33.4,True,35
402.tiff,402,human neuroendocrine tumor,0.2263,1,20258,0,51,True,1.0,21387,21387,2,2,104,25.6,True,35
402.tiff,402,human neuroendocrine tumor,0.2263,2,20245,0,51,True,1.0,29723,29723,0,0,104,33.8,True,35
402.tiff,402,human neuroendocrine tumor,0.2263,3,20183,0,31,False,0.3695,23521,31042,0,0,104,28.7,True,35
402.tiff,402,human neuroendocrine tumor,0.2263,4,20182,0,27,False,0.2803,26834,33966,0,0,104,33.7,True,35
