file_name,tumor_type,seed_index,nms_radius_um,nms_radius_px,axis,z,n_detections,n_gt_mitotic,n_found,gained_vs_control,lost_vs_control,gt_claim_change,n_within_match_radius,n_dup_fp,dup_fp_frac,topk_churn,gap_n,gap_median_px,gap_p05_px,gap_p95_px
013.tiff,human breast cancer,0,7.5,33.139,tm_score,1.0,10108,17,17,-1,-1,-1,35,3,0.0003,,3,14.56,12.4,29.72
013.tiff,human breast cancer,0,7.5,33.139,chromatin_od,1.0,10108,17,17,-1,-1,-1,35,3,0.0003,,3,14.56,12.4,29.72
013.tiff,human breast cancer,0,5.9,26.069,tm_score,1.0,11470,17,17,-1,-1,-1,39,7,0.00061,0.0,2,13.36,12.29,14.44
013.tiff,human breast cancer,0,5.9,26.069,chromatin_od,1.0,11470,17,17,0,0,4,39,7,0.00061,0.12734082397003743,2,13.36,12.29,14.44
013.tiff,human breast cancer,0,5.0,22.093,tm_score,1.0,12160,17,17,-1,-1,-1,40,8,0.00066,0.0,2,13.36,12.29,14.44
013.tiff,human breast cancer,0,5.0,22.093,chromatin_od,1.0,12160,17,17,0,0,7,40,8,0.00066,0.17518248175182483,2,13.36,12.29,14.44
013.tiff,human breast cancer,1,7.5,33.139,tm_score,1.0,11187,17,17,-1,-1,-1,44,12,0.00107,,6,27.53,22.89,30.32
013.tiff,human breast cancer,1,7.5,33.139,chromatin_od,1.0,11187,17,17,-1,-1,-1,44,12,0.00107,,6,27.53,22.89,30.32
013.tiff,human breast cancer,1,5.9,26.069,tm_score,1.0,15505,17,17,-1,-1,-1,59,27,0.00174,0.039215686274509776,3,22.02,17.29,25.15
013.tiff,human breast cancer,1,5.9,26.069,chromatin_od,1.0,15505,17,17,0,0,16,59,27,0.00174,0.533724340175953,3,22.02,17.29,25.15
013.tiff,human breast cancer,1,5.0,22.093,tm_score,1.0,17147,17,17,-1,-1,-1,63,31,0.00181,0.06201550387596899,2,19.39,17.03,21.76
013.tiff,human breast cancer,1,5.0,22.093,chromatin_od,1.0,17147,17,17,0,0,16,63,31,0.00181,0.5754985754985755,2,19.39,17.03,21.76
013.tiff,human breast cancer,2,7.5,33.139,tm_score,1.0,11199,17,17,-1,-1,-1,57,25,0.00223,,1,31.24,31.24,31.24
013.tiff,human breast cancer,2,7.5,33.139,chromatin_od,1.0,11199,17,17,-1,-1,-1,57,25,0.00223,,1,31.24,31.24,31.24
013.tiff,human breast cancer,2,5.9,26.069,tm_score,1.0,12883,17,17,-1,-1,-1,62,30,0.00233,0.015873015873015928,0,,,
013.tiff,human breast cancer,2,5.9,26.069,chromatin_od,1.0,12883,17,17,0,0,14,62,30,0.00233,0.18840579710144922,0,,,
013.tiff,human breast cancer,2,5.0,22.093,tm_score,1.0,13630,17,17,-1,-1,-1,63,31,0.00227,0.015873015873015928,0,,,
013.tiff,human breast cancer,2,5.0,22.093,chromatin_od,1.0,13630,17,17,0,0,14,63,31,0.00227,0.2142857142857143,0,,,
013.tiff,human breast cancer,3,7.5,33.139,tm_score,1.0,10152,17,17,-1,-1,-1,35,3,0.0003,,0,,,
013.tiff,human breast cancer,3,7.5,33.139,chromatin_od,1.0,10152,17,17,-1,-1,-1,35,3,0.0003,,0,,,
013.tiff,human breast cancer,3,5.9,26.069,tm_score,1.0,11422,17,17,-1,-1,-1,37,5,0.00044,0.02371541501976282,0,,,
013.tiff,human breast cancer,3,5.9,26.069,chromatin_od,1.0,11422,17,17,0,0,5,37,5,0.00044,0.1412639405204461,0,,,
013.tiff,human breast cancer,3,5.0,22.093,tm_score,1.0,11736,17,17,-1,-1,-1,38,6,0.00051,0.02371541501976282,0,,,
013.tiff,human breast cancer,3,5.0,22.093,chromatin_od,1.0,11736,17,17,0,0,5,38,6,0.00051,0.15498154981549817,0,,,
013.tiff,human breast cancer,4,7.5,33.139,tm_score,1.0,11525,17,17,-1,-1,-1,34,2,0.00017,,1,13.15,13.15,13.15
