file_name,tumor_type,mpp,n_mitotic,n_annotations,min_mit_mit_px,min_any_any_px,min_mit_mit_um,min_any_any_um,r7.5_px,r7.5_pairs_mit,r7.5_pairs_any,r5.9_px,r5.9_pairs_mit,r5.9_pairs_any,r5.0_px,r5.0_pairs_mit,r5.0_pairs_any
013.tiff,human breast cancer,0.22632,18,33,72.57,72.57,16.4235,16.4235,33.14,0,0,26.07,0,0,22.09,0,0
094.tiff,human breast cancer,0.22985,82,184,57.31,57.31,13.1737,13.1737,32.63,0,0,25.67,0,0,21.75,0,0
201.tiff,canine lung cancer,0.24817,18,67,176.98,85.44,43.9197,21.2033,30.22,0,0,23.77,0,0,20.15,0,0
233.tiff,canine lung cancer,0.24817,18,41,350.07,133.26,86.8753,33.0694,30.22,0,0,23.77,0,0,20.15,0,0
245.tiff,canine lymphosarcoma,0.24817,90,160,26.57,26.57,6.5939,6.5939,30.22,1,1,23.77,0,0,20.15,0,0
246.tiff,canine lymphosarcoma,0.24817,116,239,56.22,56.22,13.9526,13.9526,30.22,0,0,23.77,0,0,20.15,0,0
300.tiff,canine cutaneous mast cell tumor,0.2533,181,266,46.39,46.39,11.7505,11.7505,29.61,0,0,23.29,0,0,19.74,0,0
301.tiff,canine cutaneous mast cell tumor,0.2533,218,327,40.72,40.72,10.314,10.314,29.61,0,0,23.29,0,0,19.74,0,0
402.tiff,human neuroendocrine tumor,0.22632,105,184,48.01,39.27,10.8658,8.8887,33.14,0,0,26.07,0,0,22.09,0,0
403.tiff,human neuroendocrine tumor,0.22686,53,100,57.08,26.25,12.949,5.9548,33.06,0,6,26.01,0,0,22.04,0,0
459.tiff,canine soft tissue sarcoma,0.24817,131,221,49.5,48.52,12.2836,12.0418,30.22,0,0,23.77,0,0,20.15,0,0
460.tiff,canine soft tissue sarcoma,0.24817,36,76,44.82,44.82,11.1232,11.1232,30.22,0,0,23.77,0,0,20.15,0,0
529.tiff,human melanoma,0.22683,20,45,136.97,136.97,31.0695,31.0695,33.06,0,0,26.01,0,0,22.04,0,0
548.tiff,human melanoma,0.22744,239,357,36.78,36.78,8.3645,8.3645,32.98,0,0,25.94,0,0,21.98,0,0
