check,label,n,max_abs_diff,passed,n_seeds,n_distinct_ann,pool_size,n_distinct_streams,n_items,caps,min_distance,radius,n_direct,n_filtered,used_radius,expected_radius,mpp,n_cells,n_rois,max_abs_recall_diff,max_abs_ndet_diff
od_hoist_equivalence,013.tiff,24074.0,0.0,True,,,,,,,,,,,,,,,,,
distinct_seeds,013.tiff,,,True,5.0,5.0,,5.0,,,,,,,,,,,,,
no_cap,013.tiff/si0/deep_pool,,,True,,,,,36626.0,"(2000000,)",,,,,,,,,,,
min_separation,013.tiff/si0/r7.5,16409.0,,True,,,,,,,33.24154027718932,33.13877952755905,,,,,,,,,
shortcut,013.tiff/si0/r7.5/z1.0,,,True,,,,,,,,,10108.0,10108.0,,,,,,,
shortcut,013.tiff/si0/r7.5/z3.0,,,True,,,,,,,,,6374.0,6374.0,,,,,,,
no_cap,013.tiff/tm_score@r7.5,,,True,,,,,13434.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@r7.5,,,True,,,,,13434.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@r7.5,,,True,,,,,10108.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@r7.5,,,True,,,,,10108.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@r7.5,,,True,,,,,8253.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@r7.5,,,True,,,,,8253.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@r7.5,,,True,,,,,7463.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@r7.5,,,True,,,,,7463.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@r7.5,,,True,,,,,6921.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@r7.5,,,True,,,,,6921.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@r7.5,,,True,,,,,6374.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@r7.5,,,True,,,,,6374.0,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
min_separation,013.tiff/si0/r5.9,20943.0,,True,,,,,,,26.076809620810597,26.069173228346457,,,,,,,,,
shortcut,013.tiff/si0/r5.9/z1.0,,,True,,,,,,,,,11470.0,11470.0,,,,,,,
shortcut,013.tiff/si0/r5.9/z3.0,,,True,,,,,,,,,6900.0,6900.0,,,,,,,
no_cap,013.tiff/tm_score@r5.9,,,True,,,,,16045.0,"(2000000,)",,,,,,,,,,,
no_cap,013.tiff/chromatin_od@r5.9,,,True,,,,,16045.0,"(2000000,)",,,,,,,,,,,
no_cap,013.tiff/tm_score@r5.9,,,True,,,,,11470.0,"(2000000,)",,,,,,,,,,,
no_cap,013.tiff/chromatin_od@r5.9,,,True,,,,,11470.0,"(2000000,)",,,,,,,,,,,
no_cap,013.tiff/tm_score@r5.9,,,True,,,,,9202.0,"(2000000,)",,,,,,,,,,,
no_cap,013.tiff/chromatin_od@r5.9,,,True,,,,,9202.0,"(2000000,)",,,,,,,,,,,
no_cap,013.tiff/tm_score@r5.9,,,True,,,,,8226.0,"(2000000,)",,,,,,,,,,,
no_cap,013.tiff/chromatin_od@r5.9,,,True,,,,,8226.0,"(2000000,)",,,,,,,,,,,
no_cap,013.tiff/tm_score@r5.9,,,True,,,,,7552.0,"(2000000,)",,,,,,,,,,,
no_cap,013.tiff/chromatin_od@r5.9,,,True,,,,,7552.0,"(2000000,)",,,,,,,,,,,
no_cap,013.tiff/tm_score@r5.9,,,True,,,,,6900.0,"(2000000,)",,,,,,,,,,,
