file_name,image_id,tumor_type,seed_index,seed_ann_id,mpp,pad_px,match_radius_px,nms_radius_px,n_gt_within_seed_hole,seed_pool_size,arm_tag,map_median,mad_scale,deep_floor,n_peaks_deep,n_pool,n_band_candidates_pool,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,read_50,read_80,read_90,read_95,read_99,read_100,axis,z_cut,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,10,10,4,2,0.23529411764705882
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,25,25,7,4,0.4117647058823529
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,50,50,8,6,0.47058823529411764
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,75,75,10,6,0.5882352941176471
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,100,100,10,8,0.5882352941176471
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,150,150,10,8,0.5882352941176471
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,200,200,11,8,0.6470588235294118
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,250,250,11,8,0.6470588235294118
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,300,300,11,9,0.6470588235294118
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,400,400,12,9,0.7058823529411765
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,500,500,15,11,0.8823529411764706
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,750,750,16,13,0.9411764705882353
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,1000,1000,17,13,1.0
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,1500,1500,17,14,1.0
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,2000,2000,17,15,1.0
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,3000,3000,17,15,1.0
013.tiff,13,human breast cancer,0,254,0.22632,25,33.139,33.139,0,11,pad_off,-0.043116,0.240649,-0.40409,35964,16107,0,tm_score@pad_off,score,True,0.5,True,False,17,15,13183,0.8414,15,2,0.0,1.0,57.0,417.0,552.0,955.0,955.0,955.0,tm_score,0.077208,5000,5000,17,15,1.0
