file_name,domain,ranker,n_pool,quantile,depth,n_found,n_gt_mitotic,ceiling,frac_of_pool
301.tiff,canine cutaneous mast cell tumor,blob_score,20370,0.5,167,218,218,1.0,0.0082
301.tiff,canine cutaneous mast cell tumor,blob_score,20370,0.9,720,218,218,1.0,0.0353
301.tiff,canine cutaneous mast cell tumor,blob_score,20370,0.95,1428,218,218,1.0,0.0701
301.tiff,canine cutaneous mast cell tumor,blob_score,20370,0.98,4307,218,218,1.0,0.2114
301.tiff,canine cutaneous mast cell tumor,blob_score,20370,0.99,6101,218,218,1.0,0.2995
301.tiff,canine cutaneous mast cell tumor,blob_score,20370,1.0,7750,218,218,1.0,0.3805
301.tiff,canine cutaneous mast cell tumor,chromatin_od51,20370,0.5,191,218,218,1.0,0.0094
301.tiff,canine cutaneous mast cell tumor,chromatin_od51,20370,0.9,4218,218,218,1.0,0.2071
301.tiff,canine cutaneous mast cell tumor,chromatin_od51,20370,0.95,8106,218,218,1.0,0.3979
301.tiff,canine cutaneous mast cell tumor,chromatin_od51,20370,0.98,14695,218,218,1.0,0.7214
301.tiff,canine cutaneous mast cell tumor,chromatin_od51,20370,0.99,15300,218,218,1.0,0.7511
301.tiff,canine cutaneous mast cell tumor,chromatin_od51,20370,1.0,19934,218,218,1.0,0.9786
301.tiff,canine cutaneous mast cell tumor,logreg_loro,20370,0.5,160,218,218,1.0,0.0079
301.tiff,canine cutaneous mast cell tumor,logreg_loro,20370,0.9,780,218,218,1.0,0.0383
301.tiff,canine cutaneous mast cell tumor,logreg_loro,20370,0.95,1393,218,218,1.0,0.0684
301.tiff,canine cutaneous mast cell tumor,logreg_loro,20370,0.98,2836,218,218,1.0,0.1392
301.tiff,canine cutaneous mast cell tumor,logreg_loro,20370,0.99,4354,218,218,1.0,0.2137
301.tiff,canine cutaneous mast cell tumor,logreg_loro,20370,1.0,5313,218,218,1.0,0.2608
301.tiff,canine cutaneous mast cell tumor,hgb_loro,20370,0.5,170,218,218,1.0,0.0083
301.tiff,canine cutaneous mast cell tumor,hgb_loro,20370,0.9,689,218,218,1.0,0.0338
301.tiff,canine cutaneous mast cell tumor,hgb_loro,20370,0.95,1112,218,218,1.0,0.0546
301.tiff,canine cutaneous mast cell tumor,hgb_loro,20370,0.98,2016,218,218,1.0,0.099
301.tiff,canine cutaneous mast cell tumor,hgb_loro,20370,0.99,8560,218,218,1.0,0.4202
301.tiff,canine cutaneous mast cell tumor,hgb_loro,20370,1.0,15415,218,218,1.0,0.7568
301.tiff,canine cutaneous mast cell tumor,logreg_lodo,20370,0.5,175,218,218,1.0,0.0086
301.tiff,canine cutaneous mast cell tumor,logreg_lodo,20370,0.9,789,218,218,1.0,0.0387
301.tiff,canine cutaneous mast cell tumor,logreg_lodo,20370,0.95,1738,218,218,1.0,0.0853
301.tiff,canine cutaneous mast cell tumor,logreg_lodo,20370,0.98,2963,218,218,1.0,0.1455
301.tiff,canine cutaneous mast cell tumor,logreg_lodo,20370,0.99,4528,218,218,1.0,0.2223
301.tiff,canine cutaneous mast cell tumor,logreg_lodo,20370,1.0,5694,218,218,1.0,0.2795
301.tiff,canine cutaneous mast cell tumor,hgb_lodo,20370,0.5,485,218,218,1.0,0.0238
301.tiff,canine cutaneous mast cell tumor,hgb_lodo,20370,0.9,4533,218,218,1.0,0.2225
301.tiff,canine cutaneous mast cell tumor,hgb_lodo,20370,0.95,4965,218,218,1.0,0.2437
301.tiff,canine cutaneous mast cell tumor,hgb_lodo,20370,0.98,5040,218,218,1.0,0.2474
301.tiff,canine cutaneous mast cell tumor,hgb_lodo,20370,0.99,8186,218,218,1.0,0.4019
301.tiff,canine cutaneous mast cell tumor,hgb_lodo,20370,1.0,11715,218,218,1.0,0.5751
300.tiff,canine cutaneous mast cell tumor,blob_score,17376,0.5,143,181,181,1.0,0.0082
300.tiff,canine cutaneous mast cell tumor,blob_score,17376,0.9,699,181,181,1.0,0.0402
300.tiff,canine cutaneous mast cell tumor,blob_score,17376,0.95,1157,181,181,1.0,0.0666
300.tiff,canine cutaneous mast cell tumor,blob_score,17376,0.98,2510,181,181,1.0,0.1445
300.tiff,canine cutaneous mast cell tumor,blob_score,17376,0.99,3241,181,181,1.0,0.1865
300.tiff,canine cutaneous mast cell tumor,blob_score,17376,1.0,4246,181,181,1.0,0.2444
300.tiff,canine cutaneous mast cell tumor,chromatin_od51,17376,0.5,149,181,181,1.0,0.0086
300.tiff,canine cutaneous mast cell tumor,chromatin_od51,17376,0.9,3006,181,181,1.0,0.173
