file_name,ranker,n_pool,n_gt_mitotic,quantile,depth,n_found,frac_of_pool,fp_per_tp
301.tiff,blob_score,20370,218,0.5,167,218,0.0082,0.5
301.tiff,blob_score,20370,218,0.9,720,218,0.0353,2.7
301.tiff,blob_score,20370,218,0.95,1428,218,0.0701,5.9
301.tiff,blob_score,20370,218,0.98,4307,218,0.2114,19.1
301.tiff,blob_score,20370,218,0.99,6101,218,0.2995,27.2
301.tiff,blob_score,20370,218,1.0,7750,218,0.3805,34.6
301.tiff,chromatin_od51,20370,218,0.5,215,218,0.0106,1.0
301.tiff,chromatin_od51,20370,218,0.9,5213,218,0.2559,25.5
301.tiff,chromatin_od51,20370,218,0.95,9072,218,0.4454,42.6
301.tiff,chromatin_od51,20370,218,0.98,14801,218,0.7266,68.2
301.tiff,chromatin_od51,20370,218,0.99,15515,218,0.7617,70.8
301.tiff,chromatin_od51,20370,218,1.0,19934,218,0.9786,90.4
301.tiff,logreg_loro,20370,218,0.5,166,218,0.0081,0.5
301.tiff,logreg_loro,20370,218,0.9,780,218,0.0383,3.0
301.tiff,logreg_loro,20370,218,0.95,1393,218,0.0684,5.7
301.tiff,logreg_loro,20370,218,0.98,2836,218,0.1392,12.3
301.tiff,logreg_loro,20370,218,0.99,4354,218,0.2137,19.2
301.tiff,logreg_loro,20370,218,1.0,5313,218,0.2608,23.4
301.tiff,hgb_loro,20370,218,0.5,173,218,0.0085,0.6
301.tiff,hgb_loro,20370,218,0.9,708,218,0.0348,2.6
301.tiff,hgb_loro,20370,218,0.95,1141,218,0.056,4.5
301.tiff,hgb_loro,20370,218,0.98,2016,218,0.099,8.4
301.tiff,hgb_loro,20370,218,0.99,8560,218,0.4202,38.6
301.tiff,hgb_loro,20370,218,1.0,15415,218,0.7568,69.7
300.tiff,blob_score,17376,181,0.5,143,181,0.0082,0.6
300.tiff,blob_score,17376,181,0.9,699,181,0.0402,3.3
300.tiff,blob_score,17376,181,0.95,1157,181,0.0666,5.7
300.tiff,blob_score,17376,181,0.98,2510,181,0.1445,13.1
300.tiff,blob_score,17376,181,0.99,3241,181,0.1865,17.0
300.tiff,blob_score,17376,181,1.0,4246,181,0.2444,22.5
300.tiff,chromatin_od51,17376,181,0.5,157,181,0.009,0.7
300.tiff,chromatin_od51,17376,181,0.9,3511,181,0.2021,20.5
300.tiff,chromatin_od51,17376,181,0.95,5730,181,0.3298,32.3
300.tiff,chromatin_od51,17376,181,0.98,17058,181,0.9817,94.8
300.tiff,chromatin_od51,17376,181,0.99,17065,181,0.9821,93.8
300.tiff,chromatin_od51,17376,181,1.0,17093,181,0.9837,93.4
300.tiff,logreg_loro,17376,181,0.5,123,181,0.0071,0.4
300.tiff,logreg_loro,17376,181,0.9,529,181,0.0304,2.2
300.tiff,logreg_loro,17376,181,0.95,694,181,0.0399,3.0
300.tiff,logreg_loro,17376,181,0.98,1156,181,0.0665,5.5
300.tiff,logreg_loro,17376,181,0.99,1626,181,0.0936,8.0
300.tiff,logreg_loro,17376,181,1.0,2056,181,0.1183,10.4
300.tiff,hgb_loro,17376,181,0.5,133,181,0.0077,0.5
300.tiff,hgb_loro,17376,181,0.9,723,181,0.0416,3.4
300.tiff,hgb_loro,17376,181,0.95,844,181,0.0486,3.9
300.tiff,hgb_loro,17376,181,0.98,1235,181,0.0711,5.9
300.tiff,hgb_loro,17376,181,0.99,1847,181,0.1063,9.3
300.tiff,hgb_loro,17376,181,1.0,2572,181,0.148,13.2
246.tiff,blob_score,21059,116,0.5,187,112,0.0089,2.3
