file_name,tumor_type,image_id,z,score_cut,n_peaks_pre_nms,n_retained,n_returned_at_k,tp_at_k,lookalike_at_k,unannotated_at_k,precision_at_k,tp_full,lookalike_full,unannotated_full,precision_full,n_gt_mitotic,recall_full,t_z_s
013.tiff,human breast cancer,13,-1.5,-0.19706990161091087,47708,17200,20,5,3,12,0.25,17,15,17168,0.0009883720930232557,17,1.0,3.1
013.tiff,human breast cancer,13,1.0,0.1233874948143959,21028,11571,20,5,3,12,0.25,17,15,11539,0.0014691902169216143,17,1.0,0.97
013.tiff,human breast cancer,13,2.0,0.2515704533845186,12160,7892,20,5,3,12,0.25,17,15,7860,0.0021540800810947794,17,1.0,0.81
013.tiff,human breast cancer,13,3.0,0.3797534119546413,9412,6568,20,5,3,12,0.25,17,15,6536,0.0025883069427527407,17,1.0,0.73
013.tiff,human breast cancer,13,4.0,0.507936370524764,7454,5527,20,5,3,12,0.25,17,15,5495,0.003075809661660937,17,1.0,0.73
013.tiff,human breast cancer,13,5.0,0.6361193290948868,5734,4500,20,5,3,12,0.25,17,15,4468,0.003777777777777778,17,1.0,0.71
013.tiff,human breast cancer,13,6.0,0.7643022876650094,4227,3478,20,5,3,12,0.25,17,15,3446,0.00488786658999425,17,1.0,0.63
013.tiff,human breast cancer,13,8.0,1.0206682048052549,1979,1771,20,5,3,12,0.25,17,15,1739,0.009599096555618294,17,1.0,0.63
013.tiff,human breast cancer,13,10.0,1.2770341219455004,863,810,20,5,3,12,0.25,15,13,782,0.018518518518518517,17,0.8823529411764706,0.75
013.tiff,human breast cancer,13,12.0,1.5334000390857456,339,331,20,5,3,12,0.25,11,10,310,0.03323262839879154,17,0.6470588235294118,0.67
013.tiff,human breast cancer,13,15.0,1.917948914796114,93,91,20,5,3,12,0.25,10,5,76,0.10989010989010989,17,0.5882352941176471,0.72
013.tiff,human breast cancer,13,18.0,2.302497790506482,25,24,20,5,3,12,0.25,6,3,15,0.25,17,0.35294117647058826,1.16
013.tiff,human breast cancer,13,22.0,2.815229624786973,6,5,5,2,1,2,0.4,2,1,2,0.4,17,0.11764705882352941,0.78
013.tiff,human breast cancer,13,26.0,3.3279614590674638,1,1,1,0,1,0,0.0,0,1,0,0.0,17,0.0,0.72
